name=HyperLogLog;numRegisters=256;q=56;base=2.00000000000000000e+00;a=3.90625000000000000e-03;numCycles=1000;
cardinality; avg time in seconds;avg estimated cardinality;
1;1.9537e-06;185.02634481350151
2;2.3336e-06;185.5710739935187
5;1.9626000000000001e-06;187.03949000929876
10;2.0530999999999999e-06;189.76108820812314
20;2.1569000000000001e-06;194.0201866352661
50;2.2960000000000001e-06;209.64182305920249
100;3.0205999999999999e-06;237.57527235816968
200;3.1756999999999999e-06;293.04219672776486
500;7.4049e-06;535.31584543629742
1000;1.6849300000000001e-05;991.07757805995482
2000;2.7898500000000001e-05;2038.898927403613
5000;5.2701599999999997e-05;5502.1542321717025
10000;8.1728099999999994e-05;9896.896312849638
20000;0.00011778919999999999;19803.155101757489
50000;0.00021148480000000001;51694.654097305596
100000;0.00034345000000000003;96687.701194013265
200000;0.00059245149999999998;191764.05291242243
500000;0.0012424961000000001;511237.64103210368
1000000;0.0023969911999999999;930135.17750132247
2000000;0.0045704140999999997;2036967.5638370474
5000000;0.0110456323;4628659.0550217992
10000000;0.0218906611;9482436.8905105721
