name=SetSketch2;numRegisters=4096;q=65534;base=1.00099999999999989e+00;a=2.00000000000000000e+01;registerStateType=registers with lower bound;bulkAddFirstAttemptSuccessProbability=9.49999999999999956e-01;numExamples=10000;
true cardinality; simple mean; simple mse; simple standard deviation; simple kurtosis; ml mean; ml mse; ml standard deviation; ml kurtosis; 
10; 1.00028059930485718e+01; 1.15777785557072722e-02; 1.07563492685568821e-01; 3.02176062764609776e+00; 1.00028059923278310e+01; 1.15777766053735496e-02; 1.07563483638407301e-01; 3.02176062419157931e+00; 
11; 1.10029759375427520e+01; 1.41759787332085378e-02; 1.19025722131606504e-01; 2.99411180662858589e+00; 1.10029759369546021e+01; 1.41759762594767628e-02; 1.19025711754725774e-01; 2.99411180456993486e+00; 
12; 1.20041822713960542e+01; 1.69398090802561456e-02; 1.30085808934818359e-01; 3.04325386999029845e+00; 1.20041822708674975e+01; 1.69398061621363824e-02; 1.30085797735678299e-01; 3.04325387304879458e+00; 
13; 1.30029499727909403e+01; 1.96544621606786624e-02; 1.40163332655910106e-01; 2.98277767330855248e+00; 1.30029499725047426e+01; 1.96544587195762142e-02; 1.40163320386603035e-01; 2.98277770641082318e+00; 
14; 1.40022435051082574e+01; 2.23739055385936865e-02; 1.49562268715819929e-01; 2.99600648013200344e+00; 1.40022435049065717e+01; 2.23739017595467084e-02; 1.49562256085153555e-01; 2.99600650517906786e+00; 
15; 1.50028881541685468e+01; 2.57864050105379820e-02; 1.60555484415938060e-01; 3.05883736556390229e+00; 1.50028881538413064e+01; 2.57864006204717201e-02; 1.60555470750332024e-01; 3.05883738736893385e+00; 
16; 1.60029131722920326e+01; 2.95729929843898433e-02; 1.71943323253875291e-01; 3.03206134748493783e+00; 1.60029131720575606e+01; 2.95729880279321719e-02; 1.71943308844790421e-01; 3.03206134295237506e+00; 
17; 1.70031871444452989e+01; 3.40323541381640921e-02; 1.84451067355136111e-01; 3.02945595762170106e+00; 1.70031871439619628e+01; 3.40323483383832212e-02; 1.84451051641753405e-01; 3.02945594724935097e+00; 
18; 1.80050783594692554e+01; 3.80102107387165142e-02; 1.94895923517700159e-01; 3.00327579808214651e+00; 1.80050783589139058e+01; 3.80102044200371220e-02; 1.94895907321777750e-01; 3.00327579380606569e+00; 
19; 1.90042328882256157e+01; 4.24403592925994000e-02; 2.05967089482444188e-01; 2.99867763438671497e+00; 1.90042328877874453e+01; 4.24403522517857179e-02; 2.05967072399363044e-01; 2.99867763717892233e+00; 
20; 2.00043126076497693e+01; 4.78501255088866762e-02; 2.18704199603359128e-01; 2.99664475743994396e+00; 2.00043126071460300e+01; 4.78501174690071501e-02; 2.18704181232573319e-01; 2.99664476854108131e+00; 
21; 2.10026645363109594e+01; 5.22229707270733812e-02; 2.28507923217820236e-01; 3.03921822725799329e+00; 2.10026645359187008e+01; 5.22229619332072181e-02; 2.28507903980465582e-01; 3.03921822705789113e+00; 
22; 2.20028789765265991e+01; 5.74300131493293634e-02; 2.39628305180103529e-01; 3.04901790910813997e+00; 2.20028789759674872e+01; 5.74300034643427590e-02; 2.39628284978466360e-01; 3.04901789094832765e+00; 
23; 2.30033801786663190e+01; 6.28558101950343895e-02; 2.50687822973549912e-01; 3.03063636661376901e+00; 2.30033801779706373e+01; 6.28557996400796876e-02; 2.50687801930941589e-01; 3.03063635592115777e+00; 
24; 2.40038309869310424e+01; 6.79181412738196350e-02; 2.60582932696970304e-01; 2.99525142333000849e+00; 2.40038309862044201e+01; 6.79181301075441612e-02; 2.60582911282083607e-01; 2.99525141800068573e+00; 
25; 2.50043996347365294e+01; 7.51484525688231597e-02; 2.74096872990204576e-01; 3.03167327223099958e+00; 2.50043996339207872e+01; 7.51484401644413186e-02; 2.74096850375563306e-01; 3.03167327361611516e+00; 
26; 2.60049877381084933e+01; 8.15532979953556281e-02; 2.85531820405214631e-01; 3.02302254890479505e+00; 2.60049877369451288e+01; 8.15532845040505133e-02; 2.85531796800665483e-01; 3.02302256867017327e+00; 
27; 2.70052399807620453e+01; 8.82002414378706828e-02; 2.96939024110142280e-01; 3.05544270627294701e+00; 2.70052399796685378e+01; 8.82002265916250194e-02; 2.96938999130627601e-01; 3.05544274480909728e+00; 
28; 2.80053987556009325e+01; 9.46622451112812402e-02; 3.07624931611926944e-01; 3.01678766627116302e+00; 2.80053987546498782e+01; 9.46622291024463713e-02; 3.07624905608560373e-01; 3.01678768547897080e+00; 
29; 2.90043296483203576e+01; 1.01660532180538346e-01; 3.18813089953907947e-01; 3.03078701531041084e+00; 2.90043296473282446e+01; 1.01660514890116307e-01; 3.18813062850516471e-01; 3.03078701735229172e+00; 
30; 3.00056956667716079e+01; 1.08864672252592595e-01; 3.29897304676195990e-01; 3.03916047015455471e+00; 3.00056956656095934e+01; 1.08864653887156562e-01; 3.29897276861175981e-01; 3.03916047994814464e+00; 
31; 3.10053782244509897e+01; 1.16289862388425896e-01; 3.40970580974635340e-01; 3.06231401095061795e+00; 3.10053782231876056e+01; 1.16289842778142583e-01; 3.40970552238001656e-01; 3.06231403047920114e+00; 
32; 3.20022182631176619e+01; 1.24172375901092910e-01; 3.52374027433683901e-01; 3.06224567259703839e+00; 3.20022182620076450e+01; 1.24172355050910690e-01; 3.52373997855369936e-01; 3.06224569670222513e+00; 
33; 3.30036946291097379e+01; 1.31343893806942169e-01; 3.62395148315597104e-01; 3.06511199462307360e+00; 3.30036946277114254e+01; 1.31343872024145797e-01; 3.62395118275922523e-01; 3.06511201263035860e+00; 
34; 3.40050411746067240e+01; 1.39237492678156022e-01; 3.73111349648788504e-01; 3.06912474134127322e+00; 3.40050411733318043e+01; 1.39237469531554886e-01; 3.73111318647657952e-01; 3.06912475372236404e+00; 
35; 3.50056174954161747e+01; 1.47886631614077446e-01; 3.84519278267455855e-01; 3.02982928703520749e+00; 3.50056174939419051e+01; 1.47886607278824134e-01; 3.84519246645262380e-01; 3.02982929870668283e+00; 
36; 3.60063179356741330e+01; 1.55988616702641358e-01; 3.94903406406502178e-01; 3.01473371625385855e+00; 3.60063179340387549e+01; 1.55988590933646254e-01; 3.94903373805705005e-01; 3.01473372330437162e+00; 
37; 3.70074580008921359e+01; 1.64322301827591444e-01; 4.05298260606041849e-01; 2.97521942008707141e+00; 3.70074579990678103e+01; 1.64322275049415406e-01; 4.05298227604465600e-01; 2.97521943689347301e+00; 
38; 3.80058444846882750e+01; 1.74340054102309211e-01; 4.17499576168692821e-01; 2.97120327703270037e+00; 3.80058444827793309e+01; 1.74340025866622172e-01; 4.17499542380186717e-01; 2.97120329265226957e+00; 
39; 3.90047211344914828e+01; 1.82903234636017681e-01; 4.27645817850623500e-01; 2.93205956619682073e+00; 3.90047211329767549e+01; 1.82903204957413079e-01; 4.27645783167365789e-01; 2.93205957847994680e+00; 
40; 4.00057571827250769e+01; 1.92682431633529799e-01; 4.38918314132139886e-01; 2.96626350427788532e+00; 4.00057571819615845e+01; 1.92682400369661722e-01; 4.38918278527477834e-01; 2.96626351260088850e+00; 
41; 4.10066714196216537e+01; 2.02321693655535012e-01; 4.49752360544965479e-01; 2.93254441853257264e+00; 4.10066714192581898e+01; 2.02321661265615821e-01; 4.49752324541734860e-01; 2.93254442656351877e+00; 
42; 4.20081746000881537e+01; 2.10639978981172815e-01; 4.58882506633857545e-01; 2.95358105741757893e+00; 4.20081745993117579e+01; 2.10639944732106871e-01; 4.58882469329783216e-01; 2.95358106593323377e+00; 
43; 4.30109566415521485e+01; 2.20998004727672254e-01; 4.69976549131518095e-01; 2.97500691252337157e+00; 4.30109566401033021e+01; 2.20997968369225417e-01; 4.69976510484164944e-01; 2.97500692752599338e+00; 
44; 4.40113567929170628e+01; 2.30541956895757544e-01; 4.80013520799566773e-01; 3.00613341626284436e+00; 4.40113567915237098e+01; 2.30541918961784803e-01; 4.80013481319089885e-01; 3.00613342726030730e+00; 
45; 4.50134849610347914e+01; 2.41091114523820177e-01; 4.90825091401929647e-01; 3.02343760895159974e+00; 4.50134849590868598e+01; 2.41091074725042792e-01; 4.90825050912716498e-01; 3.02343761659929511e+00; 
46; 4.60109839255635080e+01; 2.54271038449939757e-01; 5.04133307597453673e-01; 3.07430890785877775e+00; 4.60109839236549902e+01; 2.54270996575316988e-01; 5.04133266107740341e-01; 3.07430892054480864e+00; 
47; 4.70111505209277354e+01; 2.64214932771273170e-01; 5.13897459279880509e-01; 3.04380983403805638e+00; 4.70111505186253851e+01; 2.64214889405706366e-01; 5.13897417137008983e-01; 3.04380984210494887e+00; 
48; 4.80122037331047622e+01; 2.77724575719921263e-01; 5.26854481444572587e-01; 3.00429993333133805e+00; 4.80122037310155179e+01; 2.77724529607746740e-01; 5.26854437731189895e-01; 3.00429993452064226e+00; 
49; 4.90136503580660374e+01; 2.90820084249894695e-01; 5.39104583522126535e-01; 2.96559714305917677e+00; 4.90136503560049448e+01; 2.90820035988059611e-01; 5.39104538813200751e-01; 2.96559715422840942e+00; 
50; 5.00162725966547939e+01; 3.04549628936018668e-01; 5.51620187750709090e-01; 2.99485197662449298e+00; 5.00162725939231336e+01; 3.04549578420032829e-01; 5.51620142042554384e-01; 2.99485199437451932e+00; 
51; 5.10179879223466841e+01; 3.16029885648037023e-01; 5.61877495809980254e-01; 2.99870801865739178e+00; 5.10179879196559156e+01; 3.16029834150567845e-01; 5.61877450069867557e-01; 2.99870802603610764e+00; 
52; 5.20165638022358650e+01; 3.28723987632340509e-01; 5.73105250445177683e-01; 2.98441334699834426e+00; 5.20165637995996875e+01; 3.28723933279255975e-01; 5.73105203101553884e-01; 2.98441335573136746e+00; 
53; 5.30155560332597702e+01; 3.39125631133834149e-01; 5.82137132437928195e-01; 2.99247189248290013e+00; 5.30155560304620295e+01; 3.39125574857532475e-01; 5.82137084176740704e-01; 2.99247189364817601e+00; 
54; 5.40173228255076481e+01; 3.51308188214107142e-01; 5.92459372388126404e-01; 2.98572948353927403e+00; 5.40173228217877082e+01; 3.51308130250631567e-01; 5.92459323579217489e-01; 2.98572948655526815e+00; 
55; 5.50166845462800254e+01; 3.66952657403651017e-01; 6.05536360030579091e-01; 2.97788383345012164e+00; 5.50166845429464928e+01; 3.66952597660013202e-01; 6.05536310791253474e-01; 2.97788384387139171e+00; 
56; 5.60179239660975625e+01; 3.79687964596768845e-01; 6.15927508750904407e-01; 2.94426507619680411e+00; 5.60179239620991609e+01; 3.79687903006185268e-01; 6.15927458869030664e-01; 2.94426508344012383e+00; 
57; 5.70196386337755214e+01; 3.94960488380820707e-01; 6.28151902364590065e-01; 2.94862226600202382e+00; 5.70196386295554589e+01; 3.94960424712367919e-01; 6.28151851817341456e-01; 2.94862226839058428e+00; 
58; 5.80201402423537900e+01; 4.11024509684486672e-01; 6.40795505853800629e-01; 2.96373138331897135e+00; 5.80201402375796462e+01; 4.11024443776259907e-01; 6.40795454576956747e-01; 2.96373139863005219e+00; 
59; 5.90195735816966831e+01; 4.23405095577137014e-01; 6.50401391816390118e-01; 2.97326383668284633e+00; 5.90195735771037846e+01; 4.23405027474735018e-01; 6.50401339600484074e-01; 2.97326385005911176e+00; 
60; 6.00198637928553040e+01; 4.38973312711858854e-01; 6.62252778359785688e-01; 3.00491486936998831e+00; 6.00198637881646135e+01; 4.38973242899019012e-01; 6.62252725791876773e-01; 3.00491488555265107e+00; 
61; 6.10214846594019065e+01; 4.55666437736643559e-01; 6.74688703882783569e-01; 3.02995133991339660e+00; 6.10214846548013057e+01; 4.55666366431638825e-01; 6.74688651186396982e-01; 3.02995135032752794e+00; 
62; 6.20206543926067653e+01; 4.71445604542546970e-01; 6.86308240230720790e-01; 3.06761604306671254e+00; 6.20206543879978582e+01; 4.71445530356473852e-01; 6.86308186322233893e-01; 3.06761605007982618e+00; 
63; 6.30198710789535070e+01; 4.88450664079111196e-01; 6.98609908532885293e-01; 3.07489004169639024e+00; 6.30198710740928192e+01; 4.88450587419426208e-01; 6.98609853805267522e-01; 3.07489002705746461e+00; 
64; 6.40206420083957681e+01; 5.01561637684543760e-01; 7.07909277502370204e-01; 3.06409702363872460e+00; 6.40206420033989190e+01; 5.01561558326107937e-01; 7.07909221596801030e-01; 3.06409700792808648e+00; 
65; 6.50197543566966942e+01; 5.17462215404516646e-01; 7.19077173046130280e-01; 3.06118571266361794e+00; 6.50197543517039236e+01; 5.17462133577625494e-01; 7.19077116286124141e-01; 3.06118569602768575e+00; 
66; 6.60214199628495919e+01; 5.33590188750768135e-01; 7.30158458105009567e-01; 3.07183632056966616e+00; 6.60214199573899805e+01; 5.33590103720150366e-01; 7.30158400037653421e-01; 3.07183629651110479e+00; 
67; 6.70240137974734580e+01; 5.49088578853324960e-01; 7.40615903410289600e-01; 3.04517337103238495e+00; 6.70240137918412415e+01; 5.49088491513059385e-01; 7.40615844628282782e-01; 3.04517334363304748e+00; 
68; 6.80246236299898186e+01; 5.66164034496499657e-01; 7.52035711480922631e-01; 3.03465593966583658e+00; 6.80246236240399043e+01; 5.66163945741164354e-01; 7.52035652665699272e-01; 3.03465590761156978e+00; 
69; 6.90242187810267325e+01; 5.87374538486623465e-01; 7.66020880350005484e-01; 3.04595941492120659e+00; 6.90242187755130061e+01; 5.87374445712914972e-01; 7.66020819968729061e-01; 3.04595937642481163e+00; 
70; 7.00223186463370411e+01; 6.02515320117174125e-01; 7.75897672469038069e-01; 3.04209141751130607e+00; 7.00223186407582716e+01; 6.02515225272682753e-01; 7.75897611510302010e-01; 3.04209136435249761e+00; 
71; 7.10236893431174821e+01; 6.18099748483717848e-01; 7.85836219263522540e-01; 3.01172340380084602e+00; 7.10236893375650027e+01; 6.18099651450790266e-01; 7.85836157692252235e-01; 3.01172336419806541e+00; 
72; 7.20213951127862373e+01; 6.36494516419670253e-01; 7.97519131788407831e-01; 3.01840933313673432e+00; 7.20213951068404299e+01; 6.36494415794296553e-01; 7.97519068861424429e-01; 3.01840929005551972e+00; 
73; 7.30184671945870463e+01; 6.54178256445058226e-01; 8.08602015313549138e-01; 3.01037260278550756e+00; 7.30184671894465964e+01; 6.54178152044612715e-01; 8.08601950874809461e-01; 3.01037256560172084e+00; 
74; 7.40190854656596571e+01; 6.69386285756600974e-01; 8.17937669237180809e-01; 2.99864846324861789e+00; 7.40190854593629552e+01; 6.69386177939041094e-01; 8.17937603475921815e-01; 2.99864842393797870e+00; 
75; 7.50170654306192830e+01; 6.89545228261206233e-01; 8.30213225225291951e-01; 2.97698792279220781e+00; 7.50170654253752929e+01; 6.89545117076269753e-01; 8.30213158371409188e-01; 2.97698789604241076e+00; 
76; 7.60179595558728920e+01; 7.06980641746413507e-01; 8.40629583169219763e-01; 2.97995009733488292e+00; 7.60179595504699250e+01; 7.06980527674299641e-01; 8.40629515435434183e-01; 2.97995008580177512e+00; 
77; 7.70190985566111692e+01; 7.26765148694237140e-01; 8.52291261148204415e-01; 2.97797962819595430e+00; 7.70190985505473691e+01; 7.26765032626672691e-01; 8.52291193192594276e-01; 2.97797961052676863e+00; 
78; 7.80182657553916812e+01; 7.45695939382892026e-01; 8.63343675231862062e-01; 2.97304724077436067e+00; 7.80182657496881404e+01; 7.45695819131483750e-01; 8.63343605709690154e-01; 2.97304722960793910e+00; 
79; 7.90173705514993117e+01; 7.59370483465789281e-01; 8.71245514999299475e-01; 2.97765682269349474e+00; 7.90173705456745381e+01; 7.59370361129620197e-01; 8.71245444907798539e-01; 2.97765680366406249e+00; 
80; 8.00168448688876168e+01; 7.81145952595543758e-01; 8.83664078135856013e-01; 2.95745369135008884e+00; 8.00168448636428451e+01; 7.81145826348111361e-01; 8.83664006801770152e-01; 2.95745367697221662e+00; 
81; 8.10171792072449932e+01; 8.05625170401045754e-01; 8.97401830419056856e-01; 2.95034452440294581e+00; 8.10171792019570063e+01; 8.05625041019039423e-01; 8.97401758433287511e-01; 2.95034450399046433e+00; 
82; 8.20177323027290015e+01; 8.26855483470536501e-01; 9.09143029952088733e-01; 2.97531541423723800e+00; 8.20177322974344776e+01; 8.26855350716731996e-01; 9.09142957044944966e-01; 2.97531540247887882e+00; 
83; 8.30157410497403419e+01; 8.50409869270377539e-01; 9.22042346437221605e-01; 3.00563832477353809e+00; 8.30157410454318097e+01; 8.50409733388962419e-01; 9.22042272825753795e-01; 3.00563831358768674e+00; 
84; 8.40161456351924301e+01; 8.73502364355224548e-01; 9.34474013988336627e-01; 3.02254771070729111e+00; 8.40161456310076460e+01; 8.73502225369845453e-01; 9.34473939695062983e-01; 3.02254769255701561e+00; 
85; 8.50166690195607515e+01; 8.97825554619574362e-01; 9.47389939996436392e-01; 3.01553106280462258e+00; 8.50166690156254532e+01; 8.97825413710168552e-01; 9.47389865698513911e-01; 3.01553105218906170e+00; 
86; 8.60177754959005938e+01; 9.21387904302878313e-01; 9.59724927283005291e-01; 3.00769089853631577e+00; 8.60177754918966855e+01; 9.21387757466471169e-01; 9.59724850857942569e-01; 3.00769088257578643e+00; 
87; 8.70183204197322056e+01; 9.41773027274621533e-01; 9.70276965353423337e-01; 3.00730215543368384e+00; 8.70183204154294572e+01; 9.41772875500598072e-01; 9.70276887222965789e-01; 3.00730213371025368e+00; 
88; 8.80158301845463598e+01; 9.64513759746874366e-01; 9.81969024462638451e-01; 2.99803674228830541e+00; 8.80158301805126655e+01; 9.64513603006636355e-01; 9.81968944718512482e-01; 2.99803671695445528e+00; 
89; 8.90145139646195673e+01; 9.79096054825086326e-01; 9.89386375313569877e-01; 3.00181116737832276e+00; 8.90145139609758900e+01; 9.79095895722831844e-01; 9.89386294962498969e-01; 3.00181115441581525e+00; 
90; 9.00134154755697580e+01; 1.00282869156193200e+00; 1.00132348248564007e+00; 3.02888444358434272e+00; 9.00134154719507791e+01; 1.00282852670523326e+00; 1.00132340021472088e+00; 3.02888443459959289e+00; 
91; 9.10123269387943878e+01; 1.02853590318951804e+00; 1.01409267316625562e+00; 2.99316920795696184e+00; 9.10123269351078363e+01; 1.02853573376562468e+00; 1.01409258967634863e+00; 2.99316920425580868e+00; 
92; 9.20147118016140837e+01; 1.04988204935399199e+00; 1.02453189908721765e+00; 2.98578405210215569e+00; 9.20147117976968190e+01; 1.04988187871647587e+00; 1.02453181586761866e+00; 2.98578403900294953e+00; 
