name=SetSketch2;numRegisters=256;q=62;base=1.00099999999999989e+00;a=2.00000000000000000e+01;registerStateType=registers with lower bound;bulkAddFirstAttemptSuccessProbability=9.49999999999999956e-01;numCycles=1000;aggregationMode=bulk;
cardinality; avg time in seconds (incl. allocation); avg time in seconds (excl. allocation);sum of consumed states;
1;5.2475999999999995e-06;5.0922000000000145e-06;16128000;
2;1.02964e-05;1.0137500000000047e-05;16128000;
5;1.72364e-05;1.7072400000000064e-05;16128000;
10;1.93242e-05;1.9163999999999974e-05;16128000;
20;3.0169999999999997e-05;2.9999599999999959e-05;16128000;
50;3.2823999999999996e-05;3.2653199999999859e-05;16128000;
100;2.2205099999999999e-05;2.2038799999999922e-05;16128000;
200;2.8932200000000001e-05;2.875990000000004e-05;16128000;
500;2.94034e-05;2.9234099999999914e-05;16128000;
1000;3.2578999999999994e-05;3.2419299999999949e-05;16128000;
2000;3.6618000000000001e-05;3.6457700000000056e-05;16128000;
5000;9.8850299999999998e-05;9.867769999999985e-05;16128000;
10000;0.00013982680000000001;0.00013963619999999994;16128000;
20000;0.0002297663;0.00022957210000000032;16128000;
50000;0.00049398900000000002;0.0004937697000000021;16128000;
100000;0.0009511481;0.00095087829999999907;16128000;
200000;0.0017915120000000001;0.0017911780999999996;16128000;
500000;0.0042324314000000002;0.0042320318000000001;16128000;
1000000;0.0085366318999999993;0.0085361628000000054;16128000;
2000000;0.016694670599999999;0.016694167599999987;16128000;
5000000;0.041567688300000002;0.04156714990000001;16128000;
10000000;0.08273789220000001;0.082737321200000005;16128000;
