name=SetSketch2;numRegisters=256;q=62;base=2.00000000000000000e+00;a=2.00000000000000000e+01;registerStateType=registers with lower bound;bulkAddFirstAttemptSuccessProbability=9.49999999999999956e-01;numCycles=1000;aggregationMode=bulk;
cardinality; avg time in seconds (incl. allocation); avg time in seconds (excl. allocation);sum of consumed states;
1;4.6194000000000002e-06;4.4872000000000339e-06;1448000;
2;1.49845e-05;1.4823599999999939e-05;1716000;
5;3.2402599999999994e-05;3.2231200000000065e-05;2068000;
10;4.56074e-05;4.5438799999999921e-05;2317000;
20;5.2422000000000001e-05;5.2257600000000094e-05;2578000;
50;5.6302400000000005e-05;5.6125100000000124e-05;2914000;
100;5.70852e-05;5.6921799999999859e-05;3159000;
200;7.2955900000000004e-05;7.2786100000000038e-05;3427000;
500;6.7527599999999994e-05;6.7367600000000036e-05;3747000;
1000;8.2451399999999988e-05;8.2286300000000039e-05;3964000;
2000;9.5647800000000003e-05;9.5481399999999841e-05;4243000;
5000;0.000140691;0.0001405188000000001;4564000;
10000;0.00018201439999999998;0.00018183480000000029;4862000;
20000;0.00065702780000000008;0.00065677740000000002;5116000;
50000;0.00054840640000000001;0.00054818830000000196;5450000;
100000;0.00099785749999999995;0.00099757430000000031;5723000;
200000;0.0018503331999999999;0.001850027800000002;5947000;
500000;0.0042927219000000001;0.0042923070999999991;6295000;
1000000;0.0083586766999999996;0.0083582466000000008;6588000;
2000000;0.016500595900000001;0.016500100699999964;6869000;
5000000;0.083455743100000007;0.083455148399999915;7169000;
10000000;0.0831433018;0.083142721899999883;7397000;
