name=GeneralizedHyperLogLog;numRegisters=4096;q=62;base=2.00000000000000000e+00;a=2.44140625000000000e-04;registerStateType=registers with lower bound;numExamples=10000;
true cardinality; simple mean; simple mse; simple standard deviation; simple kurtosis; ml mean; ml mse; ml standard deviation; ml kurtosis; 
0; 0.00000000000000000e+00; 0.00000000000000000e+00; 0.00000000000000000e+00; -nan; 0.00000000000000000e+00; 0.00000000000000000e+00; 0.00000000000000000e+00; -nan; 
1; 1.00011574463869279e+00; 1.33968216077932310e-08; 1.47056320877438448e-08; 1.55537875236448375e+00; 1.00012228492822741e+00; 1.92015980748843661e-08; 6.51766401020151487e-05; 1.55551663156288855e+00; 
2; 2.00037572866098001e+00; 1.00203184562809740e-04; 1.00031001462634970e-02; 9.99800009864613639e+03; 2.00038918343936745e+00; 1.00260789586552627e-04; 1.00054647986515029e-02; 9.99127416531547169e+03; 
3; 3.00060360739861309e+00; 5.00742360174330557e-04; 2.23691309237137349e-02; 1.99800049983295435e+03; 3.00059688692278748e+00; 5.00779436128120947e-04; 2.23701399667000159e-02; 1.99709567350898419e+03; 
4; 4.00122852886269786e+00; 7.02174096508701275e-04; 2.64700739202369528e-02; 1.42657212816303240e+03; 4.00125363248394894e+00; 7.02385003375024684e-04; 2.64728806322720028e-02; 1.42546819916717550e+03; 
5; 5.00120004426101339e+00; 1.90228133620796817e-03; 4.35986379372055102e-02; 5.24317692711369887e+02; 5.00115365911372756e+00; 1.90139677650533689e-03; 4.35897447475300029e-02; 5.24020007631077760e+02; 
6; 6.00110383689066396e+00; 3.29892256036501842e-03; 5.74256397829734505e-02; 3.01033613645957530e+02; 6.00109717901483286e+00; 3.29848780428510522e-03; 5.74219818753613012e-02; 3.00864492458243603e+02; 
7; 7.00111548667233574e+00; 4.79268226785631302e-03; 6.92202135025601212e-02; 2.06338156169816870e+02; 7.00118226533575250e+00; 4.79245808101838935e-03; 6.92174857221385664e-02; 2.06212295170993400e+02; 
8; 8.00126031671126015e+00; 6.48324095344359700e-03; 8.05087110518530463e-02; 1.51852696040395358e+02; 8.00130454688563120e+00; 6.48031823814294947e-03; 8.04898527490679333e-02; 1.51750967199099733e+02; 
9; 9.00141683963998318e+00; 8.66698138331493777e-03; 9.30858418275802707e-02; 1.28880947399214193e+02; 9.00138176076074892e+00; 8.66176217030908968e-03; 9.30583306722663900e-02; 1.28808752918469310e+02; 
10; 1.00014973986302476e+01; 1.09375330872761387e-02; 1.04571941191788129e-01; 9.89017365015192098e+01; 1.00013965863310190e+01; 1.09303990980166698e-02; 1.04539220604694935e-01; 9.88326260734287985e+01; 
11; 1.10012501692262159e+01; 1.38873063708417101e-02; 1.17837784465542064e-01; 8.17872991690869355e+01; 1.10011609123256253e+01; 1.38789692960169953e-02; 1.17803317349682177e-01; 8.17221255080385731e+01; 
12; 1.20006840328074542e+01; 1.73092375844407440e-02; 1.31562797490623190e-01; 6.70336078668016597e+01; 1.20006586283575185e+01; 1.72978958718071861e-02; 1.31519816303451775e-01; 6.69759297053330869e+01; 
13; 1.30008450428957634e+01; 2.02319522455403911e-02; 1.42236557002917152e-01; 5.83546865485802257e+01; 1.30009001958352055e+01; 2.02154435821665958e-02; 1.42178174237908850e-01; 5.82889575233904793e+01; 
14; 1.40001724030453865e+01; 2.41987218507266656e-02; 1.55559288144156982e-01; 4.87266812515243330e+01; 1.40002741359934131e+01; 2.41730372723546819e-02; 1.55476564542093104e-01; 4.86831082418871617e+01; 
15; 1.50001954008250795e+01; 2.75591098964292208e-02; 1.66009251895628207e-01; 4.13368576913731260e+01; 1.50003109540027850e+01; 2.75260932202684404e-02; 1.65909603482969931e-01; 4.12965268562716545e+01; 
16; 1.60020202175006254e+01; 2.94816492980864396e-02; 1.71690325934042681e-01; 3.79914157220152333e+01; 1.60020937932766287e+01; 2.94493622612602805e-02; 1.71595391228829358e-01; 3.79508814898722449e+01; 
17; 1.70020177169391786e+01; 3.37776230976976760e-02; 1.83775819726238326e-01; 3.40917075815948394e+01; 1.70020259047357989e+01; 3.37417024458264991e-02; 1.83677974062835619e-01; 3.40593528657702151e+01; 
18; 1.80024724246355063e+01; 3.80596411004060983e-02; 1.95073135559021005e-01; 3.16329422150989821e+01; 1.80023923953604204e+01; 3.80124631573151225e-02; 1.94953172843519290e-01; 3.15942197872448709e+01; 
19; 1.90030598785672602e+01; 4.24072539111411267e-02; 2.05907481783184410e-01; 2.92870445166933635e+01; 1.90029032175551826e+01; 4.23505893520735519e-02; 2.05772108605371234e-01; 2.92256188720696244e+01; 
20; 2.00018535851164998e+01; 4.85488922852210722e-02; 2.20330334968736441e-01; 2.72285705152618114e+01; 2.00016495443619249e+01; 4.84905774498894729e-02; 2.20199583226870277e-01; 2.71806589217054473e+01; 
21; 2.10019590355442460e+01; 5.34323157847851546e-02; 2.31146010055379603e-01; 2.44751770245702502e+01; 2.10017396536368892e+01; 5.33687199965362513e-02; 2.31010159087777861e-01; 2.44231820476949260e+01; 
22; 2.20022707074126274e+01; 5.80700312805547958e-02; 2.40966543670278505e-01; 2.19732487710274924e+01; 2.20020764497591372e+01; 5.79955381058060090e-02; 2.40813675820548689e-01; 2.19281649539503398e+01; 
23; 2.30025935978988691e+01; 6.26391814988939838e-02; 2.50264769292105449e-01; 1.96191004441658130e+01; 2.30024366362882162e+01; 6.25727454680454209e-02; 2.50133580855600168e-01; 1.95734786515740602e+01; 
24; 2.40027372963595695e+01; 6.77125316146981182e-02; 2.60201919330619702e-01; 1.77066751578348942e+01; 2.40026734561713155e+01; 6.76538125979445071e-02; 2.60089725345013900e-01; 1.76653158924241858e+01; 
25; 2.50029149786281337e+01; 7.33086716571660912e-02; 2.70740049783484649e-01; 1.63402251678275299e+01; 2.50029468117670142e+01; 7.32665918046451758e-02; 2.70661981270095997e-01; 1.63039112963594768e+01; 
26; 2.60026356765146716e+01; 7.94398846916549023e-02; 2.81838496130259741e-01; 1.49731318992768188e+01; 2.60027605010606990e+01; 7.93854723893681058e-02; 2.81740753216964512e-01; 1.49416618811826520e+01; 
27; 2.70035196001409545e+01; 8.55569045137297007e-02; 2.92479942779973745e-01; 1.53614063331185804e+01; 2.70036878156189033e+01; 8.54759816041292392e-02; 2.92339497194768150e-01; 1.53135875810513618e+01; 
28; 2.80017502840533226e+01; 9.44089015577895402e-02; 3.07255330407013527e-01; 1.45746665108690365e+01; 2.80019773934008711e+01; 9.43072004273567271e-02; 3.07088408023966530e-01; 1.45450956361906396e+01; 
29; 2.90001494425318391e+01; 1.03418260999668471e-01; 3.21587062343306529e-01; 1.35076559218764896e+01; 2.90004006920984843e+01; 1.03322501904405589e-01; 3.21437927678499380e-01; 1.34850576872099914e+01; 
30; 3.00004308764334020e+01; 1.10215658407689598e-01; 3.31987157512440456e-01; 1.26210542336420897e+01; 3.00006605199782292e+01; 1.10073984180978302e-01; 3.31773338130623485e-01; 1.25965904774912190e+01; 
31; 3.10021922643170633e+01; 1.15179147358486528e-01; 3.39373454082152304e-01; 1.18274600071487246e+01; 3.10024025817806717e+01; 1.15038121364327298e-01; 3.39164191749534105e-01; 1.18007342355326017e+01; 
32; 3.20027102797460330e+01; 1.22654825414097654e-01; 3.50210622051640552e-01; 1.12093643472177504e+01; 3.20028559347613282e+01; 1.22485136803314007e-01; 3.49967113369174687e-01; 1.11839533423662694e+01; 
33; 3.30026848035288936e+01; 1.31850323595161162e-01; 3.63102073011392690e-01; 1.11356690676499603e+01; 3.30027621908802544e+01; 1.31654025510235723e-01; 3.62831084406748328e-01; 1.11089578744336723e+01; 
34; 3.40031173784275325e+01; 1.39559672255528289e-01; 3.73563855595356709e-01; 1.06592109881814618e+01; 3.40031181542425003e+01; 1.39332230256317052e-01; 3.73259303126442565e-01; 1.06345933819792826e+01; 
35; 3.50029936323108757e+01; 1.47724398310296323e-01; 3.84337659455696201e-01; 9.97519777726715873e+00; 3.50029227706797386e+01; 1.47424863114232779e-01; 3.83948330541735827e-01; 9.95118299860870259e+00; 
36; 3.60028109577881139e+01; 1.55548465379074713e-01; 3.94386313017309864e-01; 9.29841800689771247e+00; 3.60026388446459364e+01; 1.55196790298652437e-01; 3.93941400207679149e-01; 9.27716032123147905e+00; 
37; 3.70030691563496319e+01; 1.64508385146643593e-01; 4.05584720404930321e-01; 8.84404821865982171e+00; 3.70028700702744260e+01; 1.64206562368539116e-01; 4.05213925063243829e-01; 8.82903215749099246e+00; 
38; 3.80038631358303505e+01; 1.72105725173208796e-01; 4.14838283376502914e-01; 8.36522731913044915e+00; 3.80035834594533668e+01; 1.71768169896218376e-01; 4.14433744661996784e-01; 8.35945121234932387e+00; 
39; 3.90051898498782279e+01; 1.80394676170165996e-01; 4.24697235249306637e-01; 8.02153990876083611e+00; 3.90048148614256291e+01; 1.80009476793754702e-01; 4.24247915614454296e-01; 8.01900668420281804e+00; 
40; 4.00063408334773314e+01; 1.89423285920946899e-01; 4.35181662931415081e-01; 7.71072218588270797e+00; 4.00059603018083365e+01; 1.89000237462150528e-01; 4.34700715739584354e-01; 7.71222384691112683e+00; 
41; 4.10053942927549215e+01; 1.99294856622243638e-01; 4.46391933426138310e-01; 7.26848574278704440e+00; 4.10050059484564642e+01; 1.98837058415585161e-01; 4.45883391589815881e-01; 7.27084823855817941e+00; 
