name=GeneralizedHyperLogLog;numRegisters=4096;q=62;base=1.00099999999999989e+00;a=2.44140625000000000e-04;registerStateType=registers with lower bound;numCycles=1000;aggregationMode=stream;
cardinality; avg time in seconds (incl. allocation); avg time in seconds (excl. allocation);sum of consumed states;
1;1.0832000000000001e-06;3.1799999999999934e-08;63000;
2;1.0717999999999998e-06;3.8300000000000091e-08;126000;
5;1.1051e-06;5.9400000000000605e-08;315000;
10;1.1336e-06;8.9700000000001339e-08;630000;
20;1.2145000000000002e-06;1.7110000000000229e-07;1260000;
50;1.5943999999999999e-06;4.2450000000000563e-07;3111000;
100;2.1829000000000003e-06;1.0724999999999978e-06;5996000;
200;2.9436999999999999e-06;1.8537999999999855e-06;11738000;
500;4.7385999999999998e-06;3.6376000000000005e-06;28758000;
1000;1.0571900000000001e-05;9.4627000000000831e-06;54070000;
2000;2.2833900000000002e-05;2.1692500000000223e-05;96534000;
5000;6.2050099999999997e-05;6.0902100000000082e-05;178852000;
10000;0.0001163195;0.00011514639999999988;234486000;
20000;0.00020861569999999999;0.00020714520000000034;255629000;
50000;0.00047771340000000003;0.00047649960000000218;258048000;
100000;0.00093927729999999997;0.00093787249999999927;258048000;
200000;0.0017509467999999998;0.0017495089000000015;258048000;
500000;0.0042084775999999997;0.0042069200000000003;258048000;
1000000;0.008350372;0.0083487453000000156;258048000;
2000000;0.016574384500000001;0.016572685900000019;258048000;
5000000;0.041251892800000002;0.0412501469;258048000;
10000000;0.082799454800000005;0.082797516300000026;258048000;
