name=HyperLogLog;numRegisters=4096;q=52;base=2.00000000000000000e+00;a=2.44140625000000000e-04;registerStateType=registers;numCycles=1000;aggregationMode=stream;
cardinality; avg time in seconds (incl. allocation); avg time in seconds (excl. allocation);sum of consumed states;
1;1.0316e-06;2.2999999999999978e-08;1000;
2;1.3201000000000001e-06;2.4599999999999962e-08;2000;
5;1.0232e-06;2.989999999999991e-08;9000;
10;1.0352000000000001e-06;4.3400000000000217e-08;18000;
20;1.0596e-06;6.7100000000000793e-08;40000;
50;1.1761000000000001e-06;1.7100000000000192e-07;105000;
100;1.4631e-06;4.2510000000000695e-07;201000;
200;1.6664e-06;5.8709999999999805e-07;414000;
500;2.2959999999999997e-06;1.2549000000000113e-06;948000;
1000;6.7108999999999996e-06;5.6546999999999808e-06;1818000;
2000;1.6501300000000001e-05;1.5428199999999958e-05;3372000;
5000;5.24062e-05;5.1299099999999998e-05;6866000;
10000;0.0001114733;0.00011035250000000002;10744000;
20000;0.00021650590000000001;0.00021536639999999974;14780000;
50000;0.0005066227;0.00050542650000000018;19989000;
100000;0.00098846529999999989;0.00098716189999999843;24099000;
200000;0.0018597657999999998;0.0018583885000000003;28163000;
500000;0.0044507396000000006;0.0044488934000000034;33824000;
1000000;0.0087416035000000003;0.008740016199999999;37803000;
2000000;0.017339027399999998;0.017337351900000016;41967000;
5000000;0.0431789609;0.043177202500000018;47494000;
10000000;0.086060080099999992;0.086058293599999988;51543000;
