name=SetSketch2;numRegisters=256;q=65534;base=1.00099999999999989e+00;a=2.00000000000000000e+01;registerStateType=registers with lower bound;bulkAddFirstAttemptSuccessProbability=9.49999999999999956e-01;numExamples=10000;
true cardinality; simple mean; simple mse; simple standard deviation; simple kurtosis; ml mean; ml mse; ml standard deviation; ml kurtosis; 
0; 4.99750208145997507e-02; 2.49750270542014588e-03; 9.92261828258733658e-16; 1.00000000000000000e+00; 4.99750166541737123e-02; 2.49750228958566444e-03; 2.94902990916057206e-15; 1.00000000000000000e+00; 
1; 1.00002983441537840e+00; 1.61396233003870380e-05; 4.01730422149558161e-03; 6.69619055648617234e+00; 1.00002983437704640e+00; 1.61395956664348131e-05; 4.01730078241361536e-03; 6.69618606408934536e+00; 
2; 2.00279435495854852e+00; 5.39226665587433547e-03; 7.33788677770374209e-02; 3.04137379822809351e+00; 2.00279435386529814e+00; 5.39226544613347677e-03; 7.33788595755549555e-02; 3.04137381128010098e+00; 
3; 3.00373008799927366e+00; 1.43519996312964030e-02; 1.19741747418408442e-01; 2.96759154607820097e+00; 3.00373008633484728e+00; 1.43519967514962529e-02; 1.19741735445210565e-01; 2.96759154796639502e+00; 
4; 4.00632374425873028e+00; 2.75665444434090891e-02; 1.65911285637713762e-01; 3.05711024484390981e+00; 4.00632374141900982e+00; 2.75665392716593662e-02; 1.65911270160061269e-01; 3.05711026527840879e+00; 
5; 5.01010078076474663e+00; 4.44318547222059129e-02; 2.10546500683691434e-01; 2.92786620817851162e+00; 5.01010077686477651e+00; 4.44318464805733906e-02; 2.10546481298790611e-01; 2.92786619246333668e+00; 
6; 6.01107715606843662e+00; 6.48256836456901769e-02; 2.54367805075890074e-01; 2.93775571606966768e+00; 6.01107715093248185e+00; 6.48256714720771982e-02; 2.54367781370393786e-01; 2.93775568593522385e+00; 
7; 7.01006713535351267e+00; 8.84539195380942556e-02; 2.97241605977138945e-01; 2.97089949569712530e+00; 7.01006712965599021e+00; 8.84539032964716671e-02; 2.97241578849529675e-01; 2.97089952897913046e+00; 
8; 8.01247126048049019e+00; 1.17838901785476291e-01; 3.43050097576877211e-01; 3.01999098565194313e+00; 8.01247125364804980e+00; 1.17838880857947470e-01; 3.43050067323114882e-01; 3.01999101153792315e+00; 
9; 9.01285963852257765e+00; 1.50578508411275597e-01; 3.87831326878509519e-01; 3.11001055001730231e+00; 9.01285963191449468e+00; 1.50578482536071784e-01; 3.87831293738779781e-01; 3.11001058123784402e+00; 
