name=GeneralizedHyperLogLog;numRegisters=16384;q=62;base=2.00000000000000000e+00;a=6.10351562500000000e-05;seed=e771a67e6a075a79;numCycles=1000;
cardinality; avg time in seconds;avg estimated cardinality;
1;0.00012354600000000001;11819.042694558679
2;0.00012537949999999999;11819.51747710712
5;0.00012520909999999999;11820.961332988651
10;0.0001257083;11823.370760380974
20;0.00012577709999999999;11828.192109896469
50;0.00012663210000000001;11842.63641881432
100;0.0001283783;11866.690526862409
200;0.00013251110000000001;11915.001356819983
500;0.00014073229999999999;12060.570785794875
1000;0.0001535082;12306.559420075859
2000;0.0001847842;12808.378846546388
5000;0.00025910540000000001;14397.986833053315
10000;0.00037641680000000002;17331.307439421587
20000;0.00062302270000000001;24196.525336569677
50000;0.0012876236999999999;50475.596889321736
100000;0.0023291067999999999;99985.462558674408
200000;0.0042257338;200067.76110907091
500000;0.0083157853999999993;500067.43989275215
1000000;0.0124010679;999831.91652419313
2000000;0.018176672000000001;2000008.3396857618
5000000;0.031586240199999997;5001185.3704612292
10000000;0.050429310999999998;10001336.652702354
