name=SetSketch2;numRegisters=4096;q=62;base=1.00099999999999989e+00;a=2.00000000000000000e+01;registerStateType=registers with lower bound;bulkAddFirstAttemptSuccessProbability=9.49999999999999956e-01;numCycles=1000;aggregationMode=stream;
cardinality; avg time in seconds (incl. allocation); avg time in seconds (excl. allocation);sum of consumed states;
1;8.3221399999999996e-05;8.2061899999999954e-05;258048000;
2;8.4084599999999991e-05;8.2918400000000104e-05;258048000;
5;8.1862900000000005e-05;8.0694000000000105e-05;258048000;
10;8.30876e-05;8.1930599999999889e-05;258048000;
20;8.3697999999999997e-05;8.2564800000000074e-05;258048000;
50;8.4192600000000011e-05;8.3045500000000023e-05;258048000;
100;8.354309999999999e-05;8.2391899999999756e-05;258048000;
200;8.5152000000000001e-05;8.4008799999999974e-05;258048000;
500;8.7247800000000002e-05;8.6108799999999862e-05;258048000;
1000;9.2334400000000001e-05;9.1191899999999915e-05;258048000;
2000;9.982929999999999e-05;9.8671600000000128e-05;258048000;
5000;0.00012292989999999998;0.00012175880000000017;258048000;
10000;0.00016261649999999998;0.00016144160000000022;258048000;
20000;0.00024041770000000001;0.00023922540000000003;258048000;
50000;0.00047906530000000003;0.00047751100000000034;258048000;
100000;0.00088727840000000005;0.00088591439999999972;258048000;
200000;0.0016298250999999999;0.0016283971000000011;258048000;
500000;0.0039150191000000001;0.0039133962000000031;258048000;
1000000;0.0074405158000000002;0.0074388575999999986;258048000;
2000000;0.0147213706;0.014719305400000018;258048000;
5000000;0.037656320299999997;0.03765445919999999;258048000;
10000000;0.074069740800000006;0.074067799500000003;258048000;
