name=SetSketch1;numRegisters=256;q=62;base=2.00000000000000000e+00;a=2.00000000000000000e+01;registerStateType=registers with lower bound;bulkAddFirstAttemptSuccessProbability=9.49999999999999956e-01;numCycles=1000;aggregationMode=bulk;
cardinality; avg time in seconds (incl. allocation); avg time in seconds (excl. allocation);sum of consumed states;
1;4.7016999999999994e-06;4.5721000000000447e-06;1460000;
2;1.35174e-05;1.3376099999999945e-05;1684000;
5;3.22818e-05;3.2136400000000013e-05;2040000;
10;5.0949200000000003e-05;5.0791599999999915e-05;2303000;
20;5.8468399999999997e-05;5.8314299999999951e-05;2569000;
50;6.7298999999999994e-05;6.7144499999999987e-05;2905000;
100;6.5365100000000002e-05;6.5209099999999945e-05;3166000;
200;8.0815000000000005e-05;8.0658299999999952e-05;3408000;
500;9.7200200000000005e-05;9.7028200000000129e-05;3749000;
1000;9.4788300000000009e-05;9.4626199999999877e-05;4003000;
2000;0.0001186713;0.00011851069999999997;4272000;
5000;0.00016497339999999998;0.00016480180000000015;4555000;
10000;0.0002193497;0.00021917490000000037;4847000;
20000;0.00033647450000000003;0.00033627870000000015;5115000;
50000;0.00071493810000000007;0.00071466679999999917;5446000;
100000;0.001281431;0.0012811559000000009;5670000;
200000;0.0023730330000000001;0.0023727114999999967;5922000;
500000;0.0057833873999999993;0.005782945599999997;6304000;
1000000;0.022390935399999999;0.022390427000000015;6560000;
2000000;0.022169259199999999;0.022168766599999997;6811000;
5000000;0.055566709200000002;0.055566163100000059;7121000;
10000000;0.1100813791;0.11008072449999992;7350000;
