name=SetSketch1;numRegisters=256;q=62;base=1.00099999999999989e+00;a=2.00000000000000000e+01;registerStateType=registers with lower bound;bulkAddFirstAttemptSuccessProbability=9.49999999999999956e-01;numCycles=1000;aggregationMode=bulk;
cardinality; avg time in seconds (incl. allocation); avg time in seconds (excl. allocation);sum of consumed states;
1;4.3985999999999997e-06;4.2622000000000089e-06;16128000;
2;1.0837499999999999e-05;1.0686300000000071e-05;16128000;
5;1.97659e-05;1.9610799999999961e-05;16128000;
10;2.7872200000000001e-05;2.7715999999999919e-05;16128000;
20;2.4306000000000001e-05;2.4130900000000098e-05;16128000;
50;2.5565399999999998e-05;2.5421299999999875e-05;16128000;
100;0.00012048749999999999;0.00012032030000000008;16128000;
200;3.7688699999999997e-05;3.7527500000000077e-05;16128000;
500;4.5845700000000001e-05;4.5688900000000002e-05;16128000;
1000;4.9671900000000001e-05;4.951540000000001e-05;16128000;
2000;6.8642499999999992e-05;6.8488199999999904e-05;16128000;
5000;0.00011797420000000001;0.00011780819999999989;16128000;
10000;0.00017995900000000002;0.00017978500000000053;16128000;
20000;0.00029966500000000001;0.00029948389999999978;16128000;
50000;0.00063986610000000004;0.00063965470000000026;16128000;
100000;0.0012412018;0.0012409169000000017;16128000;
200000;0.0023355342999999999;0.0023352159999999976;16128000;
500000;0.0056577745000000006;0.005657369700000003;16128000;
1000000;0.0111383613;0.011137892;16128000;
2000000;0.021955089399999999;0.021954577499999992;16128000;
5000000;0.054946081300000005;0.054945553499999945;16128000;
10000000;0.109465308;0.10946470689999993;16128000;
