name=HyperLogLog;numRegisters=16384;q=50;base=2.00000000000000000e+00;a=6.10351562500000000e-05;seed=0000000000000000;numCycles=1000;
cardinality; avg time in seconds;avg estimated cardinality;
1;0.00012555500000000001;11819.04932400225
2;0.00012679400000000001;11819.517909871471
5;0.0001273848;11820.95243029316
10;0.0001274181;11823.372906947156
20;0.0001277835;11828.170402258185
50;0.00012832020000000001;11842.652214328986
100;0.0001283189;11866.769004956699
200;0.00013107090000000001;11915.032856649153
500;0.0001363491;12060.5322069666
1000;0.0001455847;12306.356231642549
2000;0.00016510830000000001;12808.504448239419
5000;0.0002078627;14398.510821428516
10000;0.00027231910000000001;17328.973978223035
20000;0.00040753959999999999;24196.165169715037
50000;0.00077316790000000004;50474.056258297351
100000;0.001285755;100000.77591177617
200000;0.0021826442000000001;199993.02026151068
500000;0.0042171400999999999;499808.1815086042
1000000;0.0061844029999999998;1000033.4509122648
2000000;0.0087858329000000002;2000587.0460265854
5000000;0.013974306000000001;5001328.9922414506
10000000;0.020953179400000001;10003344.049122602
