name=GeneralizedHyperLogLog;numRegisters=4096;q=62;base=2.00000000000000000e+00;a=2.44140625000000000e-04;registerStateType=registers with lower bound;numCycles=1000;aggregationMode=stream;
cardinality; avg time in seconds (incl. allocation); avg time in seconds (excl. allocation);sum of consumed states;
1;1.0865000000000001e-06;3.550000000000002e-08;2000;
2;1.0591000000000002e-06;3.9000000000000111e-08;4000;
5;1.1051e-06;7.0000000000000865e-08;11000;
10;1.1120999999999999e-06;9.3600000000001434e-08;21000;
20;1.2424e-06;2.1350000000000201e-07;42000;
50;1.7237000000000001e-06;6.5540000000000265e-07;99000;
100;1.8073e-06;7.3319999999999505e-07;194000;
200;2.5305000000000002e-06;1.4482999999999822e-06;397000;
500;8.2184000000000008e-06;7.1336000000000692e-06;1001000;
1000;1.70559e-05;1.5950199999999934e-05;1869000;
2000;3.7414099999999998e-05;3.6306000000000028e-05;3426000;
5000;0.0001024421;0.00010130980000000014;6974000;
10000;0.00020734179999999999;0.00020619030000000024;10903000;
20000;0.00041632440000000001;0.00041515320000000031;14962000;
50000;0.00098001920000000001;0.00097871780000000097;20183000;
100000;0.0018493918;0.0018480067000000019;24286000;
200000;0.0028208017999999998;0.002819357499999996;28194000;
500000;0.0052018006000000006;0.0052003006999999978;33672000;
1000000;0.0075397926000000002;0.0075382639999999994;37756000;
2000000;0.011883127300000001;0.011881529400000004;41866000;
5000000;0.022532364999999999;0.022530692699999997;47277000;
10000000;0.039317664800000006;0.039316006300000032;51640000;
