name=GeneralizedHyperLogLog;numRegisters=256;q=62;base=2.00000000000000000e+00;a=3.90625000000000000e-03;registerStateType=registers;numCycles=1000;aggregationMode=stream;
cardinality; avg time in seconds (incl. allocation); avg time in seconds (excl. allocation);sum of consumed states;
1;1.184e-07;2.799999999999993e-08;3000;
2;1.247e-07;3.4800000000000007e-08;4000;
5;1.5279999999999999e-07;5.1100000000000405e-08;8000;
10;1.9579999999999999e-07;8.7000000000001255e-08;17000;
20;2.234e-07;1.3420000000000198e-07;38000;
50;3.8729999999999998e-07;2.9960000000000319e-07;79000;
100;6.68e-07;5.7960000000000479e-07;153000;
200;1.2340000000000002e-06;1.1457999999999993e-06;290000;
500;3.1109999999999999e-06;2.980199999999996e-06;559000;
1000;1.60203e-05;1.5867900000000015e-05;806000;
2000;3.4609e-05;3.4441500000000039e-05;1086000;
5000;8.4847900000000005e-05;8.4666300000000067e-05;1417000;
10000;0.00016895030000000001;0.00016875810000000033;1712000;
20000;0.00033419910000000001;0.0003340000999999997;1969000;
50000;0.00084600859999999997;0.00084573450000000017;2323000;
100000;0.0016230614;0.0016227627000000018;2522000;
200000;0.0031640727999999998;0.0031637176999999971;2769000;
500000;0.0077328010999999997;0.007732381699999998;3106000;
1000000;0.015391549400000001;0.015391056200000003;3383000;
2000000;0.030649475700000001;0.030648945299999973;3640000;
5000000;0.076486947400000005;0.076486385199999993;3947000;
10000000;0.15291692610000002;0.15291618079999986;4185000;
