name=SetSketch2;numRegisters=4096;q=65534;base=1.00099999999999989e+00;a=2.00000000000000000e+01;registerStateType=registers with lower bound;bulkAddFirstAttemptSuccessProbability=9.49999999999999956e-01;numExamples=1000;
trueDifference1;trueDifference2;trueIntersection;true1;true2;trueUnion;trueJaccard;trueCosine;trueInclusionCoefficient1;trueInclusionCoefficient2;trueAlpha;trueBeta;newMeanDifference1;newMeanDifference2;newMeanIntersection;newMean1;newMean2;newMeanUnion;newMeanJaccard;newMeanCosine;newMeanInclusionCoefficient1;newMeanInclusionCoefficient2;newMeanAlpha;newMeanBeta;newMSEDifference1;newMSEDifference2;newMSEIntersection;newMSE1;newMSE2;newMSEUnion;newMSEJaccard;newMSECosine;newMSEInclusionCoefficient1;newMSEInclusionCoefficient2;newMSEAlpha;newMSEBeta;newKnownCardMeanDifference1;newKnownCardMeanDifference2;newKnownCardMeanIntersection;newKnownCardMean1;newKnownCardMean2;newKnownCardMeanUnion;newKnownCardMeanJaccard;newKnownCardMeanCosine;newKnownCardMeanInclusionCoefficient1;newKnownCardMeanInclusionCoefficient2;newKnownCardMeanAlpha;newKnownCardMeanBeta;newKnownCardMSEDifference1;newKnownCardMSEDifference2;newKnownCardMSEIntersection;newKnownCardMSE1;newKnownCardMSE2;newKnownCardMSEUnion;newKnownCardMSEJaccard;newKnownCardMSECosine;newKnownCardMSEInclusionCoefficient1;newKnownCardMSEInclusionCoefficient2;newKnownCardMSEAlpha;newKnownCardMSEBeta;inclExclMeanDifference1;inclExclMeanDifference2;inclExclMeanIntersection;inclExclMean1;inclExclMean2;inclExclMeanUnion;inclExclMeanJaccard;inclExclMeanCosine;inclExclMeanInclusionCoefficient1;inclExclMeanInclusionCoefficient2;inclExclMeanAlpha;inclExclMeanBeta;inclExclMSEDifference1;inclExclMSEDifference2;inclExclMSEIntersection;inclExclMSE1;inclExclMSE2;inclExclMSEUnion;inclExclMSEJaccard;inclExclMSECosine;inclExclMSEInclusionCoefficient1;inclExclMSEInclusionCoefficient2;inclExclMSEAlpha;inclExclMSEBeta;inclExclKnownCardMeanDifference1;inclExclKnownCardMeanDifference2;inclExclKnownCardMeanIntersection;inclExclKnownCardMean1;inclExclKnownCardMean2;inclExclKnownCardMeanUnion;inclExclKnownCardMeanJaccard;inclExclKnownCardMeanCosine;inclExclKnownCardMeanInclusionCoefficient1;inclExclKnownCardMeanInclusionCoefficient2;inclExclKnownCardMeanAlpha;inclExclKnownCardMeanBeta;inclExclKnownCardMSEDifference1;inclExclKnownCardMSEDifference2;inclExclKnownCardMSEIntersection;inclExclKnownCardMSE1;inclExclKnownCardMSE2;inclExclKnownCardMSEUnion;inclExclKnownCardMSEJaccard;inclExclKnownCardMSECosine;inclExclKnownCardMSEInclusionCoefficient1;inclExclKnownCardMSEInclusionCoefficient2;inclExclKnownCardMSEAlpha;inclExclKnownCardMSEBeta;collLowerBoundMeanJaccard;collUpperBoundMeanJaccard;collLowerBoundMSEJaccard;collUpperBoundMSEJaccard;
250;250;500;750;750;1000;0.5;0.66666666666666663;0.66666666666666663;0.66666666666666663;0.25;0.25;250.45457094862957;250.09585177589324;500.19127410740742;750.64584505603659;750.28712588330097;1000.7416968319325;0.49982468971907501;0.66650648044315386;0.66636053330794787;0.66668032067889704;0.25026681582759364;0.2499084944533316;36.335443108815937;38.134657862125373;46.076392298994683;73.093727019404497;70.443889637128862;77.631733065977556;3.0854827172341052e-05;2.4416532934061879e-05;4.1354310700943236e-05;4.4645673349177919e-05;3.0231508733068851e-05;3.2260850115993909e-05;250.08523076448802;250.08523076448802;499.91476923551193;750;750;1000.0852307644893;0.49989268323333913;0.66655302564734809;0.66655302564734809;0.66655302564734809;0.25005365838333043;0.25005365838333043;13.697288351857553;13.697288351857553;13.697288351857532;2.3005960786631081e-27;2.3005960786631081e-27;13.697288351857576;3.0770497157260569e-05;2.4350734847746759e-05;2.4350734847746759e-05;2.4350734847746759e-05;7.692624289315132e-06;7.692624289315132e-06;250.56592239826426;250.20720322552802;500.07992265777341;750.64584505603659;750.28712588330109;1000.8530482815653;0.49971536289561019;0.66636874500853072;0.66622310084103431;0.66654228264432458;0.2503213163275117;0.24996332077687874;71.183101567078936;72.328065633718069;68.45925674125678;73.093727019404326;70.443889637128805;124.28993485357105;9.9167400979930203e-05;7.8603570793687089e-05;9.5914493963148952e-05;9.8470055383083316e-05;4.7545643634898016e-05;4.9107889378474231e-05;250.85304828156518;250.85304828156518;499.14695171843499;750;750;1000.8530482815652;0.49890621913239591;0.66552926895791265;0.66552926895791265;0.66552926895791265;0.25054689043380207;0.25054689043380207;124.28993485357127;124.28993485357127;124.28993485357125;2.4944665347302241e-27;2.4944665347302241e-27;124.2899348535713;0.0002778248799162201;0.00022095988418412691;0.00022095988418412691;0.00022095988418412691;6.9456219979055107e-05;6.9456219979055107e-05;0.49989268390036556;0.49995515594996404;3.0770496571904525e-05;3.0745613538935807e-05;
272;228;500;772;728;1000;0.5;0.66695366670545919;0.64766839378238339;0.68681318681318682;0.27200000000000002;0.22800000000000001;271.91721970637121;228.23877055394945;500.02650967699248;771.94372938336426;728.26528023094193;1000.1824999373149;0.49994038994382878;0.66689200451222042;0.64776458048898389;0.68661110242047052;0.27186213937074855;0.22819747068542223;39.018436370397247;32.582918391377653;44.315405834653575;76.930112196427928;64.862637247070026;80.478483317934717;2.9296659402476478e-05;2.3116615922451561e-05;3.9093353296553545e-05;4.2019181662358156e-05;3.0081014081765334e-05;2.8512954385480778e-05;272.02222842728429;228.02222842728438;499.97777157271565;772;728;1000.0222284272845;0.49998618746395751;0.6669240160432951;0.64763960048279157;0.68678265325922427;0.2720067036841588;0.2280071088518828;13.017576339871281;13.017576339871267;13.017576339871257;2.8305086585798916e-27;3.4121200267812393e-27;13.01757633987128;2.930198831534388e-05;2.3162287799406573e-05;2.1842157406694265e-05;2.4562206292777287e-05;6.9020377668085337e-06;7.7615627573919618e-06;271.57997124527509;227.90152209285287;500.3637581380886;771.94372938336426;728.26528023094193;999.84525147621696;0.50049981306760072;0.66734628367156279;0.64820685777874798;0.68707771873911239;0.27158997711744726;0.22791020981495122;74.413036017058985;65.078477083085744;73.281648529842002;76.930112196427828;64.862637247070012;119.40239896111611;0.00010223831994522482;8.058403330728171e-05;9.4785274072207605e-05;0.00010133598394769583;4.8234114946326423e-05;4.6829552121323922e-05;271.84525147621684;227.84525147621682;500.15474852378327;772;728;999.84525147621696;0.50041124658707636;0.66716008689616924;0.64786884523806076;0.68702575346673578;0.27180040832307245;0.22778834508985166;119.40239896111596;119.40239896111608;119.40239896111602;2.8563580527221737e-27;3.3733459355678161e-27;119.40239896111598;0.00026881737741936786;0.00021245373612337751;0.0002003449739609048;0.00022529434654841709;6.3319515090767248e-05;7.1204824828402077e-05;0.49999011998139714;0.50005256731909475;2.9260130458344324e-05;2.9248188678771312e-05;
295;205;500;795;705;1000;0.5;0.66786991641738425;0.62893081761006286;0.70921985815602839;0.29499999999999998;0.20499999999999999;295.03294552484937;205.25696399603513;500.01224260326342;795.04518812811307;705.26920659929965;1000.3021521241478;0.49986714175634334;0.66774064838436609;0.62892692425492314;0.70897917356092222;0.29493633316749046;0.20519652507616556;44.42249816991594;31.231842781604545;44.918989627158858;82.466204902767828;63.063637861152444;81.822465845612285;3.0411518852815886e-05;2.3890669534050218e-05;4.0116337788406601e-05;4.466389970041717e-05;3.2886490508791973e-05;2.8401418936185023e-05;295.07536303886934;205.07536303886894;499.92463696113111;795;705;1000.0753630388689;0.49990707801173384;0.66776925100444229;0.62883602133475658;0.70911296022855286;0.29504367333448517;0.20504924865378085;13.418551822733948;13.418551822733944;13.418551822733953;2.8175839615087505e-27;2.9985297205047255e-27;13.418551822733955;3.0177267671713573e-05;2.394139225252499e-05;2.1231045959786301e-05;2.6997740199655803e-05;6.6661584286815254e-06;8.4767944889843431e-06;294.78247207420497;205.00649054539122;500.26271605390792;795.04518812811307;705.26920659929965;1000.0516786735021;0.5002958726269795;0.66808208908500377;0.62924917237868594;0.70934095645013173;0.29473440204421342;0.20496972532880736;78.525598733774416;62.597615740235405;69.899229598372372;82.4662049027677;63.063637861152337;122.3110993968881;9.8404386953718798e-05;7.7589173603752595e-05;8.8665247349780854e-05;0.00010408177727041572;4.8524819624132357e-05;4.6821620793891049e-05;295.05167867350463;205.05167867350434;499.9483213264956;795;705;1000.0516786735021;0.50010578249498916;0.66780088715467678;0.62886581298930322;0.70914655507304436;0.29495028222735536;0.20494393527765628;122.31109939688817;122.31109939688824;122.31109939688812;3.3345718443543929e-27;3.3345718443543929e-27;122.31109939688811;0.00027480325763548912;0.0002182275737488528;0.00019352256539992597;0.00024608641295083375;6.070403961167947e-05;7.719223506980893e-05;0.49990220770597643;0.49996467731828265;3.0535378649149976e-05;3.0511814611388534e-05;
316;184;500;816;684;1000;0.5;0.66926308979503701;0.61274509803921573;0.73099415204678364;0.316;0.184;315.88850083938098;184.18065711988461;500.1120190952376;816.00051993461943;684.29267621512281;1000.1811770545035;0.50002710348512103;0.66926975720878434;0.61289897008082261;0.73085473233229603;0.31582164193553097;0.18415125457934831;47.941300304456433;26.550655593055261;44.785111354071574;86.09105999542605;58.898400056413337;81.802605788887888;2.9994006304730177e-05;2.3236166195323297e-05;3.9498426944481552e-05;4.2516979962658673e-05;3.37204165915556e-05;2.5236485847717062e-05;315.9898211688477;183.98982116884795;500.01017883115173;816;684;999.98982116884645;0.50003452829886696;0.66927671442701198;0.61275757209700166;0.73100903337887668;0.31598425509571659;0.18398121660541625;12.835917338300927;12.835917338300913;12.835917338300915;3.1794754795007001e-27;2.908056841006738e-27;12.835917338300895;2.8900534683720223e-05;2.2997501251112479e-05;1.9277317225197193e-05;2.7435615527642959e-05;6.0094615799940384e-06;8.5527086321614227e-06;315.73481311009544;184.02696939059885;500.26570682452427;816.00051993461943;684.29267621512281;1000.0274893252198;0.50031407075998358;0.66948515370572959;0.61309886656305401;0.73108678073216715;0.31568913354325895;0.18399679569675786;86.074020275956656;56.214553397426101;67.49221576977807;86.091059995426093;58.898400056413351;126.89211914905236;9.8040848777005348e-05;7.6903410168461565e-05;8.7843614468978296e-05;0.00010174014862638525;5.0149614824908755e-05;4.2647377982604749e-05;316.02748932521808;184.02748932521865;499.97251067478248;816;684;1000.0274893252197;0.50014885475442195;0.66922629461357153;0.6127114101406631;0.73095396297482629;0.31593212223198408;0.18391902301359439;126.89211914905222;126.89211914905236;126.89211914905233;3.4379694209235215e-27;2.9468309322201612e-27;126.89211914905221;0.0002848695318052591;0.00022734656136956142;0.00019056991173624976;0.00027122045917772207;5.9234630965458405e-05;8.4303149764321085e-05;0.5000287040760657;0.5000911420112899;3.0196719687340982e-05;3.0189129167598182e-05;
337;163;500;837;663;1000;0.5;0.67119777961612348;0.59737156511350065;0.75414781297134237;0.33700000000000002;0.16300000000000001;336.83409041551073;163.14409528822003;500.12985423022485;836.96394464573564;663.27394951844485;1000.1080399339553;0.5000834911123484;0.67124945435207972;0.59757281608360846;0.7540406664469631;0.33678454792977086;0.16313196095788079;54.13015637524763;22.62852775700653;43.206027615087507;90.499680228676795;55.426700520391734;84.420870349867926;2.9738055268058551e-05;2.2450163795638321e-05;3.9911483390152326e-05;3.9557168355669589e-05;3.5675415880795838e-05;2.2137998508111302e-05;336.96858304134821;162.96858304134796;500.03141695865139;837;663;999.96858304134787;0.50006493583460632;0.67123995360190269;0.5974091003090235;0.75419519903265719;0.33697129836110395;0.16296376580428923;11.869192954979425;11.869192954979422;11.869192954979454;3.3345718443543929e-27;2.5849394142282116e-27;11.869192954979358;2.6726490080721035e-05;2.1388592374510409e-05;1.6942218332497506e-05;2.7001888110807289e-05;5.2213940081299992e-06;8.3216668574936184e-06;336.74499681418973;163.05500168689963;500.21894783154499;836.96394464573564;663.27394951844485;1000.0189463326348;0.50026989547421885;0.67137690581485643;0.59768930795048381;0.75418000346205893;0.33670025862192055;0.16302984590386019;91.147201399830394;49.897437215941473;66.074939220513173;90.49968022867688;55.426700520391741;125.83791322796002;9.5063532398623852e-05;7.4221824470891345e-05;8.458766428081843e-05;9.9065851567483698e-05;5.0960845502704051e-05;3.9291504774083115e-05;337.0189463326343;163.01894633263464;499.98105366736536;837;663;1000.0189463326348;0.50015997501673826;0.67117234614333154;0.5973489291127424;0.75411923630070044;0.33692929104260178;0.16291073394066027;125.8379132279601;125.83791322796006;125.83791322796006;4.433171095401383e-27;3.0243791146470076e-27;125.83791322796007;0.00028216495010648519;0.00022676317096712918;0.00017962244008507406;0.00028627567737479271;5.5124873312603321e-05;8.7856007524955547e-05;0.50010123176602539;0.50016365138740759;2.9395782260346383e-05;2.9397652515456032e-05;
356;144;500;856;644;1000;0.5;0.6734264783084245;0.58411214953271029;0.77639751552795033;0.35599999999999998;0.14399999999999999;355.91766218804406;144.09084741420142;500.13816563314145;856.05582782118483;644.22901304734341;1000.1466752353865;0.50007360170998316;0.67347288217603674;0.58425702678415681;0.77634399768933604;0.35584982716441504;0.14407657112560215;58.236658583712796;20.809704263940354;42.907660830928855;96.195480130554287;52.051116275498266;86.631523684848389;2.9980851090467238e-05;2.2298864123310368e-05;3.8954772704598257e-05;4.03033873876625e-05;3.6188470198600067e-05;2.0967514766111784e-05;355.9636558269396;143.96365582693963;500.03634417306057;856;644;999.96365582693818;0.50007199004214375;0.67347542856536668;0.58415460767880978;0.77645395057928646;0.35596909227523954;0.14395891768261662;11.650848387911685;11.650848387911678;11.650848387911688;4.3814723071168188e-27;2.5720147171570706e-27;11.650848387911683;2.6207845244605026e-05;2.1134789117213659e-05;1.5900472186314985e-05;2.8092204168221925e-05;4.8308164023851073e-06;8.5348585302892731e-06;355.8467047362912;144.01988996244819;500.20912308489414;856.05582782118495;644.22901304734364;1000.075717783634;0.50023108797424221;0.67357789995242834;0.58435003357989523;0.77646250533541072;0.35578100356507131;0.1439879084606861;92.565549129503722;47.222112615051337;62.360323698477664;96.195480130554174;52.051116275498281;127.92015971420155;9.0332344081032684e-05;7.0372579918954271e-05;7.7353894148515161e-05;0.00010017736820682156;4.8860912182037129e-05;3.8535696896012451e-05;356.07571778363456;144.07571778363439;499.92428221636561;856;644;1000.075717783634;0.50007819919087515;0.67332449758766788;0.58402369417799738;0.77627994132976086;0.35596642648071802;0.14395537432840727;127.92015971420153;127.92015971420159;127.92015971420156;4.7175144309664858e-27;2.6366382025127755e-27;127.92015971420142;0.00028762785568216818;0.00023204881819636602;0.00017457878378324731;0.00030843755959020084;5.3017611712977565e-05;9.3669015316057288e-05;0.50004115836663099;0.50010359319780817;3.0222400982134066e-05;3.0216348255408764e-05;
374;126;500;874;626;1000;0.5;0.6759695320035104;0.57208237986270027;0.79872204472843455;0.374;0.126;374.27359904284998;126.14081683379473;499.77653695122393;874.05013599407368;625.91735378501835;1000.1909528278699;0.49969293970407508;0.67569603190654437;0.57181744974666937;0.79847873901469302;0.37418397965928579;0.12612308063663979;64.138923338770439;18.502499025997267;42.314193203862871;99.537276113335224;50.629177395750055;91.373933608589795;3.1358334930595947e-05;2.2677062019006118e-05;3.9749089446233808e-05;3.8713811654062286e-05;3.7611563091316992e-05;1.8630776768674291e-05;374.14638292215909;126.14638292215903;499.85361707784108;874;626;1000.1463829221583;0.4997971856506625;0.67577163121273964;0.57191489368173953;0.7984882061946329;0.37408464118845719;0.12611817316088067;11.179106834593288;11.179106834593311;11.179106834593311;4.9889330694604483e-27;2.8563580527221737e-27;11.179106834593298;2.5127969783907911e-05;2.043249214911668e-05;1.463471405646117e-05;2.8527153575603833e-05;4.3764659053505376e-06;8.5309569096233303e-06;374.0356627811384;125.90288057208267;500.01447321293654;874.05013599407368;625.91735378501835;999.9530165661572;0.50009694333661781;0.67602411795810669;0.57209823899124446;0.79886204024811214;0.37401337651467464;0.12588968014870802;98.106936620558272;42.000567344456073;63.281524025340417;99.537276113335295;50.629177395750006;127.87268438735904;9.0381978169812308e-05;6.970580797043971e-05;7.703196592763371e-05;9.7370742511261783e-05;5.040554779939191e-05;3.5164469426067595e-05;373.95301656615663;125.95301656615698;500.04698343384337;874;626;999.9530165661572;0.50026232579652941;0.67603305074308362;0.57213613665199448;0.79879709813712774;0.37389052270091544;0.12584715150255518;127.87268438735876;127.8726843873589;127.87268438735866;5.5317703464483725e-27;2.8305086585798916e-27;127.87268438735887;0.00028795752406033509;0.0002337179220567159;0.00016739979314359761;0.00032630904772774769;5.015273008829689e-05;9.7761707399605786e-05;0.49975495393176883;0.49981746014151729;2.9817763503090018e-05;2.9776164643485078e-05;
390;110;500;890;610;1000;0.5;0.67859410645749296;0.5617977528089888;0.81967213114754101;0.39000000000000001;0.11;390.52633099648892;109.95913291431512;499.95412079873608;890.48045179522478;609.91325371305106;1000.4395847095398;0.49974715515652796;0.67840068466239722;0.56146690721890713;0.81972130671677501;0.39033558804758067;0.10991725679589073;66.598999567857518;16.026296456501168;40.808650470963975;99.466876185239073;47.785749439645443;90.296047431163601;3.1047336249872661e-05;2.1770671263702382e-05;3.8812077489103046e-05;3.6151777605558645e-05;3.7724851998579252e-05;1.6355276328334585e-05;390.01712498071589;110.01712498071616;499.98287501928417;890;610;1000.017124980717;0.49998964039547711;0.67857086463551819;0.5617785112576229;0.81964405740866175;0.39000421290583925;0.1100061466986839;10.215217283947988;10.215217283947959;10.215217283947952;4.5107192778282287e-27;2.727111082010763e-27;10.215217283948;2.3000084585397578e-05;1.8816020047795103e-05;1.2896373291185426e-05;2.7452881709078142e-05;3.8037028774339696e-06;8.0970520000415092e-06;390.4038912291528;109.83669314697958;500.07656056607135;890.48045179522478;609.91325371305129;1000.3171449422044;0.49997348529223412;0.67857180007003581;0.56161145071528529;0.81992379733345977;0.39024169589843782;0.10978481880932846;97.826807563679083;37.576264686882844;61.001924547679558;99.466876185238945;47.785749439645485;122.88054958065169;8.5731402397097099e-05;6.5761888167375918e-05;7.2186499248936019e-05;9.3499112340272698e-05;4.9027601277446889e-05;3.2319635376362553e-05;390.31714494220444;110.31714494220456;499.68285505779511;890;610;1000.3171449422044;0.49970852671995769;0.67816368108014735;0.56144141017729843;0.81915222140622246;0.39011853246721767;0.11017294081282489;122.8805495806516;122.88054958065159;122.88054958065162;5.4025233757369618e-27;2.8305086585798916e-27;122.88054958065165;0.00027635286384695951;0.0002263410380929299;0.00015513262161425515;0.0003302352850864055;4.5702622505534889e-05;9.728849042363407e-05;0.49974054627888082;0.49980305633134453;3.0796344475044607e-05;3.0752463932676902e-05;
405;95;500;905;595;1000;0.5;0.68137662671464483;0.5524861878453039;0.84033613445378152;0.40500000000000003;0.095000000000000001;405.42582418918073;94.99984491144123;499.94417638527727;905.37000057445869;594.94402129671835;1000.3698454858991;0.49977657584242979;0.68119865588029482;0.55222587966131997;0.84032801035262517;0.40525251523971673;0.094970908917854424;74.07456266239322;14.234610384610532;40.190616374083191;103.73036559243243;45.020277128180673;95.130062386894593;3.3715048634509748e-05;2.3002723498927592e-05;4.0507875621987702e-05;3.4883565946516015e-05;3.9287242763119826e-05;1.4553782253440466e-05;405.02528885141555;95.025288851415965;499.97471114858456;905;595;1000.0252888514163;0.49997694338887216;0.68134216425010219;0.55245824436307678;0.84029363218249364;0.40500914578908143;0.095013910822047534;9.9176931785387552;9.9176931785387357;9.9176931785387179;5.6093185288752189e-27;2.9726803263624433e-27;9.9176931785387481;2.2315825106360053e-05;1.8418112593042839e-05;1.2109145848464618e-05;2.8014104028073556e-05;3.5112711036796144e-06;8.1232082923273609e-06;405.27506607796215;94.849086800222821;500.09493449649597;905.37000057445869;594.94402129671835;1000.2190873746805;0.50003809282676148;0.68140646862659437;0.55239728526247045;0.84057987737560058;0.40514690398327413;0.094815003189963512;101.01884849257462;32.242485241738137;59.244146777940777;103.73036559243241;45.02027712818073;121.02869267034625;8.1587448254801607e-05;6.1620071527376371e-05;6.9064353327960912e-05;8.6251950749492709e-05;4.9037144355506679e-05;2.8596156751961639e-05;405.21908737468192;95.219087374681223;499.78091262531871;905;595;1000.2190873746805;0.49985281675796683;0.68107806468201348;0.55224410234841825;0.83996792037868606;0.40505838268600669;0.095088800556026934;121.02869267034609;121.02869267034608;121.02869267034615;4.7692132192510501e-27;2.4169183523033777e-27;121.02869267034612;0.00027212763077736951;0.00022476195305324502;0.00014777167079191238;0.00034186481934989337;4.2817770882648135e-05;9.9057481243304494e-05;0.49979256153238921;0.49985505889601628;3.2005498820711092e-05;3.1967511548365334e-05;
418;82;500;918;582;1000;0.5;0.68404893552479462;0.54466230936819171;0.85910652920962194;0.41799999999999998;0.082000000000000003;418.65020658841928;82.028867359846345;499.89525035500606;918.54545694342517;581.92411771485354;1000.5743243032707;0.49962621885256969;0.68375201189945578;0.54425258757776906;0.85904271562107226;0.41838500189570599;0.081988779251723598;77.643095005938846;11.739733772944371;39.575578804763275;104.68795878281009;42.675365880246957;94.373676941730849;3.4095087105637513e-05;2.2426606017992924e-05;4.0609031515374407e-05;3.1006134182117594e-05;3.9931424808497279e-05;1.2247446272604818e-05;418.07114447084962;82.071144470850072;499.9288555291505;918;582;1000.071144470851;0.49990630944911402;0.68395160292568813;0.54458480994460734;0.85898428785077507;0.41803635193374405;0.082057338617142261;8.6873602841137529;8.6873602841137672;8.6873602841137725;5.2215776167409875e-27;2.3264454728053902e-27;8.6873602841137689;1.95324063529216e-05;1.6260060875116553e-05;1.0308666045008534e-05;2.5647312514359057e-05;2.9404865819942206e-06;7.3157456050486496e-06;418.4612768593052;81.839937630732479;500.08418008411951;918.54545694342517;581.92411771485354;1000.3853945741575;0.49994049004491331;0.68401318641033804;0.54446270514212547;0.85936732431855889;0.41826165217262884;0.08179785778245896;100.67374534610141;27.471807001941247;55.353799175915185;104.68795878281018;42.675365880246964;117.35818013973798;7.4942234064757487e-05;5.5639897075171586e-05;6.4018518727129226e-05;7.7583025381816988e-05;4.7730425155240778e-05;2.4958368410803326e-05;418.38539457415726;82.385394574157431;499.61460542584274;918;582;1000.3853945741574;0.49959786100726999;0.68352167802837538;0.54424248957063481;0.85844433921966024;0.41815602992917922;0.082246109063550468;117.35818013973824;117.3581801397382;117.35818013973818;6.0229088351517331e-27;2.908056841006738e-27;117.35818013973827;0.00026389233837939097;0.00021965834164315484;0.00013926051725088892;0.0003464714048598215;3.9727408188987041e-05;9.8839291985970674e-05;0.49966459965140142;0.49972712875719688;3.1139258317145263e-05;3.1085718298957977e-05;
