name=SetSketch1;numRegisters=256;q=62;base=1.00099999999999989e+00;a=2.00000000000000000e+01;registerStateType=registers with lower bound;bulkAddFirstAttemptSuccessProbability=9.49999999999999956e-01;numCycles=1000;aggregationMode=stream;
cardinality; avg time in seconds (incl. allocation); avg time in seconds (excl. allocation);sum of consumed states;
1;5.8301999999999997e-06;5.6870999999999908e-06;16128000;
2;5.3565000000000003e-06;5.2186999999999633e-06;16128000;
5;5.1806e-06;5.0391999999999551e-06;16128000;
10;5.0756999999999995e-06;4.9348000000000141e-06;16128000;
20;5.4446000000000004e-06;5.3035999999999461e-06;16128000;
50;6.5613000000000002e-06;6.4163000000000609e-06;16128000;
100;7.4119000000000001e-06;7.2644999999999768e-06;16128000;
200;6.7089999999999996e-06;6.5724000000000491e-06;16128000;
500;1.1025900000000001e-05;1.0884300000000046e-05;16128000;
1000;1.6629499999999997e-05;1.6486599999999979e-05;16128000;
2000;2.8159099999999999e-05;2.8010899999999729e-05;16128000;
5000;6.4778300000000003e-05;6.4618499999999991e-05;16128000;
10000;0.0001227449;0.00012258369999999929;16128000;
20000;0.0002412201;0.00024104189999999974;16128000;
50000;0.00059631039999999999;0.00059606499999999892;16128000;
100000;0.0011720736;0.0011717575000000004;16128000;
200000;0.0022412497000000001;0.0022409232999999963;16128000;
500000;0.0054277794999999995;0.0054273496999999943;16128000;
1000000;0.010751049;0.01075053879999998;16128000;
2000000;0.021430288299999999;0.02142971300000001;16128000;
5000000;0.053868922499999999;0.053868286500000043;16128000;
10000000;0.10776011649999999;0.10775935819999992;16128000;
