name=SetSketch2;numRegisters=256;q=62;base=2.00000000000000000e+00;a=2.00000000000000000e+01;registerStateType=registers with lower bound;bulkAddFirstAttemptSuccessProbability=9.49999999999999956e-01;numExamples=10000;
true cardinality; simple mean; simple mse; simple standard deviation; simple kurtosis; ml mean; ml mse; ml standard deviation; ml kurtosis; 
0; 3.60673760222274126e-02; 1.30085561312877547e-03; 3.33066907387546962e-15; 1.00000000000000000e+00; 3.46573590280002605e-02; 1.20113253479558167e-03; 2.99760216648792266e-15; 1.00000000000000000e+00; 
1; 1.00014154676202849e+00; 4.89979422070474957e-05; 6.99842173073366401e-03; 4.57200525788785050e+00; 1.00010010653240777e+00; 3.45906239640187243e-05; 5.88052741224688938e-03; 4.11016644784340901e+00; 
2; 2.00225861973115959e+00; 6.11857666916247600e-03; 7.81887159766192913e-02; 3.03719462301156584e+00; 2.00177412594008164e+00; 5.56055048524783154e-03; 7.45479910017472353e-02; 3.02585240179764314e+00; 
3; 3.00640384192787913e+00; 1.65736324771209587e-02; 1.28579249047750754e-01; 2.92149880232997461e+00; 3.00549806715602541e+00; 1.52017962409858511e-02; 1.23172917065942980e-01; 2.92183396931714556e+00; 
4; 4.00996578828377359e+00; 3.12741970852206813e-02; 1.76564096432722833e-01; 2.94695132296009454e+00; 4.00869062121373965e+00; 2.87656021563686623e-02; 1.69381448982136057e-01; 2.94172433565950397e+00; 
5; 5.01350645226585012e+00; 5.03869122757280644e-02; 2.24063580313532018e-01; 2.90746600320662196e+00; 5.01167318869551970e+00; 4.64480601812728849e-02; 2.15201758466216808e-01; 2.91154373641996678e+00; 
6; 6.01311438018823541e+00; 7.48135044579375241e-02; 2.73205998269102524e-01; 2.99236202267106899e+00; 6.01121010847927906e+00; 6.89928324171425328e-02; 2.62425543507154413e-01; 2.98943411777425228e+00; 
7; 7.01609127919223141e+00; 1.01536523531868539e-01; 3.18241408785574609e-01; 3.03022454650199125e+00; 7.01385179756889077e+00; 9.37996647885225854e-02; 3.05953905830000095e-01; 3.01735481692730323e+00; 
8; 8.01703517375855235e+00; 1.35402828459215779e-01; 3.67576701266866368e-01; 3.09539058923528509e+00; 8.01439089312055231e+00; 1.25073811744284336e-01; 3.53364845364502300e-01; 3.09082597771924128e+00; 
9; 9.01717669890300222e+00; 1.70386107237480183e-01; 4.12420984253076828e-01; 3.09673082948927147e+00; 9.01458060335109757e+00; 1.58010193118407249e-01; 3.97237459366969692e-01; 3.08512248799291910e+00; 
10; 1.00237842204228293e+01; 2.12818257919199699e-01; 4.60708767854572376e-01; 3.02822834130870921e+00; 1.00208335543982940e+01; 1.97478900492064263e-01; 4.43897356945496424e-01; 3.02670716841856757e+00; 
11; 1.10270004738916079e+01; 2.57742036497140337e-01; 5.06964506555209082e-01; 2.99082598460832827e+00; 1.10236259750152445e+01; 2.39500839744804211e-01; 4.88817607139289179e-01; 2.98938348273259447e+00; 
12; 1.20291443019085253e+01; 3.11261069471937823e-01; 5.57146012404469260e-01; 3.02022606628473644e+00; 1.20255662757449322e+01; 2.89038626519133757e-01; 5.37014889983196575e-01; 3.01261067692970697e+00; 
13; 1.30354901044751887e+01; 3.66470056157836954e-01; 6.04326491759359596e-01; 2.96129187851598408e+00; 1.30313416294441389e+01; 3.40250674580452050e-01; 5.82467489946209893e-01; 2.95936806590130042e+00; 
14; 1.40407520832755726e+01; 4.27165087964105961e-01; 6.52306948968663591e-01; 2.97555852626884132e+00; 1.40356239534537810e+01; 3.96246174281289609e-01; 6.28472042513916751e-01; 2.97553555076344622e+00; 
15; 1.50448906991700664e+01; 4.88962716759648697e-01; 6.97816266568552446e-01; 2.96261015884349321e+00; 1.50391884556332602e+01; 4.53549757452178182e-01; 6.72319881006994025e-01; 2.95656828004847316e+00; 
16; 1.60417157192075450e+01; 5.50007181214730023e-01; 7.40450525008750748e-01; 2.96907402901455120e+00; 1.60356674973429207e+01; 5.10217293945898431e-01; 7.13403899329960622e-01; 2.97734853514942932e+00; 
17; 1.70480862906495823e+01; 6.37412000154623071e-01; 7.96931432938982609e-01; 3.00236931997798040e+00; 1.70413008985711230e+01; 5.90810593812102769e-01; 7.67531647288451357e-01; 3.00629837238062736e+00; 
18; 1.80488108903353037e+01; 7.11522721499771138e-01; 8.42104636303852461e-01; 3.06751267015396589e+00; 1.80412874859098693e+01; 6.59685837173775380e-01; 8.11160391464611719e-01; 3.07878415607950373e+00; 
19; 1.90536025350768448e+01; 8.11724466707897996e-01; 8.99361570749626416e-01; 3.06856640394690050e+00; 1.90456334665105480e+01; 7.52530646862993313e-01; 8.66284152918210704e-01; 3.07498141971160877e+00; 
20; 2.00526542652755317e+01; 8.94848191173791330e-01; 9.44497601649727847e-01; 3.03205732829579055e+00; 2.00444010454940553e+01; 8.31354986823903186e-01; 9.10704965388316134e-01; 3.03626402361561576e+00; 
21; 2.10426395520182936e+01; 9.81564570300158978e-01; 9.89821417682922422e-01; 3.05139819547664404e+00; 2.10351645731559564e+01; 9.11108380279778252e-01; 9.53872021329137731e-01; 3.04725444117855693e+00; 
22; 2.20544303159292028e+01; 1.08374626238260596e+00; 1.03960742739288414e+00; 3.05637291342927897e+00; 2.20456218261479329e+01; 1.00504213965726041e+00; 1.00147930015362396e+00; 3.04840815865914294e+00; 
23; 2.30597975007435281e+01; 1.18254188587037135e+00; 1.08580207440177978e+00; 3.02392238086175036e+00; 2.30507251025408273e+01; 1.09610626646981379e+00; 1.04572139236128980e+00; 3.01905238404581278e+00; 
24; 2.40623273769656194e+01; 1.28089459042055842e+00; 1.13004862218452318e+00; 3.00645299738275895e+00; 2.40529168378023996e+01; 1.18654053094698475e+00; 1.08799831765677912e+00; 3.01156715951081067e+00; 
25; 2.50602659722315657e+01; 1.38943603112879588e+00; 1.17720178547255272e+00; 2.96523996812115609e+00; 2.50508934828228185e+01; 1.28688063111243856e+00; 1.13326540780110552e+00; 2.96567908241165945e+00; 
26; 2.60587769847130026e+01; 1.49167118852084712e+00; 1.21992477415163103e+00; 2.98098759531850455e+00; 2.60495359217090581e+01; 1.38192756281466322e+00; 1.17451000646018167e+00; 2.98024255652155157e+00; 
27; 2.70597458063125309e+01; 1.62082788706451164e+00; 1.27171471867418706e+00; 2.97230259765532523e+00; 2.70500653237906050e+01; 1.50176235097088728e+00; 1.22444102117032183e+00; 2.97671126103144834e+00; 
28; 2.80695621231951051e+01; 1.72480302550542985e+00; 1.31147403196633339e+00; 2.97018752328417657e+00; 2.80593412612370159e+01; 1.59968722030374932e+00; 1.26339456822425711e+00; 2.98229362420062749e+00; 
29; 2.90597731503892689e+01; 1.85389781754790461e+00; 1.36026651360695872e+00; 2.97547411814167884e+00; 2.90501358577390967e+01; 1.72139063990662988e+00; 1.31105950882307054e+00; 2.98781234955777597e+00; 
30; 3.00597321544412566e+01; 1.99038984199224767e+00; 1.40954670434081630e+00; 2.99566973583179941e+00; 3.00494391297806409e+01; 1.84599440129665626e+00; 1.35777397741420347e+00; 3.00720775539664009e+00; 
31; 3.10699384949494792e+01; 2.13790655551884345e+00; 1.46048456426044848e+00; 3.02406969051430785e+00; 3.10591435511877698e+01; 1.98076797797153814e+00; 1.40615433659481859e+00; 3.03297247086047816e+00; 
32; 3.20696379566072878e+01; 2.28392471103717742e+00; 1.50966064598529370e+00; 2.97943313051910330e+00; 3.20586795295410667e+01; 2.11611976679611935e+00; 1.45350489493807933e+00; 2.98857984020581346e+00; 
33; 3.30731354772168160e+01; 2.39993128680583023e+00; 1.54744385642196636e+00; 3.00463272561346217e+00; 3.30626156061425718e+01; 2.22647858407985710e+00; 1.49082456041857925e+00; 3.01675520052663471e+00; 
34; 3.40767629883843028e+01; 2.54005523393775023e+00; 1.59190536073978328e+00; 3.04355778095203888e+00; 3.40656345299968066e+01; 2.35623243378965164e+00; 1.53359855968298575e+00; 3.04578389298210483e+00; 
35; 3.50774084732939997e+01; 2.70754994008283267e+00; 1.64364164839697025e+00; 3.06561395277199233e+00; 3.50659829907113618e+01; 2.51658408549072510e+00; 1.58500168152197607e+00; 3.07358274298247069e+00; 
36; 3.60841533366681162e+01; 2.84600723034670011e+00; 1.68491110930942489e+00; 3.06637091237694692e+00; 3.60720570901915636e+01; 2.64608643090274365e+00; 1.62508283070613735e+00; 3.06450973094051760e+00; 
37; 3.70886978992735763e+01; 3.01461592967178316e+00; 1.73399786976115600e+00; 3.09295349551778198e+00; 3.70762130765620128e+01; 2.80237530987070693e+00; 1.67229389666759842e+00; 3.08609070362555649e+00; 
38; 3.80955946416228670e+01; 3.19980764881868396e+00; 1.78624447187714641e+00; 3.06040817280471611e+00; 3.80823958765991577e+01; 2.97221318244870725e+00; 1.72204067953348328e+00; 3.05783085761104667e+00; 
39; 3.90974399057238386e+01; 3.37203952101780358e+00; 1.83372434836599574e+00; 3.09219482184352357e+00; 3.90838553703727172e+01; 3.13330267119898176e+00; 1.76812639481985068e+00; 3.08716336704211525e+00; 
40; 4.01045111945749397e+01; 3.53158407949880004e+00; 1.87634258324734327e+00; 3.07242117610835574e+00; 4.00901835672532911e+01; 3.28177527063906549e+00; 1.80932092090831498e+00; 3.06706646796520888e+00; 
41; 4.11015077253214045e+01; 3.70468340467473700e+00; 1.92207689398079262e+00; 3.05732786026873038e+00; 4.10876291752849454e+01; 3.44691227243781562e+00; 1.85451702609511782e+00; 3.05561245304865992e+00; 
42; 4.21093002705899551e+01; 3.90656933478097912e+00; 1.97347986704448242e+00; 3.03057073108849950e+00; 4.20948696449279041e+01; 3.63375637962380438e+00; 1.90387923201421749e+00; 3.03151409086357360e+00; 
43; 4.31127978383727637e+01; 4.11062464346793632e+00; 2.02432736757827891e+00; 3.05371338527003156e+00; 4.30982362435172632e+01; 3.82019057810483220e+00; 1.95206050586666602e+00; 3.05457212585699844e+00; 
44; 4.41101374291076240e+01; 4.29666403926541918e+00; 2.06991154061593674e+00; 3.05437146285838423e+00; 4.40950597520789245e+01; 3.99517918339782785e+00; 1.99653270119288084e+00; 3.05499391000150444e+00; 
45; 4.51102040867720575e+01; 4.48053366774075190e+00; 2.11385636385243858e+00; 3.03385462116598159e+00; 4.50955917084169542e+01; 4.16849095612696630e+00; 2.03944923482023910e+00; 3.03872432642996726e+00; 
46; 4.61170995455001602e+01; 4.71591866699105022e+00; 2.16845713894342351e+00; 3.05509248551137702e+00; 4.61011478578584075e+01; 4.38277821156463609e+00; 2.09106368205641413e+00; 3.06413661128228521e+00; 
47; 4.71177999677078958e+01; 4.93324934590618280e+00; 2.21796585039405070e+00; 3.06326664558902317e+00; 4.71020754426600945e+01; 4.58540100858154442e+00; 2.13892066533270908e+00; 3.07607648246940002e+00; 
48; 4.81174471403521409e+01; 5.13314054790697050e+00; 2.26259733870833157e+00; 3.09641434316799913e+00; 4.81011381171900467e+01; 4.77565624878366357e+00; 2.18298587490503637e+00; 3.10602428152147203e+00; 
49; 4.91230966495185299e+01; 5.38056278088458484e+00; 2.31633546701722226e+00; 3.13026332436243848e+00; 4.91063958445768947e+01; 5.00333402903314450e+00; 2.23428152955036197e+00; 3.13950833847685828e+00; 
50; 5.01299535804152114e+01; 5.62978161257133802e+00; 2.36915463393772274e+00; 3.12534766269048569e+00; 5.01124398166598510e+01; 5.23074637127052444e+00; 2.28431689108582425e+00; 3.13072712664999031e+00; 
51; 5.11314133354423959e+01; 5.84796064917318326e+00; 2.41468241896137137e+00; 3.08155365376730206e+00; 5.11133479914002677e+01; 5.43275650190888904e+00; 2.32806974439220582e+00; 3.08722243707917787e+00; 
52; 5.21309861904956122e+01; 6.06226612895135997e+00; 2.45868028561073038e+00; 3.10128659836474396e+00; 5.21122179042713043e+01; 5.63029356677070769e+00; 2.37016891987294498e+00; 3.10504859136098199e+00; 
53; 5.31211141617695191e+01; 6.29597614237897840e+00; 2.50625367874001093e+00; 3.09085663805170796e+00; 5.31029180457603758e+01; 5.85133755894041130e+00; 2.41676342135453259e+00; 3.09657375483794439e+00; 
54; 5.41183191311220995e+01; 6.48628033612516397e+00; 2.54406778984673698e+00; 3.12000161022650335e+00; 5.40999494303281523e+01; 6.03019833971668451e+00; 2.45361130807097494e+00; 3.12594047289531396e+00; 
55; 5.51125397295144737e+01; 6.73564805315091064e+00; 2.59287154761506233e+00; 3.09559653205114937e+00; 5.50941191417612259e+01; 6.25475362105592225e+00; 2.49917890680321086e+00; 3.10236069639826395e+00; 
56; 5.61136766554372386e+01; 6.97291182580552515e+00; 2.63817919099785803e+00; 3.07504592527247178e+00; 5.60951839820664375e+01; 6.48228216144393077e+00; 2.54425277262339922e+00; 3.08135492062968863e+00; 
57; 5.71072214667146909e+01; 7.29749503251551523e+00; 2.69925889636231409e+00; 3.02139383468307221e+00; 5.70881246124447443e+01; 6.78348590897554260e+00; 2.60302131409963255e+00; 3.02822839685003764e+00; 
58; 5.81194572561309428e+01; 7.56431974807522778e+00; 2.74773537882250274e+00; 3.07991116428731093e+00; 5.80992153199407610e+01; 7.03212024992859064e+00; 2.64995784310198523e+00; 3.08108530139973924e+00; 
59; 5.91237816443833424e+01; 7.82763717715892415e+00; 2.79505192826048976e+00; 3.04181845375712490e+00; 5.91035318036908848e+01; 7.28052823083675449e+00; 2.69625840684108953e+00; 3.04644624583267465e+00; 
60; 6.01338621515825480e+01; 8.13381144950697887e+00; 2.84884053149357941e+00; 3.05614607351908418e+00; 6.01120862260952009e+01; 7.56644169988277682e+00; 2.74843198529681265e+00; 3.06092013907500338e+00; 
61; 6.11309939550601058e+01; 8.40583973230809711e+00; 2.89632185988466961e+00; 3.02385427082946023e+00; 6.11097392129805996e+01; 7.82825651961748115e+00; 2.79574924210879594e+00; 3.02598542022023409e+00; 
62; 6.21426992497566744e+01; 8.65934960073139948e+00; 2.93921529066012122e+00; 3.01915115216596552e+00; 6.21209001816916597e+01; 8.05743886639593221e+00; 2.83598695562282144e+00; 3.02167653684300364e+00; 
63; 6.31474071318804278e+01; 8.97896884595306410e+00; 2.99286484549901433e+00; 3.06320276368262112e+00; 6.31254858243963426e+01; 8.34902521430997169e+00; 2.88674185236324199e+00; 3.06571124373536419e+00; 
64; 6.41586712683194946e+01; 9.23986146492053884e+00; 3.03556994541889091e+00; 3.08532551758280604e+00; 6.41359189016472584e+01; 8.59185268795710577e+00; 2.92803325461512509e+00; 3.08559991111938459e+00; 
65; 6.51547783124015609e+01; 9.57720514917577859e+00; 3.09083303062231129e+00; 3.09787706244545413e+00; 6.51322406404503909e+01; 8.91541293818578140e+00; 2.98293904584036795e+00; 3.09727718149817521e+00; 
66; 6.61551212217793960e+01; 9.83036559688950007e+00; 3.13150171697912150e+00; 3.08520541088465272e+00; 6.61320615566868639e+01; 9.15758317715687298e+00; 3.02326692873825520e+00; 3.09358757474694279e+00; 
67; 6.71636423480625666e+01; 1.01130992098975483e+01; 3.17589678544787413e+00; 3.06670858713306416e+00; 6.71403392968430524e+01; 9.43378312103456196e+00; 3.06823858309555497e+00; 3.07335837848738436e+00; 
68; 6.81728038701171926e+01; 1.04371695123310566e+01; 3.22603600953299052e+00; 3.03158496967551239e+00; 6.81488086256854757e+01; 9.74070127013194487e+00; 3.11746006599180436e+00; 3.03682716842463440e+00; 
69; 6.91695912617209103e+01; 1.07067584666303866e+01; 3.26772050068215592e+00; 3.03504907528132062e+00; 6.91459631739264466e+01; 9.99628777408939406e+00; 3.15831957311902967e+00; 3.03418189278922057e+00; 
70; 7.01763843768061548e+01; 1.09849403970587929e+01; 3.30965692310813031e+00; 3.01323526245551498e+00; 7.01517704937597273e+01; 1.02622614399386674e+01; 3.19987924102810695e+00; 3.01201889427487224e+00; 
71; 7.11938742146456320e+01; 1.13510357302398575e+01; 3.36354701455701255e+00; 3.01613303984233116e+00; 7.11683099990845847e+01; 1.06082312725642645e+01; 3.25267628527223129e+00; 3.01592569123383214e+00; 
72; 7.21984428742976547e+01; 1.17134716383477357e+01; 3.41673704928961008e+00; 3.02655978739746701e+00; 7.21724844262384835e+01; 1.09439179892402993e+01; 3.30365965437504405e+00; 3.02045102141459587e+00; 
73; 7.32038142499447986e+01; 1.21594818195330383e+01; 3.48108339041921289e+00; 3.04366623409463344e+00; 7.31769020309861276e+01; 1.13548284155333441e+01; 3.36504592642750167e+00; 3.03691741256315240e+00; 
74; 7.41935812717649270e+01; 1.25264448182511963e+01; 3.53397384108499724e+00; 3.02556932033271098e+00; 7.41674149886113554e+01; 1.16994211430146446e+01; 3.41634210298133789e+00; 3.01582362924825986e+00; 
75; 7.51903542453484732e+01; 1.28897099912854785e+01; 3.58517436850195281e+00; 3.02695495725655705e+00; 7.51639418861163620e+01; 1.20417817689397264e+01; 3.46625227398646407e+00; 3.01561349100522769e+00; 
