name=SetSketch2;numRegisters=256;q=62;base=1.00099999999999989e+00;a=2.00000000000000000e+01;registerStateType=registers with lower bound;bulkAddFirstAttemptSuccessProbability=9.49999999999999956e-01;numCycles=1000;aggregationMode=stream;
cardinality; avg time in seconds (incl. allocation); avg time in seconds (excl. allocation);sum of consumed states;
1;4.0149000000000003e-06;3.8766000000000342e-06;16128000;
2;5.2963999999999998e-06;5.1477999999999891e-06;16128000;
5;5.3548e-06;5.2072000000000278e-06;16128000;
10;5.3889000000000002e-06;5.2459000000000331e-06;16128000;
20;4.9420999999999997e-06;4.7996000000000142e-06;16128000;
50;5.6538e-06;5.5071000000000112e-06;16128000;
100;6.0827000000000002e-06;5.9359999999999572e-06;16128000;
200;6.2890000000000003e-06;6.1477999999999846e-06;16128000;
500;9.1813999999999999e-06;9.0290999999999946e-06;16128000;
1000;1.2862300000000001e-05;1.2713299999999952e-05;16128000;
2000;2.1007200000000001e-05;2.0837199999999862e-05;16128000;
5000;4.4396600000000001e-05;4.422829999999993e-05;16128000;
10000;8.4372100000000005e-05;8.4198599999999997e-05;16128000;
20000;0.00016443070000000002;0.00016424830000000057;16128000;
50000;0.00040418250000000001;0.00040395870000000024;16128000;
100000;0.00081917369999999999;0.00081891259999999954;16128000;
200000;0.0015797237999999999;0.0015794143000000002;16128000;
500000;0.0037855828999999999;0.0037851776;16128000;
1000000;0.0074787856000000002;0.0074782945999999923;16128000;
2000000;0.0147824167;0.014781866700000007;16128000;
5000000;0.0372345465;0.037233900399999936;16128000;
10000000;0.075564971499999994;0.075564317599999958;16128000;
