name=SetSketch2;numRegisters=1024;q=65534;base=1.00099999999999989e+00;a=3.00000000000000000e+01;seed=31d2dc0fbf11f576;numExamples=1000;
true cardinality; simple mean; simple mse; simple corrected mean; simple corrected mse; ml mean; ml mse;ml corrected mean; ml corrected mse;
28;2.79816677222620811e+01; 3.60350528609529652e-01; 2.79816677222620811e+01; 3.60350528609529652e-01; 2.79816677195284349e+01; 3.60350470418952851e-01; 2.79816677195284349e+01; 3.60350470418952851e-01; 
29;2.89908273821840439e+01; 3.86726304855592395e-01; 2.89908273821840439e+01; 3.86726304855592395e-01; 2.89908273765957780e+01; 3.86726242231747785e-01; 2.89908273765957780e+01; 3.86726242231747785e-01; 
30;2.99836217804139373e+01; 3.98106712183437905e-01; 2.99836217804139373e+01; 3.98106712183437905e-01; 2.99836217746984204e+01; 3.98106644695669143e-01; 2.99836217746984204e+01; 3.98106644695669143e-01; 
31;3.09826755439746506e+01; 4.34306855375467316e-01; 3.09826755439746506e+01; 4.34306855375467316e-01; 3.09826755402528491e+01; 4.34306783313785028e-01; 3.09826755402528491e+01; 4.34306783313785028e-01; 
32;3.19881127181870717e+01; 4.68800447511083351e-01; 3.19881127181870717e+01; 4.68800447511083351e-01; 3.19881127114160506e+01; 4.68800372938509735e-01; 3.19881127114160506e+01; 4.68800372938509735e-01; 
33;3.29924179297063560e+01; 5.03262790758619794e-01; 3.29924179297063560e+01; 5.03262790758619794e-01; 3.29924179226356600e+01; 5.03262710141931691e-01; 3.29924179226356600e+01; 5.03262710141931691e-01; 
34;3.40007083500246452e+01; 5.41545342728588008e-01; 3.40007083500246452e+01; 5.41545342728588008e-01; 3.40007083403739472e+01; 5.41545257153481785e-01; 3.40007083403739472e+01; 5.41545257153481785e-01; 
35;3.50033843093160968e+01; 5.73231943160771085e-01; 3.50033843093160968e+01; 5.73231943160771085e-01; 3.50033842959614176e+01; 5.73231851996779840e-01; 3.50033842959614176e+01; 5.73231851996779840e-01; 
36;3.60039773727752390e+01; 6.30874273095840432e-01; 3.60039773727752390e+01; 6.30874273095840432e-01; 3.60039773605236775e+01; 6.30874166943910297e-01; 3.60039773605236775e+01; 6.30874166943910297e-01; 
37;3.70094331182191283e+01; 6.63112694500859301e-01; 3.70094331182191283e+01; 6.63112694500859301e-01; 3.70094331056654369e+01; 6.63112584958748363e-01; 3.70094331056654369e+01; 6.63112584958748363e-01; 
38;3.80050492052009901e+01; 6.99535876157370340e-01; 3.80050492052009901e+01; 6.99535876157370340e-01; 3.80050491893987399e+01; 6.99535759705563920e-01; 3.80050491893987399e+01; 6.99535759705563920e-01; 
39;3.90142841831706875e+01; 7.33182240394765761e-01; 3.90142841831706875e+01; 7.33182240394765761e-01; 3.90142841687656485e+01; 7.33182117648811693e-01; 3.90142841687656485e+01; 7.33182117648811693e-01; 
40;4.00243462054314776e+01; 7.75340297080740704e-01; 4.00243462054314776e+01; 7.75340297080740704e-01; 4.00243461918083767e+01; 7.75340166188098201e-01; 4.00243461918083767e+01; 7.75340166188098201e-01; 
41;4.10287270414426501e+01; 8.00220381444891271e-01; 4.10287270414426501e+01; 8.00220381444891271e-01; 4.10287270252444998e+01; 8.00220247419814901e-01; 4.10287270252444998e+01; 8.00220247419814901e-01; 
42;4.20244784215092650e+01; 8.31137270304165843e-01; 4.20244784215092650e+01; 8.31137270304165843e-01; 4.20244784040406572e+01; 8.31137127828354472e-01; 4.20244784040406572e+01; 8.31137127828354472e-01; 
43;4.30245018752021124e+01; 8.87489626668950260e-01; 4.30245018752021124e+01; 8.87489626668950260e-01; 4.30245018570245392e+01; 8.87489468884802846e-01; 4.30245018570245392e+01; 8.87489468884802846e-01; 
44;4.40145860919789840e+01; 9.19105007424939391e-01; 4.40145860919789840e+01; 9.19105007424939391e-01; 4.40145860750086300e+01; 9.19104847512264289e-01; 4.40145860750086300e+01; 9.19104847512264289e-01; 
45;4.50166118255543140e+01; 9.86290335674327445e-01; 4.50166118255543140e+01; 9.86290335674327445e-01; 4.50166118056605526e+01; 9.86290164452689133e-01; 4.50166118056605526e+01; 9.86290164452689133e-01; 
46;4.60082309342780462e+01; 1.01862921541682505e+00; 4.60082309342780462e+01; 1.01862921541682505e+00; 4.60082309134067842e+01; 1.01862903395231807e+00; 4.60082309134067842e+01; 1.01862903395231807e+00; 
47;4.70124445655030243e+01; 1.06843461796645145e+00; 4.70124445655030243e+01; 1.06843461796645145e+00; 4.70124445438639427e+01; 1.06843442233005503e+00; 4.70124445438639427e+01; 1.06843442233005503e+00; 
48;4.80302254339683543e+01; 1.10896916886939656e+00; 4.80302254339683543e+01; 1.10896916886939656e+00; 4.80302254097405665e+01; 1.10896895756317093e+00; 4.80302254097405665e+01; 1.10896895756317093e+00; 
49;4.90217515684243352e+01; 1.14736319365753325e+00; 4.90217515684243352e+01; 1.14736319365753325e+00; 4.90217515444648626e+01; 1.14736297791172137e+00; 4.90217515444648626e+01; 1.14736297791172137e+00; 
50;5.00305752432257620e+01; 1.22614362413030742e+00; 5.00305752432257620e+01; 1.22614362413030742e+00; 5.00305752193558320e+01; 1.22614339519031734e+00; 5.00305752193558320e+01; 1.22614339519031734e+00; 
51;5.10340584804194819e+01; 1.29645175450313443e+00; 5.10340584804194819e+01; 1.29645175450313443e+00; 5.10340584609655323e+01; 1.29645151755910493e+00; 5.10340584609655323e+01; 1.29645151755910493e+00; 
52;5.20499373084806578e+01; 1.34213059194969508e+00; 5.20499373084806578e+01; 1.34213059194969508e+00; 5.20499372831519480e+01; 1.34213035367846056e+00; 5.20499372831519480e+01; 1.34213035367846056e+00; 
53;5.30512284722456471e+01; 1.37882042846120534e+00; 5.30512284722456471e+01; 1.37882042846120534e+00; 5.30512284464155073e+01; 1.37882017697317916e+00; 5.30512284464155073e+01; 1.37882017697317916e+00; 
54;5.40415339453530237e+01; 1.40296944791404798e+00; 5.40415339453530237e+01; 1.40296944791404798e+00; 5.40415339199675415e+01; 1.40296919702932188e+00; 5.40415339199675415e+01; 1.40296919702932188e+00; 
55;5.50349898066799241e+01; 1.45590822421925248e+00; 5.50349898066799241e+01; 1.45590822421925248e+00; 5.50349897814485374e+01; 1.45590796979247172e+00; 5.50349897814485374e+01; 1.45590796979247172e+00; 
56;5.60367105400880874e+01; 1.47456994532088337e+00; 5.60367105400880874e+01; 1.47456994532088337e+00; 5.60367105130920180e+01; 1.47456968486127371e+00; 5.60367105130920180e+01; 1.47456968486127371e+00; 
57;5.70363628685908921e+01; 1.50193174642109062e+00; 5.70363628685908921e+01; 1.50193174642109062e+00; 5.70363628440071437e+01; 1.50193148857622050e+00; 5.70363628440071437e+01; 1.50193148857622050e+00; 
58;5.80438896183467250e+01; 1.56633734623140319e+00; 5.80438896183467250e+01; 1.56633734623140319e+00; 5.80438895945677658e+01; 1.56633706763673342e+00; 5.80438895945677658e+01; 1.56633706763673342e+00; 
59;5.90304806016399652e+01; 1.61012954928094776e+00; 5.90304806016399652e+01; 1.61012954928094776e+00; 5.90304805802734478e+01; 1.61012926799692391e+00; 5.90304805802734478e+01; 1.61012926799692391e+00; 
60;6.00273150108301650e+01; 1.72470915109566270e+00; 6.00273150108301650e+01; 1.72470915109566270e+00; 6.00273149885987181e+01; 1.72470885651396322e+00; 6.00273149885987181e+01; 1.72470885651396322e+00; 
61;6.10128200830204435e+01; 1.81903526417524586e+00; 6.10128200830204435e+01; 1.81903526417524586e+00; 6.10128200637989906e+01; 1.81903495322121223e+00; 6.10128200637989906e+01; 1.81903495322121223e+00; 
62;6.20191066004805336e+01; 1.91239367333319432e+00; 6.20191066004805336e+01; 1.91239367333319432e+00; 6.20191065821297087e+01; 1.91239335380286546e+00; 6.20191065821297087e+01; 1.91239335380286546e+00; 
63;6.30029094390410620e+01; 1.97208788746702379e+00; 6.30029094390410620e+01; 1.97208788746702379e+00; 6.30029094233202898e+01; 1.97208756486381009e+00; 6.30029094233202898e+01; 1.97208756486381009e+00; 
64;6.39987339309165151e+01; 2.02669970007841238e+00; 6.39987339309165151e+01; 2.02669970007841238e+00; 6.39987339152984092e+01; 2.02669936895451563e+00; 6.39987339152984092e+01; 2.02669936895451563e+00; 
65;6.50116102125523696e+01; 2.10193063841418493e+00; 6.50116102125523696e+01; 2.10193063841418493e+00; 6.50116101966607687e+01; 2.10193030042076900e+00; 6.50116101966607687e+01; 2.10193030042076900e+00; 
66;6.60217359351994162e+01; 2.17698370823036669e+00; 6.60217359351994162e+01; 2.17698370823036669e+00; 6.60217359167056230e+01; 2.17698336721581054e+00; 6.60217359167056230e+01; 2.17698336721581054e+00; 
67;6.70365034332151879e+01; 2.23859918641891520e+00; 6.70365034332151879e+01; 2.23859918641891520e+00; 6.70365034168746377e+01; 2.23859883266469373e+00; 6.70365034168746377e+01; 2.23859883266469373e+00; 
68;6.80399778753276223e+01; 2.35138344874605076e+00; 6.80399778753276223e+01; 2.35138344874605076e+00; 6.80399778604048038e+01; 2.35138307316593398e+00; 6.80399778604048038e+01; 2.35138307316593398e+00; 
69;6.90389266659132943e+01; 2.36442091665309961e+00; 6.90389266659132943e+01; 2.36442091665309961e+00; 6.90389266519974285e+01; 2.36442052186766727e+00; 6.90389266519974285e+01; 2.36442052186766727e+00; 
70;7.00478385760479654e+01; 2.44664304136244493e+00; 7.00478385760479654e+01; 2.44664304136244493e+00; 7.00478385604825178e+01; 2.44664261729625121e+00; 7.00478385604825178e+01; 2.44664261729625121e+00; 
71;7.10533065418647567e+01; 2.49973403327010457e+00; 7.10533065418647567e+01; 2.49973403327010457e+00; 7.10533065242654800e+01; 2.49973359020919261e+00; 7.10533065242654800e+01; 2.49973359020919261e+00; 
72;7.20536136117455897e+01; 2.54695434384478325e+00; 7.20536136117455897e+01; 2.54695434384478325e+00; 7.20536135939208009e+01; 2.54695388467763317e+00; 7.20536135939208009e+01; 2.54695388467763317e+00; 
