name=SetSketch2;numRegisters=4096;q=65534;base=1.00099999999999989e+00;a=3.00000000000000000e+01;numExamples=1000;
true cardinality; simple mean; simple mse; simple corrected mean; simple corrected mse; ml mean; ml mse;ml corrected mean; ml corrected mse;
0;3.33166805430666763e-02; 1.11000120240878396e-03; 0.00000000000000000e+00; 0.00000000000000000e+00; 3.33166777701448397e-02; 1.11000101763961937e-03; 0.00000000000000000e+00; 0.00000000000000000e+00; 
1;1.00000635629570822e+00; 6.04481571442788675e-08; 1.00000635629570822e+00; 6.04481571442788675e-08; 1.00000635630553614e+00; 6.04479945156065221e-08; 1.00000635630553614e+00; 6.04479945156065221e-08; 
2;2.00089588138080554e+00; 3.09767873838701503e-04; 2.00089588138080554e+00; 3.09767873838701503e-04; 2.00089588124639794e+00; 3.09767798627754440e-04; 2.00089588124639794e+00; 3.09767798627754440e-04; 
3;2.99920887657483348e+00; 9.26974126671870481e-04; 2.99920887657483348e+00; 9.26974126671870481e-04; 2.99920887677123815e+00; 9.26973942983731021e-04; 2.99920887677123815e+00; 9.26973942983731021e-04; 
4;3.99964457822835584e+00; 1.70965623990835375e-03; 3.99964457822835584e+00; 1.70965623990835375e-03; 3.99964457820306363e+00; 1.70965593123063560e-03; 3.99964457820306363e+00; 1.70965593123063560e-03; 
5;5.00039856912808744e+00; 2.72432994442114605e-03; 5.00039856912808744e+00; 2.72432994442114605e-03; 5.00039856929671434e+00; 2.72432949950755180e-03; 5.00039856929671434e+00; 2.72432949950755180e-03; 
6;6.00170071559236185e+00; 3.99368606636657172e-03; 6.00170071559236185e+00; 3.99368606636657172e-03; 6.00170071557428209e+00; 3.99368539554569111e-03; 6.00170071557428209e+00; 3.99368539554569111e-03; 
7;7.00349642671752548e+00; 5.36190233549425823e-03; 7.00349642671752548e+00; 5.36190233549425823e-03; 7.00349642651396476e+00; 5.36190138810490984e-03; 7.00349642651396476e+00; 5.36190138810490984e-03; 
8;8.00624856102656857e+00; 7.41367896471683760e-03; 8.00624856102656857e+00; 7.41367896471683760e-03; 8.00624856055315348e+00; 7.41367771712648539e-03; 8.00624856055315348e+00; 7.41367771712648539e-03; 
9;9.00733455800773442e+00; 9.31924311002263819e-03; 9.00733455800773442e+00; 9.31924311002263819e-03; 9.00733455757690749e+00; 9.31924154307903381e-03; 9.00733455757690749e+00; 9.31924154307903381e-03; 
10;1.00051257754693879e+01; 1.16723456092744059e-02; 1.00051257754693879e+01; 1.16723456092744059e-02; 1.00051257751031830e+01; 1.16723434993567434e-02; 1.00051257751031830e+01; 1.16723434993567434e-02; 
11;1.10057513378727538e+01; 1.42560539412658876e-02; 1.10057513378727538e+01; 1.42560539412658876e-02; 1.10057513375475438e+01; 1.42560515424487236e-02; 1.10057513375475438e+01; 1.42560515424487236e-02; 
12;1.20061872180427756e+01; 1.69575111709372311e-02; 1.20061872180427756e+01; 1.69575111709372311e-02; 1.20061872168408375e+01; 1.69575084319203775e-02; 1.20061872168408375e+01; 1.69575084319203775e-02; 
13;1.30082522595575973e+01; 2.01133998329098181e-02; 1.30082522595575973e+01; 2.01133998329098181e-02; 1.30082522582012388e+01; 2.01133966121715829e-02; 1.30082522582012388e+01; 2.01133966121715829e-02; 
14;1.40087610968530036e+01; 2.27920493491144925e-02; 1.40087610968530036e+01; 2.27920493491144925e-02; 1.40087610953416011e+01; 2.27920458402325644e-02; 1.40087610953416011e+01; 2.27920458402325644e-02; 
15;1.50109214448316557e+01; 2.65826272191569714e-02; 1.50109214448316557e+01; 2.65826272191569714e-02; 1.50109214429339275e+01; 2.65826233864252214e-02; 1.50109214429339275e+01; 2.65826233864252214e-02; 
16;1.60125101988484104e+01; 3.14714965555750043e-02; 1.60125101988484104e+01; 3.14714965555750043e-02; 1.60125101969016548e+01; 3.14714917779322159e-02; 1.60125101969016548e+01; 3.14714917779322159e-02; 
17;1.70091577484998631e+01; 3.61667723975378497e-02; 1.70091577484998631e+01; 3.61667723975378497e-02; 1.70091577468730897e+01; 3.61667667530325421e-02; 1.70091577468730897e+01; 3.61667667530325421e-02; 
18;1.80083429906755406e+01; 4.08731973850077618e-02; 1.80083429906755406e+01; 4.08731973850077618e-02; 1.80083429898895346e+01; 4.08731911206847084e-02; 1.80083429898895346e+01; 4.08731911206847084e-02; 
19;1.90054161644324608e+01; 4.71358383866477271e-02; 1.90054161644324608e+01; 4.71358383866477271e-02; 1.90054161643950472e+01; 4.71358309313505766e-02; 1.90054161643950472e+01; 4.71358309313505766e-02; 
20;2.00035842560503525e+01; 5.17760196288651331e-02; 2.00035842560503525e+01; 5.17760196288651331e-02; 2.00035842561433022e+01; 5.17760115344483920e-02; 2.00035842561433022e+01; 5.17760115344483920e-02; 
21;2.10011001752629660e+01; 5.56914740007225170e-02; 2.10011001752629660e+01; 5.56914740007225170e-02; 2.10011001768859487e+01; 5.56914652766592605e-02; 2.10011001768859487e+01; 5.56914652766592605e-02; 
22;2.20030591757424538e+01; 6.23050594691922643e-02; 2.20030591757424538e+01; 6.23050594691922643e-02; 2.20030591768262589e+01; 6.23050496784337757e-02; 2.20030591768262589e+01; 6.23050496784337757e-02; 
23;2.30012680601362405e+01; 6.52531494801503048e-02; 2.30012680601362405e+01; 6.52531494801503048e-02; 2.30012680608247955e+01; 6.52531393711212465e-02; 2.30012680608247955e+01; 6.52531393711212465e-02; 
24;2.40020257566738202e+01; 7.17260855052453267e-02; 2.40020257566738202e+01; 7.17260855052453267e-02; 2.40020257565750832e+01; 7.17260753641462689e-02; 2.40020257565750832e+01; 7.17260753641462689e-02; 
25;2.50009902100414756e+01; 7.72909978074877296e-02; 2.50009902100414756e+01; 7.72909978074877296e-02; 2.50009902099192871e+01; 7.72909861005709187e-02; 2.50009902099192871e+01; 7.72909861005709187e-02; 
26;2.60044104103742839e+01; 8.22858338913972642e-02; 2.60044104103742839e+01; 8.22858338913972642e-02; 2.60044104096821762e+01; 8.22858211487549340e-02; 2.60044104096821762e+01; 8.22858211487549340e-02; 
27;2.70057703558148532e+01; 8.97412185536118068e-02; 2.70057703558148532e+01; 8.97412185536118068e-02; 2.70057703555341178e+01; 8.97412046854819262e-02; 2.70057703555341178e+01; 8.97412046854819262e-02; 
28;2.80071717091802768e+01; 9.71304252023106329e-02; 2.80071717091802768e+01; 9.71304252023106329e-02; 2.80071717084930150e+01; 9.71304100597217140e-02; 2.80071717084930150e+01; 9.71304100597217140e-02; 
29;2.90069891696334352e+01; 1.03465895384205975e-01; 2.90069891696334352e+01; 1.03465895384205975e-01; 2.90069891697062339e+01; 1.03465879183936335e-01; 2.90069891697062339e+01; 1.03465879183936335e-01; 
30;3.00093494633783244e+01; 1.08988857190749411e-01; 3.00093494633783244e+01; 1.08988857190749411e-01; 3.00093494618983101e+01; 1.08988838501321822e-01; 3.00093494618983101e+01; 1.08988838501321822e-01; 
31;3.10084426035776346e+01; 1.16408678894138903e-01; 3.10084426035776346e+01; 1.16408678894138903e-01; 3.10084426017622974e+01; 1.16408659239977688e-01; 3.10084426017622974e+01; 1.16408659239977688e-01; 
32;3.20085029862241441e+01; 1.25007630601259884e-01; 3.20085029862241441e+01; 1.25007630601259884e-01; 3.20085029852142213e+01; 1.25007609932919761e-01; 3.20085029852142213e+01; 1.25007609932919761e-01; 
33;3.30010380293363212e+01; 1.30917892365149308e-01; 3.30010380293363212e+01; 1.30917892365149308e-01; 3.30010380292830163e+01; 1.30917871155344812e-01; 3.30010380292830163e+01; 1.30917871155344812e-01; 
34;3.40003454197994657e+01; 1.33943428530189257e-01; 3.40003454197994657e+01; 1.33943428530189257e-01; 3.40003454200761155e+01; 1.33943407170864476e-01; 3.40003454200761155e+01; 1.33943407170864476e-01; 
35;3.50075713193524862e+01; 1.41878251900812324e-01; 3.50075713193524862e+01; 1.41878251900812324e-01; 3.50075713187339446e+01; 1.41878228963950720e-01; 3.50075713187339446e+01; 1.41878228963950720e-01; 
36;3.60059996810393628e+01; 1.50978164325706238e-01; 3.60059996810393628e+01; 1.50978164325706238e-01; 3.60059996805594338e+01; 1.50978138826028646e-01; 3.60059996805594338e+01; 1.50978138826028646e-01; 
37;3.70087752988517025e+01; 1.61501362637856472e-01; 3.70087752988517025e+01; 1.61501362637856472e-01; 3.70087752989789323e+01; 1.61501335127593820e-01; 3.70087752989789323e+01; 1.61501335127593820e-01; 
38;3.80020401011848463e+01; 1.68165781299528583e-01; 3.80020401011848463e+01; 1.68165781299528583e-01; 3.80020401012829296e+01; 1.68165753546101332e-01; 3.80020401012829296e+01; 1.68165753546101332e-01; 
39;3.89968550370099720e+01; 1.82817153283013789e-01; 3.89968550370099720e+01; 1.82817153283013789e-01; 3.89968550393157116e+01; 1.82817122093569540e-01; 3.89968550393157116e+01; 1.82817122093569540e-01; 
40;3.99997728835172950e+01; 1.92525172873448114e-01; 3.99997728835172950e+01; 1.92525172873448114e-01; 3.99997728850501062e+01; 1.92525138965824266e-01; 3.99997728850501062e+01; 1.92525138965824266e-01; 
41;4.09967973227298614e+01; 2.00485266503969833e-01; 4.09967973227298614e+01; 2.00485266503969833e-01; 4.09967973238130625e+01; 2.00485232158557403e-01; 4.09967973238130625e+01; 2.00485232158557403e-01; 
42;4.19908173619306950e+01; 2.08263589735530774e-01; 4.19908173619306950e+01; 2.08263589735530774e-01; 4.19908173626275172e+01; 2.08263554688860264e-01; 4.19908173626275172e+01; 2.08263554688860264e-01; 
43;4.29875082862481221e+01; 2.22779648501538863e-01; 4.29875082862481221e+01; 2.22779648501538863e-01; 4.29875082864994411e+01; 2.22779610843312548e-01; 4.29875082864994411e+01; 2.22779610843312548e-01; 
44;4.39936119783475590e+01; 2.34528099993337347e-01; 4.39936119783475590e+01; 2.34528099993337347e-01; 4.39936119781780022e+01; 2.34528060876787930e-01; 4.39936119781780022e+01; 2.34528060876787930e-01; 
45;4.49854419946388617e+01; 2.49771403165319789e-01; 4.49854419946388617e+01; 2.49771403165319789e-01; 4.49854419966208994e+01; 2.49771360223209893e-01; 4.49854419966208994e+01; 2.49771360223209893e-01; 
46;4.59838528884355497e+01; 2.55291506794428080e-01; 4.59838528884355497e+01; 2.55291506794428080e-01; 4.59838528910823356e+01; 2.55291462070391273e-01; 4.59838528910823356e+01; 2.55291462070391273e-01; 
47;4.69852864085450435e+01; 2.61114520177788634e-01; 4.69852864085450435e+01; 2.61114520177788634e-01; 4.69852864109963093e+01; 2.61114473765300947e-01; 4.69852864109963093e+01; 2.61114473765300947e-01; 
48;4.79831162567939344e+01; 2.66189509527676615e-01; 4.79831162567939344e+01; 2.66189509527676615e-01; 4.79831162590041558e+01; 2.66189461919376924e-01; 4.79831162590041558e+01; 2.66189461919376924e-01; 
49;4.89790766306769356e+01; 2.75944544025743865e-01; 4.89790766306769356e+01; 2.75944544025743865e-01; 4.89790766320595168e+01; 2.75944495826062397e-01; 4.89790766320595168e+01; 2.75944495826062397e-01; 
