name=SetSketch1;numRegisters=256;q=65534;base=1.00099999999999989e+00;a=3.00000000000000000e+01;seed=c6af5f872e8bb2bc;numExamples=1000;
true cardinality; simple mean; simple mse; simple corrected mean; simple corrected mse; ml mean; ml mse;ml corrected mean; ml corrected mse;
28;2.81255156353202800e+01; 3.18915966902163150e+00; 2.81255156353202800e+01; 3.18915966902163150e+00; 2.81255156159629394e+01; 3.18915971123937325e+00; 2.81255156159629394e+01; 3.18915971123937325e+00; 
29;2.91327805530575112e+01; 3.52214668604206338e+00; 2.91327805530575112e+01; 3.52214668604206338e+00; 2.91327805328748290e+01; 3.52214671834247639e+00; 2.91327805328748290e+01; 3.52214671834247639e+00; 
30;3.01654778458494448e+01; 3.73963524356065324e+00; 3.01654778458494448e+01; 3.73963524356065324e+00; 3.01654778233519423e+01; 3.73963526695495307e+00; 3.01654778233519423e+01; 3.73963526695495307e+00; 
31;3.11682066191207312e+01; 3.85340779712243275e+00; 3.11682066191207312e+01; 3.85340779712243275e+00; 3.11682065989435806e+01; 3.85340781841336444e+00; 3.11682065989435806e+01; 3.85340781841336444e+00; 
32;3.21786656852093813e+01; 4.13064692550414492e+00; 3.21786656852093813e+01; 4.13064692550414492e+00; 3.21786656598161827e+01; 4.13064694024456980e+00; 3.21786656598161827e+01; 4.13064694024456980e+00; 
33;3.31799451730344970e+01; 4.40777699781499432e+00; 3.31799451730344970e+01; 4.40777699781499432e+00; 3.31799451471252382e+01; 4.40777705493552574e+00; 3.31799451471252382e+01; 4.40777705493552574e+00; 
34;3.41906359797273183e+01; 4.68354464737910980e+00; 3.41906359797273183e+01; 4.68354464737910980e+00; 3.41906359484569080e+01; 4.68354467299707711e+00; 3.41906359484569080e+01; 4.68354467299707711e+00; 
35;3.51728696330427937e+01; 5.10190810785317872e+00; 3.51728696330427937e+01; 5.10190810785317872e+00; 3.51728696018635318e+01; 5.10190812065667476e+00; 3.51728696018635318e+01; 5.10190812065667476e+00; 
36;3.61862554802580050e+01; 5.41765379826852733e+00; 3.61862554802580050e+01; 5.41765379826852733e+00; 3.61862554543996211e+01; 5.41765379463221564e+00; 3.61862554543996211e+01; 5.41765379463221564e+00; 
37;3.71722202443067715e+01; 5.71555639331037924e+00; 3.71722202443067715e+01; 5.71555639331037924e+00; 3.71722202149524961e+01; 5.71555640982684032e+00; 3.71722202149524961e+01; 5.71555640982684032e+00; 
38;3.81758950831059991e+01; 6.09352634555213246e+00; 3.81758950831059991e+01; 6.09352634555213246e+00; 3.81758950444788425e+01; 6.09352632226508817e+00; 3.81758950444788425e+01; 6.09352632226508817e+00; 
39;3.91708088151652092e+01; 6.27656139425891091e+00; 3.91708088151652092e+01; 6.27656139425891091e+00; 3.91708087759559831e+01; 6.27656135503483092e+00; 3.91708087759559831e+01; 6.27656135503483092e+00; 
40;4.01668229692810854e+01; 6.60676033148798680e+00; 4.01668229692810854e+01; 6.60676033148798680e+00; 4.01668229273120829e+01; 6.60676032384460576e+00; 4.01668229273120829e+01; 6.60676032384460576e+00; 
41;4.11609834587780341e+01; 6.75521432858408488e+00; 4.11609834587780341e+01; 6.75521432858408488e+00; 4.11609834203106644e+01; 6.75521435219279986e+00; 4.11609834203106644e+01; 6.75521435219279986e+00; 
42;4.21514956656567321e+01; 7.04827646299426025e+00; 4.21514956656567321e+01; 7.04827646299426025e+00; 4.21514956237986951e+01; 7.04827648361557113e+00; 4.21514956237986951e+01; 7.04827648361557113e+00; 
43;4.31424985491524211e+01; 7.50195395922370345e+00; 4.31424985491524211e+01; 7.50195395922370345e+00; 4.31424985027269869e+01; 7.50195391505358966e+00; 4.31424985027269869e+01; 7.50195391505358966e+00; 
44;4.41743787185463432e+01; 7.64033011854651534e+00; 4.41743787185463432e+01; 7.64033011854651534e+00; 4.41743786647890602e+01; 7.64033004908506719e+00; 4.41743786647890602e+01; 7.64033004908506719e+00; 
45;4.51838431716930344e+01; 7.97809057671198651e+00; 4.51838431716930344e+01; 7.97809057671198651e+00; 4.51838431211153093e+01; 7.97809047675633742e+00; 4.51838431211153093e+01; 7.97809047675633742e+00; 
46;4.62312022719109592e+01; 8.33714208797050738e+00; 4.62312022719109592e+01; 8.33714208797050738e+00; 4.62312022182088427e+01; 8.33714194201238179e+00; 4.62312022182088427e+01; 8.33714194201238179e+00; 
47;4.72384536665931876e+01; 8.71320760116652160e+00; 4.72384536665931876e+01; 8.71320760116652160e+00; 4.72384536100992136e+01; 8.71320746694521375e+00; 4.72384536100992136e+01; 8.71320746694521375e+00; 
48;4.82306973987454768e+01; 9.24383615828337390e+00; 4.82306973987454768e+01; 9.24383615828337390e+00; 4.82306973369406577e+01; 9.24383598741506418e+00; 4.82306973369406577e+01; 9.24383598741506418e+00; 
49;4.92550942222328914e+01; 9.57712902174017877e+00; 4.92550942222328914e+01; 9.57712902174017877e+00; 4.92550941604408834e+01; 9.57712886145822573e+00; 4.92550941604408834e+01; 9.57712886145822573e+00; 
50;5.02588618561961908e+01; 9.89352367999013538e+00; 5.02588618561961908e+01; 9.89352367999013538e+00; 5.02588617977405860e+01; 9.89352353354662029e+00; 5.02588617977405860e+01; 9.89352353354662029e+00; 
51;5.12780948830451422e+01; 1.03879060889776547e+01; 5.12780948830451422e+01; 1.03879060889776547e+01; 5.12780948270844945e+01; 1.03879058991866664e+01; 5.12780948270844945e+01; 1.03879058991866664e+01; 
52;5.22339538774996583e+01; 1.07213467212399660e+01; 5.22339538774996583e+01; 1.07213467212399660e+01; 5.22339538277932931e+01; 1.07213465347362078e+01; 5.22339538277932931e+01; 1.07213465347362078e+01; 
53;5.32318618689204897e+01; 1.11747666803686201e+01; 5.32318618689204897e+01; 1.11747666803686201e+01; 5.32318618204798071e+01; 1.11747664745680098e+01; 5.32318618204798071e+01; 1.11747664745680098e+01; 
54;5.42138426805823670e+01; 1.13045506914607206e+01; 5.42138426805823670e+01; 1.13045506914607206e+01; 5.42138426329371015e+01; 1.13045504967220296e+01; 5.42138426329371015e+01; 1.13045504967220296e+01; 
55;5.52122368344884649e+01; 1.15640838203196079e+01; 5.52122368344884649e+01; 1.15640838203196079e+01; 5.52122367945905523e+01; 1.15640836355941392e+01; 5.52122367945905523e+01; 1.15640836355941392e+01; 
56;5.61978390355379887e+01; 1.19510484063211830e+01; 5.61978390355379887e+01; 1.19510484063211830e+01; 5.61978389934922902e+01; 1.19510481795139825e+01; 5.61978389934922902e+01; 1.19510481795139825e+01; 
57;5.72246838198910197e+01; 1.22794274260171825e+01; 5.72246838198910197e+01; 1.22794274260171825e+01; 5.72246837754265982e+01; 1.22794271512114648e+01; 5.72246837754265982e+01; 1.22794271512114648e+01; 
58;5.82302338093742335e+01; 1.27113026596993901e+01; 5.82302338093742335e+01; 1.27113026596993901e+01; 5.82302337646602695e+01; 1.27113023243893437e+01; 5.82302337646602695e+01; 1.27113023243893437e+01; 
59;5.92172805055160438e+01; 1.30947690035873574e+01; 5.92172805055160438e+01; 1.30947690035873574e+01; 5.92172804697539661e+01; 1.30947686846735056e+01; 5.92172804697539661e+01; 1.30947686846735056e+01; 
60;6.02392485876073778e+01; 1.36226343734655444e+01; 6.02392485876073778e+01; 1.36226343734655444e+01; 6.02392485433934866e+01; 1.36226340073016594e+01; 6.02392485433934866e+01; 1.36226340073016594e+01; 
61;6.12263555140169302e+01; 1.38845179884853600e+01; 6.12263555140169302e+01; 1.38845179884853600e+01; 6.12263554673376049e+01; 1.38845176051893020e+01; 6.12263554673376049e+01; 1.38845176051893020e+01; 
62;6.21893580153804919e+01; 1.41977717416345417e+01; 6.21893580153804919e+01; 1.41977717416345417e+01; 6.21893579677492951e+01; 1.41977713352480155e+01; 6.21893579677492951e+01; 1.41977713352480155e+01; 
63;6.31577193710816402e+01; 1.48623246475058526e+01; 6.31577193710816402e+01; 1.48623246475058526e+01; 6.31577193175779641e+01; 1.48623241196860043e+01; 6.31577193175779641e+01; 1.48623241196860043e+01; 
64;6.41674604494322836e+01; 1.53071565822742492e+01; 6.41674604494322836e+01; 1.53071565822742492e+01; 6.41674603914864576e+01; 1.53071559763816083e+01; 6.41674603914864576e+01; 1.53071559763816083e+01; 
65;6.51556912468414993e+01; 1.58593350317469355e+01; 6.51556912468414993e+01; 1.58593350317469355e+01; 6.51556911905486942e+01; 1.58593344529101117e+01; 6.51556911905486942e+01; 1.58593344529101117e+01; 
66;6.61441094039001314e+01; 1.68328320483781404e+01; 6.61441094039001314e+01; 1.68328320483781404e+01; 6.61441093460669265e+01; 1.68328314037459670e+01; 6.61441093460669265e+01; 1.68328314037459670e+01; 
67;6.71498352353961820e+01; 1.75126225324816893e+01; 6.71498352353961820e+01; 1.75126225324816893e+01; 6.71498351799786093e+01; 1.75126218453265707e+01; 6.71498351799786093e+01; 1.75126218453265707e+01; 
68;6.82002380115738305e+01; 1.82540167994222635e+01; 6.82002380115738305e+01; 1.82540167994222635e+01; 6.82002379507177920e+01; 1.82540160637614157e+01; 6.82002379507177920e+01; 1.82540160637614157e+01; 
69;6.92237956849527620e+01; 1.90512725757922681e+01; 6.92237956849527620e+01; 1.90512725757922681e+01; 6.92237956298620389e+01; 1.90512717859313021e+01; 6.92237956298620389e+01; 1.90512717859313021e+01; 
70;7.02303366596837719e+01; 1.94182178962124325e+01; 7.02303366596837719e+01; 1.94182178962124325e+01; 7.02303366036332051e+01; 1.94182171836384612e+01; 7.02303366036332051e+01; 1.94182171836384612e+01; 
71;7.12439770240378465e+01; 2.00694615947816395e+01; 7.12439770240378465e+01; 2.00694615947816395e+01; 7.12439769710101984e+01; 2.00694608729233863e+01; 7.12439769710101984e+01; 2.00694608729233863e+01; 
72;7.22575245433065874e+01; 2.05098351830908427e+01; 7.22575245433065874e+01; 2.05098351830908427e+01; 7.22575244805343715e+01; 2.05098344881614487e+01; 7.22575244805343715e+01; 2.05098344881614487e+01; 
73;7.32540356441840004e+01; 2.12369287839215453e+01; 7.32540356441840004e+01; 2.12369287839215453e+01; 7.32540355786245811e+01; 2.12369280718660143e+01; 7.32540355786245811e+01; 2.12369280718660143e+01; 
74;7.42468938930528140e+01; 2.19663448711741864e+01; 7.42468938930528140e+01; 2.19663448711741864e+01; 7.42468938391268694e+01; 2.19663441501130947e+01; 7.42468938391268694e+01; 2.19663441501130947e+01; 
75;7.52841971575588076e+01; 2.25804818394844418e+01; 7.52841971575588076e+01; 2.25804818394844418e+01; 7.52841971061001516e+01; 2.25804810629218053e+01; 7.52841971061001516e+01; 2.25804810629218053e+01; 
76;7.62824125285506938e+01; 2.31400866270447771e+01; 7.62824125285506938e+01; 2.31400866270447771e+01; 7.62824124761132651e+01; 2.31400859536157490e+01; 7.62824124761132651e+01; 2.31400859536157490e+01; 
77;7.72848618894801405e+01; 2.35360362845255366e+01; 7.72848618894801405e+01; 2.35360362845255366e+01; 7.72848618359836905e+01; 2.35360355803551364e+01; 7.72848618359836905e+01; 2.35360355803551364e+01; 
78;7.82630677119137204e+01; 2.40420022943318692e+01; 7.82630677119137204e+01; 2.40420022943318692e+01; 7.82630676675742620e+01; 2.40420015687254640e+01; 7.82630676675742620e+01; 2.40420015687254640e+01; 
79;7.92465589784995501e+01; 2.45385545272515664e+01; 7.92465589784995501e+01; 2.45385545272515664e+01; 7.92465589333911566e+01; 2.45385538465440796e+01; 7.92465589333911566e+01; 2.45385538465440796e+01; 
80;8.02289259000548043e+01; 2.50197029189534490e+01; 8.02289259000548043e+01; 2.50197029189534490e+01; 8.02289258493191113e+01; 2.50197021319433226e+01; 8.02289258493191113e+01; 2.50197021319433226e+01; 
