name=MinHash;base=1.00000000000000000e+00;numRegisters=4096;numCycles=1000;aggregationMode=stream;
cardinality; avg time in seconds (incl. allocation); avg time in seconds (excl. allocation);sum of consumed states;
1;5.5640999999999998e-06;4.2865999999999964e-06;15648339678432462232;
2;2.2497300000000002e-05;2.1106200000000066e-05;13640471170779530216;
5;6.1515599999999998e-05;6.0143199999999916e-05;10024125475069915056;
10;0.0001014887;9.9792700000000262e-05;6051473387810482936;
20;0.00016112290000000002;0.0001597177000000003;2688228640346612840;
50;0.0003043182;0.00030286980000000043;9348950543765614936;
100;0.00051318369999999998;0.00051171459999999947;67079259744757832;
200;0.00097750549999999999;0.00097541820000000129;12302274569901073176;
500;0.0023751486999999999;0.0023729011999999994;4260698131169892272;
1000;0.0047605104999999997;0.004758129199999999;3910456997233672480;
2000;0.0096164030000000008;0.0096139240999999955;14542072888048244056;
5000;0.023055119200000002;0.023052624900000013;11233411012770777120;
10000;0.043251925499999996;0.043249393600000026;12368434046446695136;
20000;0.0844805629;0.084477958900000122;8200601013703707952;
50000;0.2102865847;0.21028366189999992;7621009240899660720;
100000;0.41387289690000001;0.4138692099999996;12800629475748055360;
