name=SetSketch2;numRegisters=4096;q=62;base=2.00000000000000000e+00;a=2.00000000000000000e+01;registerStateType=registers with lower bound;bulkAddFirstAttemptSuccessProbability=9.49999999999999956e-01;numCycles=1000;aggregationMode=bulk;
cardinality; avg time in seconds (incl. allocation); avg time in seconds (excl. allocation);sum of consumed states;
1;0.0001019525;0.00010078269999999988;23160000;
2;0.00021131289999999999;0.00021012140000000013;27361000;
5;0.00049126650000000003;0.00049002919999999975;32697000;
10;0.00076680849999999996;0.00076548410000000088;36743000;
20;0.0022397769000000001;0.0022383295999999996;40776000;
50;0.0010699805000000001;0.0010686357000000012;46180000;
100;0.0029777925999999997;0.0029763192999999973;50312000;
200;0.0011733758;0.0011720316000000015;54396000;
500;0.0012339477999999998;0.0012325809000000004;59898000;
1000;0.0012745858;0.0012732386999999977;63852000;
2000;0.0013168171999999999;0.0013154812000000004;68040000;
5000;0.0013675603;0.0013662014999999987;73361000;
10000;0.0015131496000000001;0.0015117656999999983;77438000;
20000;0.0017331184;0.0017317411999999994;81459000;
50000;0.0053243594;0.0053228206000000009;86881000;
100000;0.0030114622;0.0030100176000000026;90941000;
200000;0.0039145884000000002;0.0039130682000000005;94994000;
500000;0.0063449508000000005;0.0063433897999999938;100568000;
1000000;0.010472618199999999;0.010470991500000019;104618000;
2000000;0.018506353099999998;0.018504675300000023;108780000;
5000000;0.043432060200000004;0.043430336300000094;114332000;
10000000;0.084204810599999999;0.084203014300000031;118373000;
