name=GeneralizedHyperLogLog;numRegisters=4096;q=65534;base=1.00099999999999989e+00;a=2.44140625000000000e-04;registerStateType=registers with lower bound;numExamples=10000;
true cardinality; simple mean; simple mse; simple standard deviation; simple kurtosis; ml mean; ml mse; ml standard deviation; ml kurtosis; 
10; 1.00020032834624732e+01; 1.01469467593275839e-02; 1.00712132410632371e-01; 9.60495202545624238e+01; 1.00020287388187583e+01; 1.01420166139580877e-02; 1.00687143334009480e-01; 9.59584867026673720e+01; 
11; 1.10019641414221905e+01; 1.27050283520216863e-02; 1.12699469832360316e-01; 7.61379654102003656e+01; 1.10019772933237174e+01; 1.27015743347095814e-02; 1.12683914760809897e-01; 7.60613932036462757e+01; 
12; 1.20011663854448969e+01; 1.62233181075636494e-02; 1.27365449210363163e-01; 5.89922826802614253e+01; 1.20011770681589542e+01; 1.62152220077413818e-02; 1.27333563989587700e-01; 5.89318772348350279e+01; 
13; 1.30014148843793294e+01; 1.89487785169885244e-02; 1.37647290635093178e-01; 5.01029086288369143e+01; 1.30014227027148177e+01; 1.89428915746761746e-02; 1.37625824217918274e-01; 5.00474363341243915e+01; 
14; 1.40020080140269574e+01; 2.15662468783834708e-02; 1.46840780296383838e-01; 4.36844901908642100e+01; 1.40020078493740261e+01; 2.15561157022989489e-02; 1.46806281347870216e-01; 4.36321264325584366e+01; 
15; 1.50014407615468812e+01; 2.55062312800154907e-02; 1.59700205028611153e-01; 3.64882319037695737e+01; 1.50014617330330839e+01; 2.54944447208434732e-02; 1.59663108003644305e-01; 3.64434928033037338e+01; 
16; 1.60007159279629683e+01; 3.01980792266264772e-02; 1.73774470719315344e-01; 3.29568511821293768e+01; 1.60007475877894336e+01; 3.01897367825221009e-02; 1.73750332071680058e-01; 3.29209654446179343e+01; 
17; 1.69997328525178233e+01; 3.49202552229783622e-02; 1.86869429964349937e-01; 2.77972133295152553e+01; 1.69997713454222392e+01; 3.49066677860928321e-02; 1.86833122072016578e-01; 2.77694770734713714e+01; 
18; 1.79990939477339751e+01; 3.99083685245606168e-02; 1.99768735276198511e-01; 2.52149734260821390e+01; 1.79991334818808291e+01; 3.98915854658733818e-02; 1.99726900071629354e-01; 2.51960633387806752e+01; 
19; 1.90004065901390362e+01; 4.28851164271910959e-02; 2.07086820226806523e-01; 2.30715497688775741e+01; 1.90004471832602491e+01; 4.28687010364163928e-02; 2.07047098660058604e-01; 2.30520707574389156e+01; 
20; 2.00006578823216650e+01; 4.74365854517387261e-02; 2.17798422038796152e-01; 2.13877067721008629e+01; 2.00006952639639373e+01; 4.74213008041709030e-02; 2.17763214093178142e-01; 2.13619456235335825e+01; 
21; 2.10021584772265477e+01; 5.06468130264075694e-02; 2.25038116776847513e-01; 1.96620966121990044e+01; 2.10021940768071786e+01; 5.06182180129511328e-02; 2.24974229724017760e-01; 1.96390220711461971e+01; 
22; 2.20014915375767970e+01; 5.63851674566001881e-02; 2.37450927082328511e-01; 1.78309498627986009e+01; 2.20015529333019089e+01; 5.63592846977216816e-02; 2.37396025863705562e-01; 1.78228103242229281e+01; 
23; 2.30029788752745397e+01; 5.99825810770527809e-02; 2.44895298809821416e-01; 1.64200201273214148e+01; 2.30030574137813701e+01; 5.99753986182372523e-02; 2.44879666038662541e-01; 1.64118988406618662e+01; 
24; 2.40044095188220084e+01; 6.44252134487156292e-02; 2.53782918244066069e-01; 1.57500864925032680e+01; 2.40045110185782811e+01; 6.44129502031647178e-02; 2.53756972149635052e-01; 1.57486283366168962e+01; 
25; 2.50041736510623807e+01; 7.04716576912335357e-02; 2.65432172744833439e-01; 1.52911005625217253e+01; 2.50043008079852243e+01; 7.04457535380201422e-02; 2.65381341824728889e-01; 1.52825891549374564e+01; 
26; 2.60031755667253321e+01; 7.76992783139884430e-02; 2.78727813628208809e-01; 1.41835334783186529e+01; 2.60033135991033824e+01; 7.76975334026221848e-02; 2.78723076661412938e-01; 1.41641942931674762e+01; 
27; 2.70013139949645442e+01; 8.63559359005930949e-02; 2.93860867278762650e-01; 1.37417804886154915e+01; 2.70014471524433830e+01; 8.63769479140787944e-02; 2.93895991234798148e-01; 1.37162207949594688e+01; 
28; 2.80008030133338828e+01; 9.27703160829964207e-02; 3.04581140671220552e-01; 1.24999258866016749e+01; 2.80009366927802752e+01; 9.27647092834000403e-02; 3.04571554630494290e-01; 1.24766950266765484e+01; 
29; 2.90014424710498382e+01; 9.89690710872176693e-02; 3.14590194323484895e-01; 1.18135436110978542e+01; 2.90015935368639646e+01; 9.89431749321424275e-02; 3.14548304036765702e-01; 1.17930594071225183e+01; 
30; 3.00028300250474480e+01; 1.04496412285784046e-01; 3.23246660066296043e-01; 1.11932805360386372e+01; 3.00029959946187113e+01; 1.04459311547900877e-01; 3.23187771371606092e-01; 1.11759423757120455e+01; 
31; 3.10021452672365747e+01; 1.11755294480665110e-01; 3.34291328498287410e-01; 1.03266791433052312e+01; 3.10023342278693264e+01; 1.11740046062567308e-01; 3.34267254517729540e-01; 1.03172920666206345e+01; 
32; 3.20020066803989280e+01; 1.19269770321502169e-01; 3.45348727455711102e-01; 9.75257871174396307e+00; 3.20022079727291668e+01; 1.19229191557278361e-01; 3.45288743537500442e-01; 9.74268142184085129e+00; 
33; 3.30022130592390539e+01; 1.26797262389295895e-01; 3.56079155186175722e-01; 9.48827693528212279e+00; 3.30024289390327326e+01; 1.26730152169752169e-01; 3.55983500214443305e-01; 9.49111699635026795e+00; 
34; 3.40011516615947329e+01; 1.36121343190111155e-01; 3.68944463118343891e-01; 9.01631969567918645e+00; 3.40014065221418420e+01; 1.35998628838310848e-01; 3.68777237005993908e-01; 9.02361423492116366e+00; 
35; 3.50018459488447604e+01; 1.42385180720049881e-01; 3.77335094038326713e-01; 8.42808540419377472e+00; 3.50020783997913156e+01; 1.42312312299154975e-01; 3.77237315961003905e-01; 8.43704623976592138e+00; 
36; 3.60023817084603621e+01; 1.49628284972615405e-01; 3.86810822544334465e-01; 7.98363406886873417e+00; 3.60026333944982539e+01; 1.49514573287687413e-01; 3.86662176222481002e-01; 7.99664538242684486e+00; 
37; 3.70032628731302751e+01; 1.58918223681682541e-01; 3.98632132850097298e-01; 7.84198195825256228e+00; 3.70035086423399306e+01; 1.58814303861345374e-01; 3.98499677904860017e-01; 7.85909943458234306e+00; 
38; 3.80040861811834887e+01; 1.67067282081897056e-01; 4.08718222257379582e-01; 7.53085141440673045e+00; 3.80043741128156043e+01; 1.67001308224904221e-01; 4.08634525416025129e-01; 7.54388565170940240e+00; 
39; 3.90040437211157993e+01; 1.77219086771464140e-01; 4.20954552286826766e-01; 7.49599596423923753e+00; 3.90043628192138598e+01; 1.77147613164831796e-01; 4.20866462162691357e-01; 7.51401829381756237e+00; 
40; 4.00048512923852968e+01; 1.86829066165718594e-01; 4.32210054404001509e-01; 7.35064578992605266e+00; 4.00052035420376058e+01; 1.86724780833146170e-01; 4.32085297115520517e-01; 7.37108823227173016e+00; 
41; 4.10042873177794647e+01; 1.97055389173208195e-01; 4.43888508613892174e-01; 7.09022607684488015e+00; 4.10046590737805445e+01; 1.96942751640191566e-01; 4.43757867165980147e-01; 7.10777116686681865e+00; 
42; 4.20052800611485253e+01; 2.05703146276754928e-01; 4.53514351736547972e-01; 6.94517900478074779e+00; 4.20056314349588078e+01; 2.05491193557414215e-01; 4.53276384226799944e-01; 6.95590690065406925e+00; 
43; 4.30038911942882720e+01; 2.17698205427470426e-01; 4.66565176620029887e-01; 6.62164702466303989e+00; 4.30042919180604315e+01; 2.17470126899640764e-01; 4.66317173540717222e-01; 6.63231590912579527e+00; 
44; 4.40019368283215897e+01; 2.30271593771137484e-01; 4.79862316156613566e-01; 6.47734809238230369e+00; 4.40023422307389680e+01; 2.30099237374307347e-01; 4.79680884890644255e-01; 6.49347390833388438e+00; 
45; 4.50022470792422737e+01; 2.39261045744713879e-01; 4.89138013631726598e-01; 6.22339197525783927e+00; 4.50026314563485030e+01; 2.39128120154756513e-01; 4.89000199992027540e-01; 6.23893227194867439e+00; 
46; 4.60019936956421560e+01; 2.49863491269624510e-01; 4.99859496706136719e-01; 5.99303207128406257e+00; 4.60024333629758644e+01; 2.49777172479861698e-01; 4.99771198874533085e-01; 6.00721798377145699e+00; 
47; 4.70015793193926541e+01; 2.63676474538315664e-01; 5.13491947637517487e-01; 6.13446445208791769e+00; 4.70019993539933409e+01; 2.63595204241777348e-01; 5.13411342712047025e-01; 6.14306902732478566e+00; 
48; 4.80022184099889131e+01; 2.74204359890433624e-01; 5.23640562358907324e-01; 5.99623377576370409e+00; 4.80026569307435196e+01; 2.74126756383642922e-01; 5.23564415428194874e-01; 6.00294879486877520e+00; 
49; 4.90017863238489468e+01; 2.87920365678094425e-01; 5.36579141157386252e-01; 6.06148611495052503e+00; 4.90022073839682548e+01; 2.87795820269260594e-01; 5.36461506284725886e-01; 6.07085670539640798e+00; 
50; 5.00025079100216061e+01; 3.00371474617175449e-01; 5.48055822890786359e-01; 5.97283227151813811e+00; 5.00028123364037782e+01; 3.00293818494574427e-01; 5.47983493600423754e-01; 5.98577562743789304e+00; 
51; 5.10028686230563082e+01; 3.11981320481807600e-01; 5.58545514245319175e-01; 5.91121753941008787e+00; 5.10032367468391499e+01; 3.11895400762616959e-01; 5.58466582914783682e-01; 5.92436011739256241e+00; 
52; 5.20020550504303998e+01; 3.26880847713041378e-01; 5.71731251971386523e-01; 5.91812512852927597e+00; 5.20023924009414173e+01; 3.26780654290899086e-01; 5.71642310110645258e-01; 5.93572230051601757e+00; 
53; 5.30010806339555316e+01; 3.41975343447956326e-01; 5.84785580942461358e-01; 5.76043562804876963e+00; 5.30014297572063739e+01; 3.41880943301107632e-01; 5.84704112432467560e-01; 5.78024805383793616e+00; 
54; 5.39993372362271415e+01; 3.57409160399623504e-01; 5.97836701067944842e-01; 5.66807503046041017e+00; 5.39997380521187580e+01; 3.57224508069593549e-01; 5.97682557427352656e-01; 5.68662130415390621e+00; 
55; 5.49985450941080813e+01; 3.70997549333060284e-01; 6.09093943970801410e-01; 5.43975361544529346e+00; 5.49988975684675410e+01; 3.70707571947537395e-01; 6.08856597724171666e-01; 5.45518486977793149e+00; 
56; 5.59989095745237080e+01; 3.84181716743022372e-01; 6.19822980951256430e-01; 5.39186062871757965e+00; 5.59992492885954434e+01; 3.83829712411539570e-01; 6.19539465122221245e-01; 5.40220540982144914e+00; 
57; 5.69980987129822481e+01; 3.97125797105702283e-01; 6.30176310419059305e-01; 5.27886842536835665e+00; 5.69984196627481055e+01; 3.96879483471688776e-01; 6.29981734660504888e-01; 5.28757049185231143e+00; 
58; 5.79985470841976110e+01; 4.10284797780965826e-01; 6.40533127025166071e-01; 5.20749525519333112e+00; 5.79989301221171516e+01; 4.10132721911461162e-01; 6.40415160089748969e-01; 5.21559084761581726e+00; 
59; 5.90011660551926340e+01; 4.17635494832421517e-01; 6.46246187723925947e-01; 5.03805908865657504e+00; 5.90015637709083762e+01; 4.17436364933945814e-01; 6.46091262558542212e-01; 5.04695516601768635e+00; 
60; 6.00015972365502606e+01; 4.32245066538841205e-01; 6.57451530817475982e-01; 4.95165622523339710e+00; 6.00020947765702601e+01; 4.31980912154237395e-01; 6.57249210015012797e-01; 4.95535927538920262e+00; 
61; 6.10027801649720658e+01; 4.45799872227217009e-01; 6.67676675427519517e-01; 4.96520281618606596e+00; 6.10033709655964529e+01; 4.45564247612651898e-01; 6.67497478799429667e-01; 4.96659572290829132e+00; 
62; 6.20034958804201324e+01; 4.61308510871105248e-01; 6.79187963446933551e-01; 4.84051211898805533e+00; 6.20040774431333546e+01; 4.60836881593325032e-01; 6.78837429765639877e-01; 4.84269415224525979e+00; 
63; 6.30046579792264509e+01; 4.74352555363457051e-01; 6.88716820320935730e-01; 4.75853138870821457e+00; 6.30051673849757847e+01; 4.73777348216967376e-01; 6.88295464426053383e-01; 4.76433069185771441e+00; 
64; 6.40052531475225805e+01; 4.88871749900104791e-01; 6.99173908510045572e-01; 4.67735635053526089e+00; 6.40057379330257845e+01; 4.88264552246830574e-01; 6.98735735719465012e-01; 4.68831913833815861e+00; 
65; 6.50047719352894688e+01; 5.05811336141974044e-01; 7.11188135991854264e-01; 4.60134899269322162e+00; 6.50052091757652022e+01; 5.05221574291790154e-01; 7.10770313659509489e-01; 4.61650479120172985e+00; 
66; 6.60038245233450453e+01; 5.21158455147803346e-01; 7.21902921568397526e-01; 4.64570442888076673e+00; 6.60043026472807810e+01; 5.20522556224929711e-01; 7.21459661693784282e-01; 4.65608857115626851e+00; 
67; 6.70044408069195327e+01; 5.38745985486808299e-01; 7.33979744080657692e-01; 4.60472378468812771e+00; 6.70048531050319269e+01; 5.37971228424834247e-01; 7.33449163743735366e-01; 4.61447966776464646e+00; 
68; 6.80055054485072503e+01; 5.51546917182816787e-01; 7.42641641183386825e-01; 4.48364700998850640e+00; 6.80059179981450370e+01; 5.50786015048455813e-01; 7.42125994927012478e-01; 4.49375215733712707e+00; 
69; 6.90047825342741845e+01; 5.69964663552904871e-01; 7.54944892637085196e-01; 4.43862405505406254e+00; 6.90052563768454092e+01; 5.69042630197712285e-01; 7.54330829742604680e-01; 4.44669346032378598e+00; 
70; 7.00064386001428147e+01; 5.84062504977132857e-01; 7.64212699060500156e-01; 4.36917764745313875e+00; 7.00069397794152053e+01; 5.83164645726334752e-01; 7.63620642196113364e-01; 4.37621272043350551e+00; 
71; 7.10058980533739401e+01; 6.02318326013631555e-01; 7.76069287486644610e-01; 4.33262492785387732e+00; 7.10064184015463837e+01; 6.01153567053505422e-01; 7.75314369256171032e-01; 4.33996598628440733e+00; 
72; 7.20059077750300389e+01; 6.15893470557616229e-01; 7.84766569593663421e-01; 4.30908410492444194e+00; 7.20065357935946224e+01; 6.14528795015561902e-01; 7.83891624153271294e-01; 4.31610490836281535e+00; 
73; 7.30061607849403060e+01; 6.30324543831094930e-01; 7.93905906616151680e-01; 4.27672196784605774e+00; 7.30068331514995776e+01; 6.29293276950906422e-01; 7.93250644494847945e-01; 4.28545132887592484e+00; 
74; 7.40077787661154503e+01; 6.47214964047614694e-01; 8.04459107006274765e-01; 4.20143777072647584e+00; 7.40085135490129744e+01; 6.46085811686798572e-01; 8.03749545051193004e-01; 4.20721134996270152e+00; 
75; 7.50062779462845981e+01; 6.65036026074966147e-01; 8.15473245094781141e-01; 4.15601172855932610e+00; 7.50069142975650749e+01; 6.63952742463770118e-01; 8.14803617415239656e-01; 4.16469178443948440e+00; 
76; 7.60083850961919012e+01; 6.80767756333684471e-01; 8.25043905798674482e-01; 4.10411818553076024e+00; 7.60090845067668965e+01; 6.79586962309150833e-01; 8.24320589361906775e-01; 4.11138015337986396e+00; 
77; 7.70084952355981329e+01; 6.95403098145760623e-01; 8.33865054500964487e-01; 4.02365112520015966e+00; 7.70092356282929131e+01; 6.94382892368185511e-01; 8.33245219331156473e-01; 4.02832388450096257e+00; 
78; 7.80075249155921711e+01; 7.17842400612470399e-01; 8.47222388902583945e-01; 4.01899919334892797e+00; 7.80082716882411518e+01; 7.16795343452540146e-01; 8.46597261173329008e-01; 4.02215588551335479e+00; 
79; 7.90072047588901540e+01; 7.38051058093469381e-01; 8.59068768808880279e-01; 3.97445345567562125e+00; 7.90079038393950697e+01; 7.36745084825277341e-01; 8.58302169488171840e-01; 3.97857120411982246e+00; 
80; 8.00067209353843936e+01; 7.61438042180266228e-01; 8.72578289443316946e-01; 3.95751285435880185e+00; 8.00073620974010140e+01; 7.59994383041360355e-01; 8.71745480380149651e-01; 3.95877748481149982e+00; 
81; 8.10062789205413338e+01; 7.81840157897435661e-01; 8.84194963259953393e-01; 3.96027085276716750e+00; 8.10069741298368484e+01; 7.80260414580224326e-01; 8.83295973099193388e-01; 3.96258461165598774e+00; 
82; 8.20072021903650352e+01; 8.00505951950358674e-01; 8.94680993653217849e-01; 3.90271269423758982e+00; 8.20079126142790784e+01; 7.99025616519783544e-01; 8.93847306342113179e-01; 3.90670884269253227e+00; 
83; 8.30081676491128633e+01; 8.19149292665126372e-01; 9.05031812796154300e-01; 3.88621820938469886e+00; 8.30089736049046394e+01; 8.17663521233035762e-01; 9.04202961534663396e-01; 3.88941447085509662e+00; 
84; 8.40086600022972760e+01; 8.40080328029019774e-01; 9.16518048043371336e-01; 3.90921192645049542e+00; 8.40093894464747848e+01; 8.38327836006438565e-01; 9.15554298936628097e-01; 3.91619328886791562e+00; 
85; 8.50071519520824950e+01; 8.65179008664492488e-01; 9.30122496365877627e-01; 3.98077293323089565e+00; 8.50078416719468493e+01; 8.63545750151696656e-01; 9.29238536831513695e-01; 3.98890974722523373e+00; 
86; 8.60088508281628350e+01; 8.84206403635987792e-01; 9.40280844469791321e-01; 3.89538273392484324e+00; 8.60096279866036184e+01; 8.82619384422427711e-01; 9.39428914977813556e-01; 3.90350310095502717e+00; 
87; 8.70083429276274103e+01; 9.03546441403537903e-01; 9.50513985674144468e-01; 3.85553188124863011e+00; 8.70091908293216107e+01; 9.02006140255063871e-01; 9.49695566437709693e-01; 3.86320840438545288e+00; 
88; 8.80090996713216356e+01; 9.24530771216611758e-01; 9.61482172064803908e-01; 3.82773031299216315e+00; 8.80099626587579422e+01; 9.22619615397620718e-01; 9.60479234980163743e-01; 3.83544345435939915e+00; 
89; 8.90110209314679395e+01; 9.43454003648085071e-01; 9.71253078614249366e-01; 3.79092870101330615e+00; 8.90119171423583140e+01; 9.41431064446782151e-01; 9.70200518534592993e-01; 3.79391845958783591e+00; 
90; 9.00122682765716746e+01; 9.66341655626848262e-01; 9.82950225096269392e-01; 3.77521055508357550e+00; 9.00132190025231580e+01; 9.63922488334860272e-01; 9.81706547959805720e-01; 3.77661250775868096e+00; 
91; 9.10161103600448627e+01; 9.83079622300790823e-01; 9.91372825227733956e-01; 3.77067634652094430e+00; 9.10170706486366896e+01; 9.80249200735922255e-01; 9.89928176026444229e-01; 3.77011982353856068e+00; 
92; 9.20164155747982733e+01; 1.00892831322446752e+00; 1.00432008947770668e+00; 3.78752299747890886e+00; 9.20173824951145036e+01; 1.00608866710489009e+00; 1.00288908457938564e+00; 3.79139331696729442e+00; 
93; 9.30168635639303858e+01; 1.03140457549104569e+00; 1.01544088735022764e+00; 3.73214337979734267e+00; 9.30178862548229262e+01; 1.02863750721861225e+00; 1.01405995340858945e+00; 3.73315860684926726e+00; 
94; 9.40171484629212699e+01; 1.05472881368468085e+00; 1.02685672997946331e+00; 3.74712671494257510e+00; 9.40182977673940883e+01; 1.05198524739024446e+00; 1.02550009219825933e+00; 3.74530711518823800e+00; 
95; 9.50170585882649164e+01; 1.07817927134409719e+00; 1.03821398368087370e+00; 3.77270870428933103e+00; 9.50181173823049932e+01; 1.07540306517390705e+00; 1.03685815116259317e+00; 3.76946089941262308e+00; 
96; 9.60186478106425909e+01; 1.10404898484683422e+00; 1.05057186522630919e+00; 3.77015371784958031e+00; 9.60196787072261060e+01; 1.10125699584908587e+00; 1.04922340058302277e+00; 3.76415868030862111e+00; 
97; 9.70201744140405111e+01; 1.12375023387818529e+00; 1.05987887369091349e+00; 3.72895909773982037e+00; 9.70211965752640140e+01; 1.12021687230995592e+00; 1.05819070942200200e+00; 3.72543156784914453e+00; 
98; 9.80219446564108807e+01; 1.14398094587147159e+00; 1.06934530341068079e+00; 3.74866748226052637e+00; 9.80228964829261002e+01; 1.14074753666680029e+00; 1.06781238414639668e+00; 3.74319361127608197e+00; 
99; 9.90205823397292733e+01; 1.16834586708029908e+00; 1.08070450835164089e+00; 3.74134726971930265e+00; 9.90215736747191357e+01; 1.16501307751382965e+00; 1.07914209169734421e+00; 3.73648847059267952e+00; 
100; 1.00018748726727651e+02; 1.19793677336716442e+00; 1.09434238637332193e+00; 3.72555447546269258e+00; 1.00019853457312209e+02; 1.19448482874382145e+00; 1.09274455797161174e+00; 3.72671804977849375e+00; 
101; 1.01019206649753869e+02; 1.22086773054771003e+00; 1.10476189070448005e+00; 3.66686749040299409e+00; 1.01020386637973900e+02; 1.21738260036359636e+00; 1.10316226610400037e+00; 3.66670814890425234e+00; 
102; 1.02022265074864251e+02; 1.24568494408751107e+00; 1.11588046426522824e+00; 3.61867921745136334e+00; 1.02023433067891801e+02; 1.24233792186211955e+00; 1.11435578393585044e+00; 3.62231130241629451e+00; 
103; 1.03022080775917829e+02; 1.26648412040711844e+00; 1.12516512554468329e+00; 3.61287598326488357e+00; 1.03023187023018394e+02; 1.26269813328567082e+00; 1.12345916492287490e+00; 3.61475216188405124e+00; 
104; 1.04022248601194221e+02; 1.29712573736870396e+00; 1.13869694700284585e+00; 3.60255717257132124e+00; 1.04023457675342399e+02; 1.29321159942532149e+00; 1.13695265376041110e+00; 3.60709391444159033e+00; 
105; 1.05023273481346848e+02; 1.32145040171779060e+00; 1.14930794253925561e+00; 3.61101191930503251e+00; 1.05024507835122876e+02; 1.31692566671948152e+00; 1.14731209038216253e+00; 3.61587221321921115e+00; 
106; 1.06024131255377227e+02; 1.34953961703571523e+00; 1.16144621035570750e+00; 3.61977402711543927e+00; 1.06025322194521522e+02; 1.34443243827993686e+00; 1.15922009331470055e+00; 3.62939201492998276e+00; 
107; 1.07023692576914257e+02; 1.37634448406005472e+00; 1.17293782693679360e+00; 3.57215538254263887e+00; 1.07024794245523864e+02; 1.37095610183339756e+00; 1.17061579829689766e+00; 3.58293480271904485e+00; 
108; 1.08025764031852660e+02; 1.40599156835370653e+00; 1.18546521796988502e+00; 3.60153556826393118e+00; 1.08027038165963702e+02; 1.40091432460639687e+00; 1.18329339649460241e+00; 3.61105667752763493e+00; 
109; 1.09026125083184127e+02; 1.43514377631055257e+00; 1.19768996670222760e+00; 3.57928662072833115e+00; 1.09027411226097357e+02; 1.42981575568256591e+00; 1.19543480807880442e+00; 3.58839118023149872e+00; 
110; 1.10027759101482175e+02; 1.45865613467254107e+00; 1.20742932172340933e+00; 3.54295824815107574e+00; 1.10029130049824246e+02; 1.45362783521843264e+00; 1.20531293671630824e+00; 3.55086319486684676e+00; 
111; 1.11029331936432484e+02; 1.48806892115443756e+00; 1.21951160661124258e+00; 3.59861993147453374e+00; 1.11030837814183784e+02; 1.48278381921899904e+00; 1.21730556904804765e+00; 3.60339986645673438e+00; 
112; 1.12028990144477433e+02; 1.51822001516893201e+00; 1.23181962425191860e+00; 3.56485541350328727e+00; 1.12030579129355075e+02; 1.51195429352657640e+00; 1.22923521360822052e+00; 3.56798725969054642e+00; 
113; 1.13029302116161489e+02; 1.54924591177923565e+00; 1.24434211443947818e+00; 3.54065055835364761e+00; 1.13030911537873607e+02; 1.54324499268769699e+00; 1.24188947556292772e+00; 3.54334588854923282e+00; 
114; 1.14030882728853584e+02; 1.56775009613653893e+00; 1.25171736154576063e+00; 3.48342705984018242e+00; 1.14032427665420812e+02; 1.56187279894292486e+00; 1.24932831772048369e+00; 3.48451165536055862e+00; 
115; 1.15031167733031722e+02; 1.59112589220004175e+00; 1.26101326900935495e+00; 3.50748194876841390e+00; 1.15032702001427396e+02; 1.58567896866354063e+00; 1.25881275325847697e+00; 3.51182188717043742e+00; 
116; 1.16029847088784095e+02; 1.61541890555629131e+00; 1.27064080559669423e+00; 3.46424792675673254e+00; 1.16031430966935659e+02; 1.60945459846056282e+00; 1.26825340243109830e+00; 3.47300538187363417e+00; 
117; 1.17028772472859643e+02; 1.64579450410172368e+00; 1.28256253216257043e+00; 3.48877025763496551e+00; 1.17030463419408676e+02; 1.63969079633913095e+00; 1.28014170169441543e+00; 3.50030849706012681e+00; 
118; 1.18029896349088261e+02; 1.67495190677506911e+00; 1.29385397749755238e+00; 3.50535576568362606e+00; 1.18031673612274389e+02; 1.66869490520906627e+00; 1.29139137657587844e+00; 3.51913479327430334e+00; 
119; 1.19030954918467671e+02; 1.70118963869684192e+00; 1.30392922803329459e+00; 3.48546618615127590e+00; 1.19032787328053402e+02; 1.69496136346383897e+00; 1.30149389340980215e+00; 3.49892821726110936e+00; 
120; 1.20031120800497547e+02; 1.74244726570066888e+00; 1.31965099987725676e+00; 3.47309890824767420e+00; 1.20032791057778809e+02; 1.73540366958005587e+00; 1.31693903279908398e+00; 3.48499862507574010e+00; 
121; 1.21028550260552223e+02; 1.77168684380501440e+00; 1.33074104409062799e+00; 3.48053410030378307e+00; 1.21030315540808573e+02; 1.76451894946471555e+00; 1.32800599300235600e+00; 3.49208622933295487e+00; 
122; 1.22025498879263964e+02; 1.80712060650730089e+00; 1.34405000415296327e+00; 3.47999533161009111e+00; 1.22027247383031522e+02; 1.79947610483071774e+00; 1.34116877571343052e+00; 3.49455343279868380e+00; 
123; 1.23025991128685959e+02; 1.84011308537298746e+00; 1.35625865770604515e+00; 3.45218929300157118e+00; 1.23027842916484758e+02; 1.83219069572861160e+00; 1.35329799664754913e+00; 3.46573888412398023e+00; 
124; 1.24024045648968638e+02; 1.87234808711766965e+00; 1.36812641736184104e+00; 3.42108366833606992e+00; 1.24025930311732552e+02; 1.86379173281527866e+00; 1.36496130045827302e+00; 3.43353606368565156e+00; 
125; 1.25023582176789247e+02; 1.91179269547626962e+00; 1.38247480136678358e+00; 3.45382444402142053e+00; 1.25025520142175282e+02; 1.90303310890769106e+00; 1.37926858561014876e+00; 3.46934839603134826e+00; 
126; 1.26022738101389422e+02; 1.94241793889169667e+00; 1.39352105030275619e+00; 3.46757737499794461e+00; 1.26024575282680289e+02; 1.93371637304779287e+00; 1.39036413522825497e+00; 3.48130063172376092e+00; 
