name=GeneralizedHyperLogLog;numRegisters=4096;q=65534;base=1.00099999999999989e+00;a=2.44140625000000000e-04;registerStateType=registers with lower bound;numExamples=10000;
true cardinality; simple mean; simple mse; simple standard deviation; simple kurtosis; ml mean; ml mse; ml standard deviation; ml kurtosis; 
0; 0.00000000000000000e+00; 0.00000000000000000e+00; 0.00000000000000000e+00; -nan; 0.00000000000000000e+00; 0.00000000000000000e+00; 0.00000000000000000e+00; -nan; 
1; 1.00012209026458176e+00; 1.49060330016262819e-08; 1.72038515782795660e-08; 1.79162040549063639e+00; 1.00012239556215765e+00; 1.99462673650888303e-08; 7.04669690659513032e-05; 1.79161856649113971e+00; 
2; 2.00038840425542341e+00; 1.00214133355314679e-04; 1.00031632741691620e-02; 9.99800009811262862e+03; 2.00038972318793817e+00; 1.00252266828549844e-04; 1.00050178743136819e-02; 9.99002624128872048e+03; 
3; 3.00029868061186722e+00; 8.00425779984023558e-04; 2.82902203928516414e-02; 1.24800080041865044e+03; 3.00029827993702813e+00; 8.00326401330261525e-04; 2.82884681524013006e-02; 1.24758723144910323e+03; 
4; 4.00035303292509337e+00; 1.60029801763670221e-03; 4.00021672586687790e-02; 6.23001602330158221e+02; 4.00035701802744370e+00; 1.60042964019033998e-03; 4.00037770506539644e-02; 6.22756445791146575e+02; 
5; 5.00105205411294751e+00; 2.00149937362881832e-03; 4.47257482416140648e-02; 4.98002003553631255e+02; 5.00106056510752062e+00; 2.00166754021931237e-03; 4.47274271769793827e-02; 4.97697337958577634e+02; 
6; 6.00159506869615988e+00; 2.80221611859755989e-03; 5.29119256354568523e-02; 3.55145664433579327e+02; 6.00159947516466730e+00; 2.80183807010356755e-03; 5.29082200541777445e-02; 3.54879700476657092e+02; 
7; 7.00148113659861693e+00; 4.49619060101423378e-03; 6.70372794450260628e-02; 2.20226742084278783e+02; 7.00149345121598632e+00; 4.49443138197794159e-03; 6.70238836941231542e-02; 2.20062760969150901e+02; 
8; 8.00151117639501308e+00; 6.28557789963562954e-03; 7.92672331139338826e-02; 1.56736498198422055e+02; 8.00153508461037255e+00; 6.28526833727175837e-03; 7.92648210274323889e-02; 1.56612648553887766e+02; 
9; 9.00178542048840313e+00; 8.07101901299264041e-03; 8.98211071334138189e-02; 1.21464955753872104e+02; 9.00181398325728743e+00; 8.07018960147676788e-03; 8.98159176661847830e-02; 1.21358445419434943e+02; 
