name=SetSketch1;numRegisters=16384;q=62;base=2.00000000000000000e+00;a=3.00000000000000000e+01;numExamples=1000;
trueDifference1;trueDifference2;trueIntersection;true1;true2;trueUnion;trueJaccard;trueCosine;trueInclusionCoefficient1;trueInclusionCoefficient2;trueAlpha;trueBeta;mlDeprecatedMeanDifference1;mlDeprecatedMeanDifference2;mlDeprecatedMeanIntersection;mlDeprecatedMean1;mlDeprecatedMean2;mlDeprecatedMeanUnion;mlDeprecatedMeanJaccard;mlDeprecatedMeanCosine;mlDeprecatedMeanInclusionCoefficient1;mlDeprecatedMeanInclusionCoefficient2;mlDeprecatedMeanAlpha;mlDeprecatedMeanBeta;mlDeprecatedMSEDifference1;mlDeprecatedMSEDifference2;mlDeprecatedMSEIntersection;mlDeprecatedMSE1;mlDeprecatedMSE2;mlDeprecatedMSEUnion;mlDeprecatedMSEJaccard;mlDeprecatedMSECosine;mlDeprecatedMSEInclusionCoefficient1;mlDeprecatedMSEInclusionCoefficient2;mlDeprecatedMSEAlpha;mlDeprecatedMSEBeta;newMeanDifference1;newMeanDifference2;newMeanIntersection;newMean1;newMean2;newMeanUnion;newMeanJaccard;newMeanCosine;newMeanInclusionCoefficient1;newMeanInclusionCoefficient2;newMeanAlpha;newMeanBeta;newMSEDifference1;newMSEDifference2;newMSEIntersection;newMSE1;newMSE2;newMSEUnion;newMSEJaccard;newMSECosine;newMSEInclusionCoefficient1;newMSEInclusionCoefficient2;newMSEAlpha;newMSEBeta;simpleDeprecatedMeanDifference1;simpleDeprecatedMeanDifference2;simpleDeprecatedMeanIntersection;simpleDeprecatedMean1;simpleDeprecatedMean2;simpleDeprecatedMeanUnion;simpleDeprecatedMeanJaccard;simpleDeprecatedMeanCosine;simpleDeprecatedMeanInclusionCoefficient1;simpleDeprecatedMeanInclusionCoefficient2;simpleDeprecatedMeanAlpha;simpleDeprecatedMeanBeta;simpleDeprecatedMSEDifference1;simpleDeprecatedMSEDifference2;simpleDeprecatedMSEIntersection;simpleDeprecatedMSE1;simpleDeprecatedMSE2;simpleDeprecatedMSEUnion;simpleDeprecatedMSEJaccard;simpleDeprecatedMSECosine;simpleDeprecatedMSEInclusionCoefficient1;simpleDeprecatedMSEInclusionCoefficient2;simpleDeprecatedMSEAlpha;simpleDeprecatedMSEBeta;inclExclMeanDifference1;inclExclMeanDifference2;inclExclMeanIntersection;inclExclMean1;inclExclMean2;inclExclMeanUnion;inclExclMeanJaccard;inclExclMeanCosine;inclExclMeanInclusionCoefficient1;inclExclMeanInclusionCoefficient2;inclExclMeanAlpha;inclExclMeanBeta;inclExclMSEDifference1;inclExclMSEDifference2;inclExclMSEIntersection;inclExclMSE1;inclExclMSE2;inclExclMSEUnion;inclExclMSEJaccard;inclExclMSECosine;inclExclMSEInclusionCoefficient1;inclExclMSEInclusionCoefficient2;inclExclMSEAlpha;inclExclMSEBeta;collLowerBoundMeanJaccard;collUpperBoundMeanJaccard;collLowerBoundMSEJaccard;collUpperBoundMSEJaccard;
450;450;100;550;550;1000;0.10000000000000001;0.18181818181818182;0.18181818181818182;0.18181818181818182;0.45000000000000001;0.45000000000000001;449.9939218617298;450.02508811500934;99.895032017761935;549.88895387949322;549.9201201327711;999.91404199450039;0.099912059267591974;0.18165699320824968;0.18166686711303798;0.18165445641449859;0.45002743845688059;0.45006050227552741;28.597994664563039;26.327020548167614;11.692220012685633;23.8402055595914;22.302613930901398;40.443629102680212;1.2978230230699226e-05;3.5452403144057612e-05;3.7084840982951124e-05;3.64805727056539e-05;1.5749107625452036e-05;1.5200658295714604e-05;449.95977590797742;450.03659765048542;99.906350226900514;549.86612613487603;549.9429478773867;999.90272378536349;0.0999248375765735;0.18167664007285311;0.18169356148817081;0.18166543452497178;0.44999804706297164;0.45007711536045525;26.475689166113973;23.698266287800141;12.072241221286161;21.253735039505234;19.525070041519832;40.676562544730849;1.3420387633026086e-05;3.6656446043363333e-05;3.8084864936401611e-05;3.7291962926330197e-05;1.3266743203730489e-05;1.2533142206867103e-05;449.99297126263559;449.99582347209264;99.910139638767888;549.9031109014029;549.90596311085994;999.89893437349588;0.099929008082313239;0.18168473691150022;0.18168999068951361;0.18168760868836939;0.45003321375194411;0.45003777816574153;30.026748715190688;28.138771809372525;12.072608772695625;25.163115340826465;23.604024486802246;40.679425317366984;1.3421386948467897e-05;3.6660133632417311e-05;3.8322518015269944e-05;3.7945468836090065e-05;1.7062097768175626e-05;1.6734764690661991e-05;450.01381530913483;450.09063705164311;99.852310825743146;549.86612613487591;549.94294787738681;999.95676318652056;0.099889456391120235;0.1815806135157671;0.18159964556590633;0.18156730393329612;0.45001509795901762;0.45009544564986237;49.503402078225264;44.159757131991519;32.473265759739029;21.253735039505308;19.525070041519871;63.764741762580663;3.8398191985949396e-05;0.00010496775460204993;0.00010719672697793432;0.0001048182897841469;2.0220275685549485e-05;1.8074047700243478e-05;0.099920269917712551;0.20118988739491506;1.342566950409796e-05;0.010247453806380185;
495;495;10;505;505;1000;0.01;0.019801980198019802;0.019801980198019802;0.019801980198019802;0.495;0.495;494.86243120805739;494.83594833871507;10.010158670965355;504.87258987902214;504.84610700968051;999.70853821773744;0.010020220583446385;0.01982406651980094;0.019823009122897989;0.01982607670387012;0.49500275711673397;0.49497702229981932;27.492726172234768;27.267285433762424;9.1455144848212981;21.257997551015507;19.976763189745245;38.009136084430189;9.29254189703286e-06;3.5706320758469448e-05;3.5704470875688012e-05;3.5753630774978617e-05;1.4268220166908926e-05;1.4799192920759195e-05;494.80619876783533;494.85181500882163;10.030341556022975;504.83654032385817;504.8821565648438;999.68835533268066;0.010040711883854799;0.01986376587809504;0.019864570252680243;0.019863628625079031;0.49495663150439717;0.49500265661174814;24.006210805039856;23.792186476356697;9.3147568538543446;17.346079993205844;16.713927861817524;38.053032276533976;9.4656282951285164e-06;3.6358845266383356e-05;3.6370858057361531e-05;3.6378339346768218e-05;1.0876433216345e-05;1.109736156145494e-05;494.83709191740513;494.81344901000199;10.034077980647739;504.87116989805207;504.84752699065035;999.68461890805554;0.010044487730487481;0.019871378398293223;0.019870882541804011;0.019872965131243828;0.49498888578435296;0.49496662648515849;29.802699132958882;28.720425181681708;9.3157879039641394;23.244988634516595;21.536102647732726;38.055644832442198;9.4668748890226537e-06;3.6363819847422614e-05;3.6386104918940845e-05;3.6393692421982431e-05;1.6199066048917416e-05;1.6508141724043883e-05;494.90469242616467;494.95030866715098;9.9318478976936113;504.83654032385829;504.8821565648438;999.78684899100881;0.0099650426926558098;0.019668235051456172;0.019670856858053094;0.019666266857245422;0.49499399662508964;0.49504096068225467;48.460000921353846;46.381190110543407;33.090426856303722;17.346079993205841;16.71392786181751;61.320156024585287;3.3792277689284074e-05;0.00012966428154261055;0.00012982066875749207;0.00012955039437144013;1.7433796725432241e-05;1.6697594854411039e-05;0.010035194294296694;0.13254016693397078;9.4658201002695578e-06;0.015021452557485861;
499;500;1;500;501;1000;0.001;0.0019980029950087343;0.002;0.001996007984031936;0.499;0.5;498.16494273258746;499.13442541752738;1.7422853237717619;499.90722805635932;500.87671074129895;999.04165347388687;0.0017465197307114913;0.0034786714169626606;0.0034814433107635779;0.0034760808622132477;0.49864101360206436;0.49961246666722414;22.229374124355825;21.617760808269679;4.7363826800159936;19.385203914857073;18.041168896316783;33.171771759522834;4.7742912305863043e-06;1.8859236718775746e-05;1.8898898640986407e-05;1.8825107485020362e-05;1.1869397599813123e-05;1.2233437791850069e-05;498.13326586759865;499.10777094418899;1.771450992934988;499.90471686053388;500.8792219371245;999.01248780472497;0.0017757975163479227;0.003536738236816407;0.0035396702107673593;0.0035339351332409324;0.49862406150880401;0.49960014097484901;19.79530965093889;19.540974858349902;4.9094627744953083;16.80854390284226;15.9424813040125;33.163188846025946;4.9488138083605024e-06;1.9544597557195689e-05;1.957939098307021e-05;1.9513794035891581e-05;9.5960641775934519e-06;9.9015880781665508e-06;498.15249530167154;499.08340022946044;1.774021633263186;499.92651693493514;500.85742186272375;999.00991716439569;0.0017783798078893805;0.0035419153930928474;0.0035450074532868817;0.0035390348404938329;0.49864430864904802;0.49957731154306134;23.679532149835548;22.804245665210559;4.9186590471561757;20.584082973546103;19.29649671250991;33.171931399921213;4.958109024366892e-06;1.9581770782018761e-05;1.9627698794734764e-05;1.9542471503068902e-05;1.3228057628184572e-05;1.3431219494378445e-05;497.11037124726806;498.08487632385896;2.7943456132658877;499.90471686053388;500.8792219371245;997.98959318439131;0.0028129309763035544;0.0055820489545288961;0.0055887404055039707;0.0055755522597598318;0.49810455203728304;0.49908251698641276;33.673788478981983;31.71702625780906;17.20617295685981;16.808543902842285;15.942481304012503;46.921008891163666;1.7548422811269983e-05;6.8643604713310906e-05;6.8836219644631791e-05;6.8462270385989798e-05;1.3196434948095292e-05;1.2632799085337234e-05;0.0017722464231503413;0.1257750676891202;4.9348969884360962e-06;0.015573791915277786;
540;360;100;640;460;1000;0.10000000000000001;0.18430244519362141;0.15625;0.21739130434782608;0.54000000000000004;0.35999999999999999;539.89496698822154;360.00007242669693;100.0566131550874;639.95158014330923;460.05668558178417;999.95165257000588;0.10007072660954973;0.18440188010006528;0.15635201060887363;0.21749189726024329;0.53991468791026265;0.3600145854801885;33.085912354834299;22.570170013859244;11.330457745962123;29.579787043411972;16.650274051163617;45.702870100496391;1.2730606173741287e-05;3.5721538009930917e-05;2.6440578072348603e-05;5.1676766064539296e-05;1.2863633566420107e-05;1.4564236818858323e-05;539.85406642438556;359.97932344243412;100.08743792913722;639.94150435352253;460.066761371572;999.92082779595523;0.10010464585400551;0.18445673796615125;0.15640228609830348;0.21754985499780549;0.53988928117159851;0.36000607297439496;32.56737598008008;19.503052391528257;11.677096847781932;28.733614040618807;13.836371028995028;45.430653026553259;1.308575290972873e-05;3.6640617830265899e-05;2.723786177949165e-05;5.2039507367349083e-05;1.1174068175936261e-05;1.2357492939623904e-05;539.75852078631897;360.05766133665281;100.09604180106054;639.85456258737941;460.15370313771496;999.91222392403245;0.10011398349767506;0.18446897664006845;0.15643745854737798;0.21753260039426359;0.53980007079965253;0.36008594570267194;34.203588482747442;24.524430908063756;11.662231656273347;30.545521785900554;18.897587000823087;45.229985520154855;1.3047680332526452e-05;3.6580343987856109e-05;2.7248859259926121e-05;5.3070380895060276e-05;1.4714556452068451e-05;1.6271335554067165e-05;539.86258964240596;359.9878466604543;100.07891471111685;639.94150435352253;460.066761371572;999.92935101397586;0.10011957679995133;0.18444580122740734;0.1563952540296609;0.21753385445665785;0.53988227297869085;0.35999815022135773;56.493733270004924;39.332711430503679;30.447165761077883;28.733614040618857;13.836371028995018;70.416600442157488;3.6386168171968112e-05;0.00010204941198728927;7.4932374213941471e-05;0.00014175368135926789;1.595473437086717e-05;1.9274108304658043e-05;0.094892675900421719;0.19729671702841536;3.9145644710216039e-05;0.0094744704063835106;
594;396;10;604;406;1000;0.01;0.02019382153885356;0.016556291390728478;0.024630541871921183;0.59399999999999997;0.39600000000000002;593.91262917386121;395.88610341085615;10.040121064407554;603.95275023826889;405.92622447526327;999.83885364912635;0.010050237272516242;0.020276673748892748;0.016623597392924055;0.024733661692322984;0.59400236429206377;0.39594739843542048;34.304198814930089;22.784787920393235;9.0491770384436023;26.448346986715141;14.504103937106622;41.774131472511229;9.2296598884618643e-06;3.6870944454511381e-05;2.4781696834446203e-05;5.492259616428056e-05;1.2468623536332645e-05;1.4244616990264841e-05;593.91451034570764;395.86943668156414;10.04751384313081;603.96202418883809;405.91695052469527;999.83146087040132;0.010057729396055036;0.020291091406047936;0.016636089456571381;0.024749979947002392;0.5940077887231674;0.39593448188077762;32.747181948045913;19.018396117196293;9.1908862453146476;24.312260163254656;11.261073055670028;41.688131300455957;9.3698221098846913e-06;3.7425789874032705e-05;2.5184150354452177e-05;5.5670061650460521e-05;9.9366860937250097e-06;1.1154867018106781e-05;593.88348743111158;395.89327720323894;10.051105039591718;603.93459247070359;405.94438224283067;999.82786967394134;0.010061361269661695;0.020298523923486855;0.016642381441579555;0.024759236412580453;0.59397962820691597;0.39595901052342292;36.484683634260598;24.669245150315351;9.1931047792708753;28.48462813720684;16.467974846040594;41.694993721510833;9.3722747307926446e-06;3.7440121616271518e-05;2.5182548169382493e-05;5.5743111747993391e-05;1.454473891994365e-05;1.6207393927170979e-05;593.78984481202292;395.74477114787942;10.172179376815739;603.9620241888382;405.91695052469527;999.70679533671694;0.010206169995504083;0.020543033755278096;0.016844705601452074;0.025054217359068161;0.59394751972649851;0.39584631027799744;56.250215368967751;39.982186725808447;31.093838116460848;24.312260163254688;11.261073055670012;64.252003458843831;3.183625245530598e-05;0.00012676933326596625;8.5260706729411152e-05;0.00018855647514728121;1.4050563706539161e-05;1.8471891872728282e-05;0.0037023904668685974;0.12765110441906544;4.7410980624885522e-05;0.013847102027141688;
599;400;1;600;401;1000;0.001;0.0020386946747183244;0.0016666666666666668;0.0024937655860349127;0.59899999999999998;0.40000000000000002;598.22573716828174;399.12930464130949;1.7456785662107677;599.97141573449073;400.87498320751951;999.10072037580073;0.0017515838118050721;0.0035595879109537975;0.0029095634645278749;0.0043550168833565907;0.59875911329500053;0.39948930289319401;30.257642237997938;17.172099979528252;4.8928978050020442;25.501583539054785;12.095688888029059;38.511503212502028;4.9466235671798529e-06;2.0344600270925939e-05;1.3593497297580223e-05;3.0454902845229612e-05;1.0149919420904982e-05;1.1286099788094053e-05;598.19509698775062;399.13982656049598;1.7557376968825371;599.95083468463304;400.89556425737902;999.09066124513049;0.0017616465151012617;0.0035798192591551823;0.0029266012141813398;0.004378984913576342;0.59873436637823352;0.39950398710666407;29.036006656513411;15.458931605186031;4.9557030041637971;24.04787709178995;10.625205426073403;38.438083966734105;5.0091853547876604e-06;2.059727795878007e-05;1.3771871142477113e-05;3.0810923341130142e-05;8.7984365967851357e-06;9.6963823676205898e-06;598.16247036662435;399.16827726971468;1.7578256528365561;599.92029601946024;400.92610292255125;999.08857328917463;0.0017637445456543303;0.0035841030095031573;0.0029301399116469845;0.0043842511444493965;0.59870293824556531;0.39953331720878149;31.940272291398522;18.315147434170807;4.9642275448650457;26.992375978805981;13.425442716879456;38.445304712080471;5.0178029889396025e-06;2.0633339321377278e-05;1.3795388873259731e-05;3.0868903263880924e-05;1.164398423581073e-05;1.2587193301087161e-05;597.13438536316471;398.07911493591058;2.8164493214684709;599.95083468463304;400.89556425737908;998.02994962054356;0.0028356881704766916;0.0057421739951154117;0.0046940799421581721;0.007024516693993778;0.59830419020079162;0.39886012162873163;40.900734918253541;27.747350222217168;17.185602413975879;24.047877091789925;10.625205426073398;50.361331435693309;1.7534944460670243e-05;7.1430699070583524e-05;4.7730864662011741e-05;0.00010691430868945156;1.0755225774284032e-05;1.4314635010298798e-05;4.2757430845860478e-05;0.12080735498721794;1.0136895152517402e-06;0.014358795250180228;
623;277;100;723;377;1000;0.10000000000000001;0.19154030571213676;0.13831258644536654;0.26525198938992045;0.623;0.27700000000000002;622.9910531265075;277.05232545896456;99.979820848975521;722.97087397548341;377.03214630794042;1000.023199434449;0.09998683985101646;0.19149838918500101;0.13829245212305152;0.26518443523293334;0.6229692212035336;0.27704393894544865;38.323506218664996;18.421659404253461;10.34413998659136;35.502851185648886;11.992983185062428;47.116436424186624;1.1748645678327878e-05;3.555100182894042e-05;1.9108391087589306e-05;7.1353933186736767e-05;1.0866596256855144e-05;1.3722712457812617e-05;622.95361343501872;277.02681848306139;100.01129418267183;722.96490761769121;377.03811266573342;999.99172610075129;0.10002161645749784;0.19155639994927834;0.13833701207282487;0.26525778297630698;0.62295042755639984;0.27702795598610225;38.008026813445696;16.049537605331846;10.710941322166633;34.727888401098909;9.7606945670935836;47.069285286989199;1.2148027407813481e-05;3.6612887702594003e-05;1.980284712568317e-05;7.1886921072955207e-05;9.3695959817649374e-06;1.180519356347005e-05;622.88393866893102;277.07466455788244;100.02220852830489;722.90614719723624;377.09687308618777;999.98081175511879;0.10003348159132432;0.1915712052799001;0.13836445165885422;0.26524992653526325;0.62288862128771794;0.27707789712095687;40.306360243657259;19.539776491093452;10.782988051283835;36.214843800622134;14.287828557483316;46.771721483932382;1.219645505110622e-05;3.6632753551631756e-05;2.0199279950919421e-05;7.2498484255429318e-05;1.312812739495555e-05;1.4793741038304862e-05;623.07881437219294;277.15201942023555;99.886093245497321;722.96490761769132;377.03811266573337;1000.1169270379269;0.099905007068479268;0.19131984009464373;0.1381681490138095;0.26492641445161164;0.62298969673085069;0.27710529620066982;59.179708529704243;32.935990960720979;27.3692460063012;34.727888401098951;9.7606945670936156;68.46911567450222;3.2757735485701813e-05;9.8908234289446658e-05;5.2786138572386204e-05;0.00018950214858303807;1.2308738949114993e-05;1.9707218863543147e-05;0.080678268288406393;0.18632388923950607;0.00038585052792913858;0.0074592424399172377;
685;305;10;695;315;1000;0.01;0.021372352121250049;0.014388489208633094;0.031746031746031744;0.68500000000000005;0.30499999999999999;684.8805170721979;304.99539098837261;10.016217432549359;694.89673450474743;315.01160842092179;999.89212549312026;0.010024575460139577;0.021406825267967389;0.014411845436236061;0.031798304433074437;0.6849476393886853;0.30502778515117507;38.94649456124467;17.369520979716544;8.4292296056149318;33.509287175859527;9.1160395651122936;44.06043477073645;8.5723036416727678e-06;3.8406204138624344e-05;1.7392442607928524e-05;8.4908860763179708e-05;9.006844625803029e-06;1.2947835265566939e-05;684.8924828339276;304.93635435965069;10.039752866045443;694.93223569997497;314.97610722569596;999.86859005962265;0.01004855651662119;0.021457339388502861;0.014445470194279846;0.031873848722594349;0.68497510973223097;0.30497633375114785;37.942515718366955;14.764346433873804;8.5774639449062189;31.832312509462099;6.7715336468972325;44.324527627337311;8.727261991671699e-06;3.9077651425348755e-05;1.7714793638244014e-05;8.6282679858110928e-05;7.0356774597129179e-06;1.0581888712959939e-05;684.75393249347053;305.06604093991189;10.044184746143676;694.79811723961359;315.11022568605546;999.86415817952468;0.01005304166316966;0.021464398971213619;0.014455089985250032;0.031874422051746461;0.68483964942126996;0.30510730891555937;42.992555258066062;19.628122243185263;8.5843835247097307;36.558802349744354;11.94163881767305;44.334828385486261;8.7345622709287182e-06;3.9082923062651491e-05;1.7753060537005101e-05;8.6177102431229241e-05;1.2158187989497236e-05;1.5383935161645073e-05;684.95915841142039;305.00302993714274;9.973077288553192;694.93223569997497;314.97610722569596;999.9352656371176;0.0099989982435947696;0.021309921382291621;0.014345135667744867;0.031657290716747416;0.6849908941035453;0.30501010765286019;53.931086487808088;34.029726237881832;28.821246893688183;31.832312509462099;6.7715336468972254;59.334695252004643;2.9330711827084092e-05;0.00013135652087902934;5.9502343091280816e-05;0.00029008936149091646;8.8344985348595401e-06;2.0796417403757593e-05;0;0.11452242309612444;0.00010000000000000183;0.010929848174897743;
691;308;1;692;309;1000;0.001;0.0021625577457933874;0.0014450867052023121;0.0032362459546925568;0.69099999999999995;0.308;690.21512029117423;307.2445620336207;1.6762057464969795;691.89132603767257;308.92076778011688;999.13588807129224;0.0016808956378012885;0.0036246879047530742;0.0024215678775978138;0.0054257784533570845;0.69080606820699342;0.30751303615520592;35.543515901851286;12.077883849550446;4.2749162005018082;32.294368876244995;7.8225592635515051;40.483760477840072;4.3142091434613966e-06;1.9981285193787112e-05;8.9187933964772008e-06;4.4774627196636202e-05;7.7672300483811543e-06;9.7017441249826872e-06;690.13456365878562;307.28223824649467;1.6976459562552191;691.83220961504003;308.97988420274925;999.11444786153504;0.0017024634048583016;0.0036707334299232531;0.0024528847257416207;0.0054934230809273029;0.69074005244422476;0.30755748415091683;34.847086290015675;10.694933794827735;4.3775698773025642;31.288804220756873;6.5379783845348483;40.591872668985637;4.4180823160380503e-06;2.0455959911125687e-05;9.136629344943164e-06;4.5807321770374177e-05;6.6420504111860551e-06;8.411198119051368e-06;690.08358526390998;307.32901388213588;1.6997473358724313;691.7833325997816;309.02876121800853;999.11234648191635;0.0017045757175865991;0.0036748395905464039;0.0024564810286620696;0.005497770476197897;0.69069058282435514;0.30760484145805855;37.772625580749128;13.326634954160003;4.3820666886718724;33.787971246788459;9.5785893500949957;40.604838316090451;4.4226617522975163e-06;2.0470299155783975e-05;9.1515605185092361e-06;4.5800981543072652e-05;9.6472428162029127e-06;1.10004069043369e-05;689.13708460714474;306.28475919485419;2.6951250078951206;691.83220961503991;308.9798842027493;998.11696880989405;0.0027100304193353173;0.005825579956485057;0.0038921925786493594;0.0087196447229294649;0.69042920876086444;0.30686076081980063;42.945598070986662;20.515903792655152;14.603825208475609;31.288804220756916;6.5379783845348545;48.285099116610979;1.4849290400767476e-05;6.8241968736980742e-05;3.0449389145602829e-05;0.00015296677678767106;7.5341398861880748e-06;1.3666695640003094e-05;0;0.10743903935335679;1.0000000000000152e-06;0.01133371562168607;
694;206;100;794;306;1000;0.10000000000000001;0.20287523483519407;0.12594458438287154;0.32679738562091504;0.69399999999999995;0.20599999999999999;693.86111453015803;205.93344148095267;99.991431474096785;793.85254600425367;305.92487295504947;999.78598748520733;0.10002157936587476;0.20290136843375936;0.12595960035585088;0.32685529005098191;0.69400059020470284;0.20597783042942339;44.801645177988803;13.700060295520405;9.8550377449779685;42.638247973517757;8.0187853319803217;48.213852773924202;1.1130563248264739e-05;3.7355051367550273e-05;1.5173157673864957e-05;9.999255572413304e-05;9.0434331969539482e-06;1.1790195022014783e-05;693.82938081977125;205.92330143539147;100.01236835207105;793.84174917184168;305.93566978746236;999.76505060723287;0.10004492222587276;0.20294023463132477;0.12598766958934504;0.32690507226743182;0.69398223063540698;0.20597284713872002;45.060233998166559;11.865002957005769;10.106756147693087;42.675371232004757;5.8433973269062207;48.523930599459575;1.1442919488418729e-05;3.8289317835113736e-05;1.5572082442608807e-05;0.00010047632298708896;7.5492231636788367e-06;1.0284658356225889e-05;693.6985061324151;206.00395919889303;100.03747681399784;793.73598294641386;306.04143601289093;999.73994214530705;0.10007245438209909;0.20297033201923773;0.12603766272747621;0.32687877027474577;0.69386932587003636;0.20605821974786248;48.527006546141813;14.610659106697522;10.368083384154295;44.280595869842188;10.554162347412273;48.159042402321717;1.1690143700940134e-05;3.8552090730339345e-05;1.6349661371351564e-05;0.0001008517593055734;1.196529732405183e-05;1.2864294389688553e-05;693.96335034462845;206.05727096024955;99.878398827213033;793.8417491718418;305.93566978746236;999.89902013209155;0.099912538997772943;0.20266831723999934;0.12581941328023966;0.32646561203369412;0.69401886422019643;0.20606859678203046;59.141541842556926;25.012442547792556;23.563263124577883;42.675371232004672;5.843397326906218;62.29617105775182;2.7745053998558276e-05;9.3685435084939276e-05;3.7068968084925989e-05;0.00024319545396232339;8.9274056307189444e-06;1.8467218873875961e-05;0.061445843229946756;0.17155791233721815;0.0014990706720766627;0.0051279436241619177;
