name=GeneralizedHyperLogLog;numRegisters=16384;q=65534;base=1.00099999999999989e+00;a=6.10351562500000000e-05;seed=c2950eb3d4a4c77e;numExamples=1000;
true cardinality; simple mean; simple mse; simple corrected mean; simple corrected mse; ml mean; ml mse;ml corrected mean; ml corrected mse;
28;1.63898878749878422e+04; 2.67711377124688357e+08; 2.80019162844759606e+01; 2.15920567679211833e-02; 1.63898865114554283e+04; 2.67711332504761845e+08; 2.80020322145403817e+01; 2.15836215543578555e-02; 
29;1.63903960398897289e+04; 2.67695282784156799e+08; 2.90026557656637962e+01; 2.25564018632297449e-02; 1.63903946763516142e+04; 2.67695238165384144e+08; 2.90027890481891042e+01; 2.25455494358210752e-02; 
30;1.63908831276251585e+04; 2.67678499190727264e+08; 3.00034563089565651e+01; 2.35204851059318681e-02; 1.63908817640785601e+04; 2.67678454573076099e+08; 3.00035692462733010e+01; 2.35063402841001329e-02; 
31;1.63913867758607885e+04; 2.67662257960983843e+08; 3.10013124523833348e+01; 2.73192799862398625e-02; 1.63913854122978883e+04; 2.67662213344151556e+08; 3.10014373730036503e+01; 2.72982320222228160e-02; 
32;1.63918837756174980e+04; 2.67645799780564785e+08; 3.20002313344975562e+01; 3.21622802095972438e-02; 1.63918824120388126e+04; 2.67645755164589286e+08; 3.20003546439829307e+01; 3.21273727710706114e-02; 
33;1.63923795920124867e+04; 2.67629303316430032e+08; 3.30002130405882141e+01; 3.40455943403754555e-02; 1.63923782284306944e+04; 2.67629258701728404e+08; 3.30003307168079942e+01; 3.39817660943814645e-02; 
34;1.63928696703538953e+04; 2.67612619675229847e+08; 3.39982516643127965e+01; 3.77880070798632187e-02; 1.63928683067487000e+04; 2.67612575061152220e+08; 3.39983536062872602e+01; 3.77159087918285535e-02; 
35;1.63933708065940518e+04; 2.67596298384497911e+08; 3.49993574568487418e+01; 3.87188888540788770e-02; 1.63933694429792304e+04; 2.67596253771467090e+08; 3.49994629591661166e+01; 3.86484941956081671e-02; 
36;1.63938765473164167e+04; 2.67580128194448888e+08; 3.59995222761688467e+01; 4.05754353453033831e-02; 1.63938751836907541e+04; 2.67580083582410544e+08; 3.59996423460984829e+01; 4.04980409498338148e-02; 
37;1.63943902301666785e+04; 2.67564218210960627e+08; 3.70007504899341484e+01; 4.35125425328590151e-02; 1.63943888665354352e+04; 2.67564173600066155e+08; 3.70009025969658367e+01; 4.34385510091686439e-02; 
38;1.63949036617948877e+04; 2.67548300582660079e+08; 3.79990329632115049e+01; 4.71910403411950202e-02; 1.63949022981539456e+04; 2.67548255972775072e+08; 3.79992214802629817e+01; 4.71235061130093891e-02; 
39;1.63953943529983699e+04; 2.67531639493262976e+08; 3.89993808488965925e+01; 4.90208099251141921e-02; 1.63953929893315944e+04; 2.67531594883921504e+08; 3.89995508556826138e+01; 4.89492681772356955e-02; 
40;1.63958823544557272e+04; 2.67514890944803566e+08; 4.00007922066935180e+01; 4.99363629249758856e-02; 1.63958809907847644e+04; 2.67514846336721390e+08; 4.00009343710804188e+01; 4.98400751761341743e-02; 
41;1.63963859137799409e+04; 2.67498651841156572e+08; 4.10032673421454277e+01; 4.99525213438955160e-02; 1.63963845500834577e+04; 2.67498607233593374e+08; 4.10034179271510126e+01; 4.98613133984398341e-02; 
42;1.63968851575536210e+04; 2.67482272007454425e+08; 4.20037987190079605e+01; 5.17755275102127141e-02; 1.63968837938579054e+04; 2.67482227401282102e+08; 4.20039492084226325e+01; 5.16747674789485023e-02; 
43;1.63973884710150123e+04; 2.67466025818934262e+08; 4.30043912276921887e+01; 5.35920763011844339e-02; 1.63973871072939801e+04; 2.67465981213288993e+08; 4.30045521907691750e+01; 5.34987252919993730e-02; 
