name=GeneralizedHyperLogLog;numRegisters=256;q=62;base=2.00000000000000000e+00;a=3.90625000000000000e-03;registerStateType=registers with lower bound;numCycles=1000;aggregationMode=stream;
cardinality; avg time in seconds (incl. allocation); avg time in seconds (excl. allocation);sum of consumed states;
1;1.2430000000000002e-07;3.2599999999999954e-08;6000;
2;1.3269999999999999e-07;4.2500000000000195e-08;10000;
5;1.5420000000000002e-07;6.34000000000007e-08;22000;
10;2.0129999999999998e-07;1.117000000000015e-07;35000;
20;2.4840000000000003e-07;1.6070000000000244e-07;51000;
50;4.4550000000000001e-07;3.5720000000000502e-07;113000;
100;7.8960000000000003e-07;7.0079999999999452e-07;204000;
200;1.4822e-06;1.3500000000000004e-06;335000;
500;3.8792000000000001e-06;3.745900000000044e-06;609000;
1000;9.9830000000000008e-06;9.8457000000000724e-06;852000;
2000;3.2589199999999996e-05;3.243120000000005e-05;1099000;
5000;8.7436100000000001e-05;8.7264899999999816e-05;1480000;
10000;0.00013757639999999999;0.00013739720000000011;1743000;
20000;0.0002074399;0.00020725410000000023;1963000;
50000;0.00035820619999999998;0.00035800770000000092;2306000;
100000;0.00057011639999999999;0.00056990110000000116;2563000;
200000;0.00097656689999999998;0.00097630429999999869;2803000;
500000;0.0020634986999999998;0.0020631871999999981;3171000;
1000000;0.0036727442;0.0036723695999999989;3419000;
2000000;0.0068975508;0.0068971246000000047;3709000;
5000000;0.016506348699999999;0.016505862199999995;4000000;
10000000;0.032484600999999995;0.032484096300000043;4261000;
