name=GeneralizedHyperLogLog;numRegisters=256;q=65534;base=1.00099999999999989e+00;a=3.90625000000000000e-03;registerStateType=registers with lower bound;numExamples=10000;
true cardinality; simple mean; simple mse; simple standard deviation; simple kurtosis; ml mean; ml mse; ml standard deviation; ml kurtosis; 
0; 0.00000000000000000e+00; 0.00000000000000000e+00; 0.00000000000000000e+00; -nan; 0.00000000000000000e+00; 0.00000000000000000e+00; 0.00000000000000000e+00; -nan; 
1; 1.00195825991570042e+00; 3.83480144088746124e-06; 4.42080110625382240e-06; 1.80699840163739056e+00; 1.00196812804434754e+00; 5.15436508020345700e-06; 1.13174073058724760e-03; 1.80694786697331256e+00; 
2; 2.00362876637428844e+00; 4.24496638997796071e-03; 6.50522747071825697e-02; 2.36099386692081680e+02; 2.00364728319611540e+00; 4.25028562964913700e-03; 6.50921113110985300e-02; 2.34970362373558373e+02; 
3; 3.00580087003416274e+00; 1.19253524122668771e-02; 1.09049082156217572e-01; 8.27576369545831341e+01; 3.00586661851681169e+00; 1.19326160479878794e-02; 1.09078865208463840e-01; 8.22749030192440074e+01; 
4; 4.00562580471686047e+00; 2.56717749266135060e-02; 1.60125342303775453e-01; 3.70887149421171856e+01; 4.00573907780660843e+00; 2.56778296142191088e-02; 1.60140227925867656e-01; 3.68552426536311017e+01; 
5; 5.00774011992167978e+00; 4.12066387882068022e-02; 2.02846565984748928e-01; 2.36251557294740735e+01; 5.00777256118565628e+00; 4.11684239335633403e-02; 2.02751106596681191e-01; 2.34776488232831078e+01; 
6; 6.01297800450405884e+00; 5.87634563146304037e-02; 2.42064098357691854e-01; 1.87429761263109675e+01; 6.01300019864690682e+00; 5.86786250846429783e-02; 2.41887618368084673e-01; 1.86111830105811613e+01; 
7; 7.01396818160192037e+00; 8.30753594570619452e-02; 2.87889300530249859e-01; 1.37665315862133699e+01; 7.01395478095784242e+00; 8.27964384352308097e-02; 2.87405119167438050e-01; 1.36602985654681248e+01; 
8; 8.01507502234729508e+00; 1.11098994286053840e-01; 3.32974080053211274e-01; 1.03739081927551240e+01; 8.01497785355105563e+00; 1.10762511132636951e-01; 3.32472818491436950e-01; 1.03163954165870582e+01; 
9; 9.01618594624048519e+00; 1.44443217657201944e-01; 3.79712039315980854e-01; 8.67674338919130683e+00; 9.01604585055858543e+00; 1.43847328886606202e-01; 3.78932526403393033e-01; 8.62320425279838432e+00; 
10; 1.00168683081099044e+01; 1.82088603757515149e-01; 4.26384877709122312e-01; 7.19664597550208462e+00; 1.00167225803778219e+01; 1.81281142893474606e-01; 4.25442708480217757e-01; 7.16804827333246664e+00; 
11; 1.10185575827926332e+01; 2.23612155992098272e-01; 4.72512192554847998e-01; 6.43269678340907447e+00; 1.10183411318738571e+01; 2.22329209697263830e-01; 4.71161132287936713e-01; 6.38969251094579871e+00; 
12; 1.20211395492448663e+01; 2.67155067157889947e-01; 5.16437979447303741e-01; 5.91739365973566933e+00; 1.20207449272697122e+01; 2.65527977631354994e-01; 5.14876320706175949e-01; 5.87836713961030366e+00; 
13; 1.30234667260026207e+01; 3.15693118047743804e-01; 5.61375481134029464e-01; 5.27277121638177437e+00; 1.30230009033990743e+01; 3.13369979097398665e-01; 5.59321855053265482e-01; 5.24775913324539189e+00; 
14; 1.40256175650468045e+01; 3.67209320226636049e-01; 6.05436256419870644e-01; 4.89911401486133524e+00; 1.40250623976110766e+01; 3.64418303599285009e-01; 6.03150213317768524e-01; 4.85981918968065596e+00; 
15; 1.50289382444144604e+01; 4.20465454899642543e-01; 6.47787027432513041e-01; 4.54614370120703981e+00; 1.50281005069961591e+01; 4.16750702996129874e-01; 6.44950435694626512e-01; 4.52442669155303800e+00; 
16; 1.60275991112960909e+01; 4.78132031445191230e-01; 6.90919908890210932e-01; 4.24674591072333385e+00; 1.60266296524992633e+01; 4.73849932949379604e-01; 6.87852305772937878e-01; 4.24637482418046641e+00; 
