name=HyperLogLog;numRegisters=256;q=56;base=2.00000000000000000e+00;a=3.90625000000000000e-03;registerStateType=registers with lower bound;numCycles=1000;aggregationMode=stream;
cardinality; avg time in seconds (incl. allocation); avg time in seconds (excl. allocation);sum of consumed states;
1;1.179e-07;2.7399999999999934e-08;1000;
2;1.212e-07;3.1199999999999915e-08;4000;
5;1.3190000000000001e-07;4.1400000000000166e-08;10000;
10;1.6619999999999999e-07;7.5400000000000596e-08;25000;
20;1.783e-07;9.0400000000001352e-08;41000;
50;2.784e-07;1.9060000000000299e-07;104000;
100;7.1829999999999997e-07;6.1910000000000162e-07;209000;
200;1.5506999999999998e-06;1.4124999999999949e-06;354000;
500;4.2798000000000001e-06;4.1432000000000106e-06;631000;
1000;6.0181e-06;5.8743000000000007e-06;867000;
2000;1.2552499999999999e-05;1.2395299999999966e-05;1140000;
5000;4.78293e-05;4.765280000000008e-05;1455000;
10000;8.2984499999999998e-05;8.2803999999999934e-05;1692000;
20000;0.0001281965;0.00012800809999999986;1921000;
50000;0.0002217799;0.00022158379999999984;2292000;
100000;0.00035169679999999998;0.00035147359999999965;2520000;
200000;0.00057370800000000003;0.0005734799999999998;2798000;
500000;0.0012035405999999999;0.0012032617000000017;3140000;
1000000;0.0021408689000000001;0.0021405472999999988;3434000;
2000000;0.0039908718000000003;0.0039904878000000012;3694000;
5000000;0.0094977619000000003;0.0094973148000000018;4023000;
10000000;0.018635728300000001;0.01863494290000001;4248000;
