name=GeneralizedHyperLogLog;numRegisters=1024;q=65534;base=1.00099999999999989e+00;a=9.76562500000000000e-04;seed=38ed7e2c9017e399;numCycles=1000;
cardinality; avg time in seconds;avg estimated cardinality;
1;8.0011000000000004e-06;1023.9970472671074
2;8.1852000000000008e-06;1024.4913529477283
5;9.7947999999999998e-06;1025.9814185931391
10;1.14181e-05;1028.4905380825503
20;1.29951e-05;1033.5507832306284
50;1.8306899999999999e-05;1048.6602934717469
100;2.62898e-05;1074.2322163272665
200;4.0834000000000002e-05;1126.6049050747627
500;7.9044599999999999e-05;1294.4107796648532
1000;0.0001373337;1604.6060502629034
2000;0.0002195252;2331.2176727731267
5000;0.00044175110000000003;5052.7853697197961
10000;0.00078660480000000005;10007.197075585447
20000;0.0013127771;20041.490282220406
50000;0.0021112769999999999;50089.513023156236
100000;0.0028664133;100017.57544404513
200000;0.0037194642000000001;200135.48102583046
500000;0.0054033053999999999;500482.41620075435
1000000;0.0073992843000000004;1000575.055271042
2000000;0.0110215026;2000144.281519609
5000000;0.020950955199999999;4998745.7194968816
10000000;0.0366733661;9993298.3221657164
