name=GeneralizedHyperLogLog;numRegisters=4096;q=62;base=1.00099999999999989e+00;a=2.44140625000000000e-04;registerStateType=registers;numCycles=1000;aggregationMode=stream;
cardinality; avg time in seconds (incl. allocation); avg time in seconds (excl. allocation);sum of consumed states;
1;1.3778e-06;2.989999999999991e-08;63000;
2;1.0803000000000001e-06;3.3599999999999977e-08;126000;
5;1.1207000000000001e-06;4.8700000000000343e-08;315000;
10;1.2036e-06;8.2800000000001165e-08;628000;
20;1.1781e-06;1.4320000000000216e-07;1258000;
50;1.4407999999999998e-06;3.4650000000000475e-07;3084000;
100;1.7671e-06;6.784999999999974e-07;6173000;
200;2.4491e-06;1.348900000000001e-06;11979000;
500;4.8024e-06;3.7018000000000409e-06;29036000;
1000;9.0317000000000003e-06;7.6138000000001176e-06;53771000;
2000;1.9505700000000002e-05;1.8372499999999974e-05;96735000;
5000;5.82067e-05;5.7053799999999992e-05;179438000;
10000;0.00010966739999999999;0.00010851729999999997;232625000;
20000;0.00019579520000000001;0.00019456250000000002;255674000;
50000;0.0004370911;0.00043588710000000105;258048000;
100000;0.00085002750000000001;0.00084871229999999951;258048000;
200000;0.0016133713999999999;0.0016119814999999982;258048000;
500000;0.0038570077999999998;0.0038554876000000018;258048000;
1000000;0.0075733032999999996;0.0075716763999999978;258048000;
2000000;0.0150123902;0.015010667800000014;258048000;
5000000;0.037557290199999996;0.037555165700000018;258048000;
10000000;0.074750733600000008;0.074748849399999928;258048000;
